label,run,image,lpips,de76,de00,dchroma,local_dchroma_dev,local_chroma_bias,local_acutance_dev
site C,e27d_C_lr0.3,car_00,0.041027821600437164,9.169938087463379,5.099949836730957,8.993241310119629,8.993240356445312,6.003650188446045,0.017007404938340187
site C,e27d_C_lr0.3,car_01,0.05315946787595749,4.75826358795166,3.387068748474121,4.746536731719971,4.7465362548828125,3.940202474594116,0.0009574078721925616
site P,e27d_P_lr0.03,car_00,0.04082353785634041,4.136534690856934,3.550647735595703,3.9460678100585938,3.9460675716400146,0.298891544342041,0.007939303293824196
site P,e27d_P_lr0.03,car_01,0.04763445630669594,3.8886725902557373,3.392241954803467,3.6870226860046387,3.6870229244232178,0.3277437090873718,0.008722213096916676
