image,arm,amount,lpips,de76,de00,dchroma,local_dchroma_dev,local_chroma_bias,local_acutance_dev
car_00,blur,0.5655775666236877,0.049999918788671494,2.608534097671509,1.9956474304199219,0.9287945032119751,0.9287944436073303,0.15018513798713684,0.37994250655174255
car_00,noise,0.015066120028495788,0.04999997839331627,3.474015235900879,3.1049768924713135,3.2570855617523193,3.2570858001708984,0.11987263709306717,0.006276958156377077
car_00,warp_bilinear,0.48680707812309265,0.049999985843896866,3.017210006713867,2.3218390941619873,1.255685567855835,1.2556854486465454,0.2036689817905426,0.22704829275608063
car_00,warp_bicubic,0.6028278172016144,0.04999997839331627,3.8118093013763428,2.936068058013916,1.6247479915618896,1.6247482299804688,0.22479835152626038,0.03139510005712509
car_00,chroma,0.43438419699668884,0.050000011920928955,6.027960300445557,4.113379955291748,5.97050142288208,5.970501899719238,2.861438274383545,0.0047134049236774445
car_01,blur,0.5485931038856506,0.050000064074993134,1.6515861749649048,1.2701624631881714,0.25981080532073975,0.25981080532073975,0.03240504860877991,0.3041575253009796
car_01,noise,0.01683893501758576,0.050000034272670746,3.969536781311035,3.541720390319824,3.7390735149383545,3.7390737533569336,0.13484010100364685,0.006961563136428595
car_01,warp_bilinear,0.4515734016895294,0.05000000447034836,1.973907232284546,1.550417423248291,0.3102812170982361,0.3102812170982361,0.03475652635097504,0.18417561054229736
car_01,warp_bicubic,0.6353996694087982,0.04999999329447746,2.825352430343628,2.2295987606048584,0.45032262802124023,0.45032262802124023,0.04101897403597832,0.019820649176836014
car_01,chroma,0.3676925003528595,0.04999998211860657,2.981519937515259,2.4151909351348877,2.9756176471710205,2.9756174087524414,1.799862027168274,0.0004873363359365612
dog_00,blur,0.4913265109062195,0.04999995976686478,0.5586048364639282,0.49235212802886963,0.17402422428131104,0.17402420938014984,0.004568274132907391,0.15206091105937958
dog_00,noise,0.011612686514854429,0.04999995231628418,2.7085347175598145,2.9127590656280518,2.556753635406494,2.556753635406494,0.08447111397981644,0.01729053631424904
dog_00,warp_bilinear,0.34438356757164,0.04999999701976776,0.7406448125839233,0.654664933681488,0.241483673453331,0.241483673453331,0.024906152859330177,0.10208139568567276
dog_00,warp_bicubic,0.5477250516414642,0.05000002309679985,1.1907203197479248,1.0539069175720215,0.39791595935821533,0.39791592955589294,0.04075450450181961,0.02050284668803215
dog_00,chroma,0.5650131404399872,0.05000000447034836,2.0180087089538574,1.8421791791915894,2.0142016410827637,2.0142016410827637,1.200486183166504,0.0014199052238836884
dog_01,blur,0.5106820464134216,0.050000015646219254,0.5312064290046692,0.42524006962776184,0.07702778279781342,0.07702778279781342,0.0076638818718492985,0.1908002644777298
dog_01,noise,0.006374976038932801,0.04999994859099388,1.5834035873413086,1.7660017013549805,1.4945811033248901,1.4945811033248901,0.04840823635458946,0.0051677473820745945
dog_01,warp_bilinear,0.4104136526584625,0.05000000447034836,0.7599011063575745,0.6148171424865723,0.09596516191959381,0.09596516191959381,0.011619356460869312,0.12673655152320862
dog_01,warp_bicubic,0.7705636918544769,0.05000000447034836,1.414463758468628,1.1470643281936646,0.18061751127243042,0.1806175261735916,0.01850670576095581,0.02464153617620468
dog_01,chroma,0.2868035137653351,0.05000002682209015,1.2583372592926025,1.3471500873565674,1.256468653678894,1.2564685344696045,0.7539856433868408,4.232058927300386e-06
person_00,blur,0.5342547297477722,0.04999999329447746,0.43663904070854187,0.36514005064964294,0.22304421663284302,0.22304421663284302,0.007502890191972256,0.13860774040222168
person_00,noise,0.008102139830589291,0.0499999113380909,1.9350976943969727,1.8292264938354492,1.8229328393936157,1.8229328393936157,0.05946209281682968,0.012235287576913834
person_00,warp_bilinear,0.6114820539951324,0.049999989569187164,0.9639575481414795,0.7972162365913391,0.46826961636543274,0.46826955676078796,0.09408172965049744,0.09665296971797943
person_00,warp_bicubic,0.9746143519878387,0.05000000074505806,1.5183831453323364,1.25643789768219,0.7404897809028625,0.7404898405075073,0.1506764441728592,0.044621147215366364
person_00,chroma,0.2938346564769745,0.050000015646219254,2.4235353469848633,1.961768627166748,2.415609121322632,2.415609359741211,1.3101614713668823,0.00036976300179958344
person_01,blur,0.5449241995811462,0.05000000819563866,0.65654456615448,0.49693596363067627,0.31547632813453674,0.31547635793685913,0.020037176087498665,0.24914592504501343
person_01,noise,0.007729580998420714,0.04999995604157448,1.8933234214782715,1.6036509275436401,1.7882004976272583,1.7882004976272583,0.058756615966558456,0.01098520029336214
person_01,warp_bilinear,0.557609885931015,0.05000000447034836,1.0718252658843994,0.8078567385673523,0.5992994904518127,0.599299430847168,0.10902747511863708,0.15838323533535004
person_01,warp_bicubic,0.9214370548725128,0.04999999701976776,1.7335779666900635,1.3061144351959229,0.9849659204483032,0.984965980052948,0.17756377160549164,0.03388044610619545
person_01,chroma,0.12352243065834045,0.04999999329447746,2.104499340057373,1.4631400108337402,2.09956431388855,2.09956431388855,1.2156709432601929,0.0004217048117425293
