image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,r_max,gl_iters,block,hop,quantile,gate_edge_power,defense_steps,loss,gain_ratio,purify_aware,wm_tau,wm_mu,wm_diagonals,wm_q_embed,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,edit_clip_sim,edit_siglip_sim,blocked,siglip_blocked_threshold,total_seconds
task_attr_mod_color_11699,add,instruct-pix2pix,turn the color of potted plant to pink,,0.04,False,0.0,0.12,inf,0,32,16,0.5,1.0,100,latent_norm,0.0,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.48357,0.9374,30.753,0.46143,0.11511,0.45762,0.65619,16.997,0.25972,0.26444,0.04,0.029,0.86949,0.87598,False,0.837,46.6
task_attr_mod_color_136767,add,instruct-pix2pix,turn the color of astronaut to pink,,0.04,False,0.0,0.12,inf,0,32,16,0.5,1.0,100,latent_norm,0.0,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.46292,0.88195,30.69,0.48103,0.09236,0.57606,0.40952,9.794,0.22261,0.34121,0.04,0.02921,0.83698,0.8405,False,0.837,36.8
task_attr_mod_color_184837,add,instruct-pix2pix,turn the color of frame to pink,,0.04,False,0.0,0.12,inf,0,32,16,0.5,1.0,100,latent_norm,0.0,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.38175,0.9552,29.983,0.56382,0.07767,0.51448,0.54321,16.599,0.26492,0.30602,0.04,0.03168,0.92717,0.8545,False,0.837,36.9
task_attr_mod_color_32648,add,instruct-pix2pix,turn the color of potion bottle to orange,,0.04,False,0.0,0.12,inf,0,32,16,0.5,1.0,100,latent_norm,0.0,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.63025,0.81562,31.61,0.20685,0.15626,0.60619,0.41751,10.539,0.07865,0.39065,0.04,0.02627,0.79254,0.72526,True,0.837,37.1
task_attr_mod_color_6205,add,instruct-pix2pix,turn the color of toolbox to red,,0.04,False,0.0,0.12,inf,0,32,16,0.5,1.0,100,latent_norm,0.0,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.53664,0.92381,31.255,0.43878,0.11473,0.66153,0.25904,7.444,0.47313,0.45057,0.04,0.02737,0.85924,0.81983,True,0.837,37.1
task_env_weather_112463,add,instruct-pix2pix,transform the setting to spring with blooming flowers,,0.04,False,0.0,0.12,inf,0,32,16,0.5,1.0,100,latent_norm,0.0,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.5641,0.9401,31.104,0.47154,0.07868,0.84999,0.34904,10.241,0.16736,0.35845,0.04,0.02785,0.55978,0.58894,True,0.837,37.1
task_env_weather_246440,add,instruct-pix2pix,transform the setting to autumn with falling leaves,,0.04,False,0.0,0.12,inf,0,32,16,0.5,1.0,100,latent_norm,0.0,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.27585,0.95751,29.934,0.573,0.03746,0.47015,0.4162,15.587,0.13625,0.25315,0.04,0.03186,0.92388,0.85535,False,0.837,37.0
task_env_weather_63722,add,instruct-pix2pix,change the setting to a snowy landscape,,0.04,False,0.0,0.12,inf,0,32,16,0.5,1.0,100,latent_norm,0.0,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.46795,0.93566,31.339,0.50049,0.0841,0.52099,0.57928,15.086,0.1867,0.31404,0.04,0.0271,0.79325,0.81112,True,0.837,37.1
task_obj_add_40931,add,instruct-pix2pix,Add the blood on snout,,0.04,False,0.0,0.12,inf,0,32,16,0.5,1.0,100,latent_norm,0.0,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.47321,0.93874,30.525,0.56011,0.07813,0.54701,0.40613,15.686,0.24859,0.3657,0.04,0.02977,0.86552,0.69668,True,0.837,37.1
task_obj_remove_380621,add,instruct-pix2pix,Remove iceberg,,0.04,False,0.0,0.12,inf,0,32,16,0.5,1.0,100,latent_norm,0.0,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.51929,0.92996,31.348,0.5029,0.13273,0.7137,0.2535,7.961,0.06428,0.37669,0.04,0.02708,0.72682,0.71283,True,0.837,37.1
task_obj_swap_joint_mask_276754,add,instruct-pix2pix,Replace the satellite dish with rocket,,0.04,False,0.0,0.12,inf,0,32,16,0.5,1.0,100,latent_norm,0.0,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.43255,0.8969,30.783,0.48917,0.08347,0.60959,0.70181,15.063,0.05685,0.33094,0.04,0.0289,0.86811,0.90181,False,0.837,37.1
task_obj_swap_joint_mask_533428,add,instruct-pix2pix,Replace the samurai armor with red jacket,,0.04,False,0.0,0.12,inf,0,32,16,0.5,1.0,100,latent_norm,0.0,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.41987,0.94495,30.335,0.53907,0.06288,0.56307,0.36833,12.978,0.09636,0.26003,0.04,0.03043,0.72487,0.61538,True,0.837,37.1
task_obj_swap_rand_mask_417469,add,instruct-pix2pix,Replace the green flannel shirt with blue shirt,,0.04,False,0.0,0.12,inf,0,32,16,0.5,1.0,100,latent_norm,0.0,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.48603,0.90496,30.665,0.46325,0.08191,0.75522,0.28914,9.015,0.09393,0.51949,0.04,0.02929,0.41472,0.49255,True,0.837,37.1
