step,note,random_seed,init_std,site,fid_acut,fid_pen_acut,fid_chroma,fid_pen_chroma,fid_linf_total,fid_psnr_total,fid_lpips,fid_lpips_rel,fid_ssim,fid_linf,fid_psnr,fid_pen_linf,fid_pen_lpips,fid_pen_psnr,align_loss,align_psnr_floor,align_tau_acut,align_tau_chroma,align_tau_lpips,align_best_step
0,random control：無最佳化,2681428344,0.5,apa,,,,,,,,,,,,,,,,,,,,
0,,,,,0.09110980480909348,0.0,0.9713667035102844,0.0,0.7943134307861328,30.096553802490234,0.13304448127746582,0.13304448127746582,0.9254117012023926,0.7943134307861328,30.096553802490234,0.734313428401947,0.0,0.0,0.0,30.096553802490234,0.09110981225967407,0.9713668823242188,0.13304448127746582,0
1,,,,,0.09193627536296844,0.0008264631032943726,0.9436243176460266,0.0,0.7928266525268555,30.137483596801758,0.13241633772850037,0.13241633772850037,0.9255980253219604,0.7928266525268555,30.137483596801758,0.7328266501426697,0.0,0.0,0.08264631032943726,30.096553802490234,0.09110981225967407,0.9713668823242188,0.13304448127746582,0
2,,,,,0.0853431224822998,0.0,0.9393764734268188,0.0,0.7917869687080383,30.13797950744629,0.13198167085647583,0.13198167085647583,0.9257866740226746,0.7917869687080383,30.13797950744629,0.7317869663238525,0.0,0.0,0.0,30.096553802490234,0.09110981225967407,0.9713668823242188,0.13304448127746582,0
3,,,,,0.08094083517789841,0.0,0.9371426105499268,0.0,0.7909165620803833,30.135299682617188,0.13172611594200134,0.13172611594200134,0.9258925318717957,0.7909165620803833,30.135299682617188,0.7309165596961975,0.0,0.0,0.0,30.096553802490234,0.09110981225967407,0.9713668823242188,0.13304448127746582,0
4,,,,,0.07773809134960175,0.0,0.9360942244529724,0.0,0.7901614308357239,30.131099700927734,0.13156777620315552,0.13156777620315552,0.9259523153305054,0.7901614308357239,30.131099700927734,0.7301614284515381,0.0,0.0,0.0,30.096553802490234,0.09110981225967407,0.9713668823242188,0.13304448127746582,0
5,,,,,0.07504533231258392,0.0,0.9357442259788513,0.0,0.7894989252090454,30.126144409179688,0.13147199153900146,0.13147199153900146,0.9259835481643677,0.7894989252090454,30.126144409179688,0.7294989228248596,0.0,0.0,0.0,30.096553802490234,0.09110981225967407,0.9713668823242188,0.13304448127746582,0
6,,,,,0.07286974787712097,0.0,0.9357578754425049,0.0,0.7889103889465332,30.120859146118164,0.13141995668411255,0.13141995668411255,0.9259966611862183,0.7889103889465332,30.120859146118164,0.7289103865623474,0.0,0.0,0.0,30.096553802490234,0.09110981225967407,0.9713668823242188,0.13304448127746582,0
7,,,,,0.07115130126476288,0.0,0.9360026717185974,0.0,0.7883858680725098,30.115480422973633,0.1313907355070114,0.1313907355070114,0.9259979128837585,0.7883858680725098,30.115480422973633,0.728385865688324,0.0,0.0,0.0,30.096553802490234,0.09110981225967407,0.9713668823242188,0.13304448127746582,0
8,,,,,0.06974011659622192,0.0,0.936398983001709,0.0,0.787914514541626,30.11014747619629,0.1313767433166504,0.1313767433166504,0.9259903430938721,0.787914514541626,30.11014747619629,0.7279145121574402,0.0,0.0,0.0,30.096553802490234,0.09110981225967407,0.9713668823242188,0.13304448127746582,0
