model,eval_quality,n,shard,shards,tau,mu,q_embed,target,acc_clean_jpeg,acc_adv_jpeg,succ_rate,paper_acc_adv,paper_acc_watermarked,psnr_vs_orig,ssim_vs_orig,lpips_vs_orig,seconds_per_image
resnet101,75,25,5,8,1500,1,0.75,least_likely,96.0,76.0,20.0,3.9,71.7,28.479,0.8001,0.2776,7.83
resnet101,85,25,5,8,1500,1,0.75,least_likely,96.0,80.0,16.0,3.9,71.7,28.479,0.8001,0.2776,7.83
