image,condition,budget_target,mode,q_alg,radius,steps,unreachable,fid_lpips,fid_dists,fid_psnr,fid_ssim,fid_linf,fid_rms,edit_lpips,edit_strength,total_seconds
raccoon_00,dct_shield,,aligned,0.95,1.125,1000,False,0.46644,0.0359,30.276,0.90783,0.27199,0.03063,0.5403,0.7,90.8
shiba_00,dct_shield,,aligned,0.95,1.5,1000,False,0.56399,0.0347,29.587,0.85434,0.3377,0.03316,0.6715,0.7,62.6
