image,condition,prompt_index,prompt,block,r_min,quantile,target_image,budget_target,budget_mode,budget_reached,unreachable,radius,total_seconds,fid_lpips,fid_ssim,fid_dists,fid_psnr,fid_clip_img,fid_nima,fid_cnniqa,edit_lpips,edit_clip_orig,edit_clip_def,edit_clip_drop,edit_siglip_orig,edit_siglip_def,edit_siglip_drop
cat_00,add,0,a cat wearing a red party hat,32,0.12,0.5,data/targets/gray.png,human,human,0.15994,False,0.06,41.4,0.5205,0.9168,0.1599,31.4992,0.9683,5.0357,0.7116,0.5068,0.3509,0.326,0.0249,0.1549,0.1459,0.009
parrot_00,add,0,a parrot perched on a branch in a rainforest,32,0.12,0.5,data/targets/gray.png,human,human,0.10722,False,0.06,24.9,0.5984,0.8529,0.1072,29.5663,0.8793,5.2815,0.7122,0.5635,0.2992,0.3371,-0.0379,0.1067,0.1204,-0.0136
person_a_00,add,0,Barack Obama,32,0.12,0.5,data/targets/gray.png,human,human,0.12295,False,0.06,25.0,0.6144,0.8936,0.123,29.5555,0.9164,4.7742,0.6523,0.7081,0.2651,0.2716,-0.0066,0.1061,0.0898,0.0163
person_b_00,add,0,Morgan Freeman,32,0.12,0.5,data/targets/gray.png,human,human,0.12007,False,0.06,25.2,0.5999,0.8785,0.1201,29.9741,0.8812,3.8582,0.6373,0.6831,0.3042,0.3478,-0.0436,0.1069,0.1343,-0.0275
person_c_00,add,0,Taylor Swift,32,0.12,0.5,data/targets/gray.png,human,human,0.10442,False,0.06,25.4,0.5731,0.868,0.1044,28.5224,0.9023,4.3809,0.6685,0.5927,0.2826,0.2935,-0.0109,0.0977,0.098,-0.0004
raccoon_00,add,0,a panda,32,0.12,0.5,data/targets/gray.png,human,human,0.10327,False,0.06,25.3,0.5655,0.8894,0.1033,28.5531,0.9476,5.7959,0.7114,0.6284,0.3069,0.3018,0.0052,0.1213,0.1129,0.0085
shiba_00,add,0,a cat,32,0.12,0.5,data/targets/gray.png,human,human,0.08618,False,0.06,25.4,0.6058,0.8911,0.0862,29.2714,0.9793,5.32,0.7074,0.729,0.2619,0.2708,-0.0089,0.0881,0.0864,0.0017
