image,condition,budget_target,purifier,effect_mean,effect_sd,effect_identity_mean,effect_identity_sd,retention,usable,seconds
dog_03,apa_weak,native,identity,0.39496,0.04545,0.39496,0.04545,1.0,True,606.3
dog_03,apa_weak,native,blur1,0.45535,0.01441,0.39496,0.04545,1.15289,True,606.3
dog_03,apa_weak,native,noise0.05,0.58529,0.01358,0.39496,0.04545,1.48189,True,606.3
dog_03,apa_weak,native,quantize16,0.47943,0.04511,0.39496,0.04545,1.21386,True,606.3
dog_03,apa_weak,native,jpeg75,0.39632,0.01521,0.39496,0.04545,1.00342,True,606.3
dog_03,apa_weak,native,jpeg30,0.47589,0.0262,0.39496,0.04545,1.20489,True,606.3
dog_03,apa_weak,native,crop_resize0.1,0.53822,0.03514,0.39496,0.04545,1.36269,True,606.3
dog_03,apa_weak,native,jpeg_then_resize75,0.4345,0.00947,0.39496,0.04545,1.1001,True,606.3
dog_03,apa_weak,native,adverse_cleaner,0.41278,0.02231,0.39496,0.04545,1.0451,True,606.3
dog_03,apa_weak,native,impress,0.45199,0.00622,0.39496,0.04545,1.14437,True,606.3
dog_03,mist,native,identity,0.66764,0.00449,0.66764,0.00449,1.0,True,614.3
dog_03,mist,native,blur1,0.53028,0.02571,0.66764,0.00449,0.79425,True,614.3
dog_03,mist,native,noise0.05,0.60645,0.01147,0.66764,0.00449,0.90834,True,614.3
dog_03,mist,native,quantize16,0.65255,0.023,0.66764,0.00449,0.97739,True,614.3
dog_03,mist,native,jpeg75,0.57022,0.01347,0.66764,0.00449,0.85409,True,614.3
dog_03,mist,native,jpeg30,0.51413,0.0167,0.66764,0.00449,0.77007,True,614.3
dog_03,mist,native,crop_resize0.1,0.65521,0.03006,0.66764,0.00449,0.98138,True,614.3
dog_03,mist,native,jpeg_then_resize75,0.47947,0.02095,0.66764,0.00449,0.71816,True,614.3
dog_03,mist,native,adverse_cleaner,0.62115,0.0041,0.66764,0.00449,0.93037,True,614.3
dog_03,mist,native,impress,0.5949,0.01297,0.66764,0.00449,0.89104,True,614.3
dog_03,dia_r,native,identity,0.40407,0.04888,0.40407,0.04888,1.0,True,607.8
dog_03,dia_r,native,blur1,0.37019,0.02847,0.40407,0.04888,0.91616,True,607.8
dog_03,dia_r,native,noise0.05,0.54983,0.02494,0.40407,0.04888,1.36074,True,607.8
dog_03,dia_r,native,quantize16,0.41814,0.04336,0.40407,0.04888,1.03482,True,607.8
dog_03,dia_r,native,jpeg75,0.31619,0.03,0.40407,0.04888,0.78251,True,607.8
dog_03,dia_r,native,jpeg30,0.38464,0.03358,0.40407,0.04888,0.95192,True,607.8
dog_03,dia_r,native,crop_resize0.1,0.54872,0.02405,0.40407,0.04888,1.35799,True,607.8
dog_03,dia_r,native,jpeg_then_resize75,0.33677,0.04474,0.40407,0.04888,0.83344,True,607.8
dog_03,dia_r,native,adverse_cleaner,0.39269,0.04632,0.40407,0.04888,0.97185,True,607.8
dog_03,dia_r,native,impress,0.40726,0.04393,0.40407,0.04888,1.0079,True,607.8
man_02,apa_weak,native,identity,0.31513,0.0623,0.31513,0.0623,1.0,True,606.2
man_02,apa_weak,native,blur1,0.4257,0.06131,0.31513,0.0623,1.35088,True,606.2
man_02,apa_weak,native,noise0.05,0.50687,0.02004,0.31513,0.0623,1.60844,True,606.2
man_02,apa_weak,native,quantize16,0.3859,0.04085,0.31513,0.0623,1.22458,True,606.2
man_02,apa_weak,native,jpeg75,0.32965,0.02436,0.31513,0.0623,1.04608,True,606.2
man_02,apa_weak,native,jpeg30,0.40368,0.00354,0.31513,0.0623,1.28098,True,606.2
man_02,apa_weak,native,crop_resize0.1,0.53124,0.01391,0.31513,0.0623,1.68578,True,606.2
man_02,apa_weak,native,jpeg_then_resize75,0.41168,0.07117,0.31513,0.0623,1.30639,True,606.2
man_02,apa_weak,native,adverse_cleaner,0.34946,0.04221,0.31513,0.0623,1.10893,True,606.2
man_02,apa_weak,native,impress,0.33007,0.06083,0.31513,0.0623,1.04741,True,606.2
man_02,mist,native,identity,0.46626,0.03213,0.46626,0.03213,1.0,True,614.2
man_02,mist,native,blur1,0.41146,0.00727,0.46626,0.03213,0.88247,True,614.2
man_02,mist,native,noise0.05,0.5295,0.0117,0.46626,0.03213,1.13563,True,614.2
man_02,mist,native,quantize16,0.47252,0.01785,0.46626,0.03213,1.01342,True,614.2
man_02,mist,native,jpeg75,0.41882,0.06449,0.46626,0.03213,0.89826,True,614.2
man_02,mist,native,jpeg30,0.27879,0.03983,0.46626,0.03213,0.59792,True,614.2
man_02,mist,native,crop_resize0.1,0.57878,0.01744,0.46626,0.03213,1.24132,True,614.2
man_02,mist,native,jpeg_then_resize75,0.33876,0.04226,0.46626,0.03213,0.72655,True,614.2
man_02,mist,native,adverse_cleaner,0.43096,0.04655,0.46626,0.03213,0.92428,True,614.2
man_02,mist,native,impress,0.41871,0.05962,0.46626,0.03213,0.89802,True,614.2
man_02,dia_r,native,identity,0.23936,0.06665,0.23936,0.06665,1.0,True,612.7
man_02,dia_r,native,blur1,0.37382,0.03436,0.23936,0.06665,1.56178,True,612.7
man_02,dia_r,native,noise0.05,0.35655,0.07548,0.23936,0.06665,1.48961,True,612.7
man_02,dia_r,native,quantize16,0.2318,0.07485,0.23936,0.06665,0.96844,True,612.7
man_02,dia_r,native,jpeg75,0.19347,0.06373,0.23936,0.06665,0.80829,True,612.7
man_02,dia_r,native,jpeg30,0.24682,0.06111,0.23936,0.06665,1.03119,True,612.7
man_02,dia_r,native,crop_resize0.1,0.52884,0.01299,0.23936,0.06665,2.20942,True,612.7
man_02,dia_r,native,jpeg_then_resize75,0.33756,0.07413,0.23936,0.06665,1.41026,True,612.7
man_02,dia_r,native,adverse_cleaner,0.22377,0.0664,0.23936,0.06665,0.93489,True,612.7
man_02,dia_r,native,impress,0.26395,0.04743,0.23936,0.06665,1.10274,True,612.7
woman_02,apa_weak,native,identity,0.105,0.00864,0.105,0.00864,1.0,True,611.0
woman_02,apa_weak,native,blur1,0.28964,0.02595,0.105,0.00864,2.75836,True,611.0
woman_02,apa_weak,native,noise0.05,0.44392,0.02138,0.105,0.00864,4.22762,True,611.0
woman_02,apa_weak,native,quantize16,0.32173,0.0259,0.105,0.00864,3.06392,True,611.0
woman_02,apa_weak,native,jpeg75,0.17104,0.00199,0.105,0.00864,1.62892,True,611.0
woman_02,apa_weak,native,jpeg30,0.33654,0.0062,0.105,0.00864,3.20501,True,611.0
woman_02,apa_weak,native,crop_resize0.1,0.42802,0.00965,0.105,0.00864,4.07624,True,611.0
woman_02,apa_weak,native,jpeg_then_resize75,0.2115,0.00667,0.105,0.00864,2.01416,True,611.0
woman_02,apa_weak,native,adverse_cleaner,0.23443,0.01595,0.105,0.00864,2.23261,True,611.0
woman_02,apa_weak,native,impress,0.17887,0.01785,0.105,0.00864,1.70349,True,611.0
woman_02,mist,native,identity,0.59336,0.01551,0.59336,0.01551,1.0,True,625.1
woman_02,mist,native,blur1,0.46256,0.00457,0.59336,0.01551,0.77955,True,625.1
woman_02,mist,native,noise0.05,0.55703,0.02262,0.59336,0.01551,0.93876,True,625.1
woman_02,mist,native,quantize16,0.56952,0.02794,0.59336,0.01551,0.95982,True,625.1
woman_02,mist,native,jpeg75,0.51541,0.02927,0.59336,0.01551,0.86862,True,625.1
woman_02,mist,native,jpeg30,0.40871,0.0389,0.59336,0.01551,0.68881,True,625.1
woman_02,mist,native,crop_resize0.1,0.61562,0.0229,0.59336,0.01551,1.03751,True,625.1
woman_02,mist,native,jpeg_then_resize75,0.38309,0.02749,0.59336,0.01551,0.64563,True,625.1
woman_02,mist,native,adverse_cleaner,0.51614,0.04609,0.59336,0.01551,0.86985,True,625.1
woman_02,mist,native,impress,0.53165,0.02919,0.59336,0.01551,0.89599,True,625.1
woman_02,dia_r,native,identity,0.28652,0.07197,0.28652,0.07197,1.0,True,616.1
woman_02,dia_r,native,blur1,0.24215,0.01107,0.28652,0.07197,0.84513,True,616.1
woman_02,dia_r,native,noise0.05,0.41045,0.0177,0.28652,0.07197,1.43252,True,616.1
woman_02,dia_r,native,quantize16,0.31583,0.07875,0.28652,0.07197,1.10229,True,616.1
woman_02,dia_r,native,jpeg75,0.1693,0.03802,0.28652,0.07197,0.59088,True,616.1
woman_02,dia_r,native,jpeg30,0.293,0.0086,0.28652,0.07197,1.02263,True,616.1
woman_02,dia_r,native,crop_resize0.1,0.45424,0.01553,0.28652,0.07197,1.58536,True,616.1
woman_02,dia_r,native,jpeg_then_resize75,0.18109,0.01196,0.28652,0.07197,0.63202,True,616.1
woman_02,dia_r,native,adverse_cleaner,0.19963,0.0022,0.28652,0.07197,0.69674,True,616.1
woman_02,dia_r,native,impress,0.25921,0.06465,0.28652,0.07197,0.90467,True,616.1
