image,condition,budget_target,purifier,effect_mean,effect_sd,effect_identity_mean,effect_identity_sd,retention,edit_strength,usable,seconds
task_attr_mod_color_184837,none,floor,identity,0.0,0.0,0.0,0.0,,0.8,True,498.7
task_attr_mod_color_184837,none,floor,blur1,0.15532,0.01061,0.0,0.0,,0.8,True,498.7
task_attr_mod_color_184837,none,floor,jpeg75,0.10107,0.04348,0.0,0.0,,0.8,True,498.7
task_attr_mod_color_184837,none,floor,crop_resize0.1,0.64292,0.00421,0.0,0.0,,0.8,True,498.7
task_env_weather_133752,none,floor,identity,0.0,0.0,0.0,0.0,,0.8,True,499.4
task_env_weather_133752,none,floor,blur1,0.17243,0.00962,0.0,0.0,,0.8,True,499.4
task_env_weather_133752,none,floor,jpeg75,0.09454,0.00305,0.0,0.0,,0.8,True,499.4
task_env_weather_133752,none,floor,crop_resize0.1,0.53937,0.00517,0.0,0.0,,0.8,True,499.4
task_obj_add_13726,none,floor,identity,0.0,0.0,0.0,0.0,,0.8,True,498.9
task_obj_add_13726,none,floor,blur1,0.26491,0.00043,0.0,0.0,,0.8,True,498.9
task_obj_add_13726,none,floor,jpeg75,0.13943,0.00075,0.0,0.0,,0.8,True,498.9
task_obj_add_13726,none,floor,crop_resize0.1,0.56261,0.0006,0.0,0.0,,0.8,True,498.9
task_obj_add_692065,none,floor,identity,0.0,0.0,0.0,0.0,,0.8,True,497.9
task_obj_add_692065,none,floor,blur1,0.10307,0.00023,0.0,0.0,,0.8,True,497.9
task_obj_add_692065,none,floor,jpeg75,0.0445,0.00035,0.0,0.0,,0.8,True,497.9
task_obj_add_692065,none,floor,crop_resize0.1,0.52064,0.0004,0.0,0.0,,0.8,True,497.9
task_obj_remove_509477,none,floor,identity,0.0,0.0,0.0,0.0,,0.8,True,498.4
task_obj_remove_509477,none,floor,blur1,0.16001,0.00125,0.0,0.0,,0.8,True,498.4
task_obj_remove_509477,none,floor,jpeg75,0.08804,0.00032,0.0,0.0,,0.8,True,498.4
task_obj_remove_509477,none,floor,crop_resize0.1,0.6291,0.00238,0.0,0.0,,0.8,True,498.4
