image,condition,budget_target,purifier,effect_mean,effect_sd,effect_identity_mean,effect_identity_sd,retention,edit_strength,usable,seconds
task_attr_mod_color_32648,dct_shield,native,identity,0.51995,0.09504,0.51995,0.09504,1.0,0.8,True,495.4
task_attr_mod_color_32648,dct_shield,native,blur1,0.32292,0.03036,0.51995,0.09504,0.62106,0.8,True,495.4
task_attr_mod_color_32648,dct_shield,native,jpeg75,0.16385,0.01567,0.51995,0.09504,0.31513,0.8,True,495.4
task_attr_mod_color_32648,dct_shield,native,crop_resize0.1,0.54663,0.0258,0.51995,0.09504,1.05131,0.8,True,495.4
task_env_weather_181583,dct_shield,native,identity,0.79186,0.00871,0.79186,0.00871,1.0,0.8,True,494.4
task_env_weather_181583,dct_shield,native,blur1,0.30954,0.21019,0.79186,0.00871,0.39091,0.8,True,494.4
task_env_weather_181583,dct_shield,native,jpeg75,0.24983,0.26089,0.79186,0.00871,0.31549,0.8,True,494.4
task_env_weather_181583,dct_shield,native,crop_resize0.1,0.69119,0.03892,0.79186,0.00871,0.87286,0.8,True,494.4
task_obj_add_340466,dct_shield,native,identity,0.80251,0.03499,0.80251,0.03499,1.0,0.8,True,494.4
task_obj_add_340466,dct_shield,native,blur1,0.31042,0.01764,0.80251,0.03499,0.38681,0.8,True,494.4
task_obj_add_340466,dct_shield,native,jpeg75,0.16311,0.03738,0.80251,0.03499,0.20325,0.8,True,494.4
task_obj_add_340466,dct_shield,native,crop_resize0.1,0.7081,0.0267,0.80251,0.03499,0.88235,0.8,True,494.4
task_obj_remove_10197,dct_shield,native,identity,0.61443,0.10827,0.61443,0.10827,1.0,0.8,True,494.6
task_obj_remove_10197,dct_shield,native,blur1,0.4675,0.18094,0.61443,0.10827,0.76086,0.8,True,494.6
task_obj_remove_10197,dct_shield,native,jpeg75,0.18867,0.03208,0.61443,0.10827,0.30706,0.8,True,494.6
task_obj_remove_10197,dct_shield,native,crop_resize0.1,0.64939,0.13012,0.61443,0.10827,1.05689,0.8,True,494.6
task_obj_remove_657585,dct_shield,native,identity,0.80426,0.04167,0.80426,0.04167,1.0,0.8,True,494.7
task_obj_remove_657585,dct_shield,native,blur1,0.32215,0.04912,0.80426,0.04167,0.40055,0.8,True,494.7
task_obj_remove_657585,dct_shield,native,jpeg75,0.18077,0.0338,0.80426,0.04167,0.22477,0.8,True,494.7
task_obj_remove_657585,dct_shield,native,crop_resize0.1,0.72346,0.01066,0.80426,0.04167,0.89953,0.8,True,494.7
task_obj_swap_rand_mask_298147,dct_shield,native,identity,0.72363,0.04731,0.72363,0.04731,1.0,0.8,True,496.0
task_obj_swap_rand_mask_298147,dct_shield,native,blur1,0.42788,0.04726,0.72363,0.04731,0.5913,0.8,True,496.0
task_obj_swap_rand_mask_298147,dct_shield,native,jpeg75,0.20362,0.00163,0.72363,0.04731,0.28138,0.8,True,496.0
task_obj_swap_rand_mask_298147,dct_shield,native,crop_resize0.1,0.64498,0.01894,0.72363,0.04731,0.89131,0.8,True,496.0
