tag,label,purifier,n,net_gain,net_gain_sd,floor,wins_over_floor
ours_ph_q,本方法 純相位 ＋量化 r0.9,identity,10,0.46568,0.04652,0.0,10
ours_ph_q,本方法 純相位 ＋量化 r0.9,jpeg90,10,0.40073,0.04054,0.06024,10
ours_ph_q,本方法 純相位 ＋量化 r0.9,jpeg75,10,0.38025,0.04813,0.10972,10
ours_ph_q,本方法 純相位 ＋量化 r0.9,jpeg50,10,0.23227,0.04921,0.16773,10
ours_ph_q,本方法 純相位 ＋量化 r0.9,jpeg30,10,0.10719,0.03203,0.22739,10
ours_ph_q,本方法 純相位 ＋量化 r0.9,blur1,10,0.082,0.05173,0.17775,10
ours_ph_q,本方法 純相位 ＋量化 r0.9,blur2,10,0.01516,0.01254,0.30983,9
ours_ph_q,本方法 純相位 ＋量化 r0.9,crop_resize0.1,10,0.09577,0.05265,0.50505,10
ours_ph_q,本方法 純相位 ＋量化 r0.9,crop_resize0.15,10,0.05167,0.04202,0.5812,9
ours_pg_q,本方法 相位+增益 ＋量化 r0.9,identity,10,0.50675,0.04973,0.0,10
ours_pg_q,本方法 相位+增益 ＋量化 r0.9,jpeg90,10,0.43499,0.05409,0.06024,10
ours_pg_q,本方法 相位+增益 ＋量化 r0.9,jpeg75,10,0.40717,0.05714,0.10972,10
ours_pg_q,本方法 相位+增益 ＋量化 r0.9,jpeg50,10,0.26354,0.05053,0.16773,10
ours_pg_q,本方法 相位+增益 ＋量化 r0.9,jpeg30,10,0.16649,0.04795,0.22739,10
ours_pg_q,本方法 相位+增益 ＋量化 r0.9,blur1,10,0.11677,0.05167,0.17775,10
ours_pg_q,本方法 相位+增益 ＋量化 r0.9,blur2,10,0.03129,0.02307,0.30983,9
ours_pg_q,本方法 相位+增益 ＋量化 r0.9,crop_resize0.1,10,0.10325,0.0494,0.50505,10
ours_pg_q,本方法 相位+增益 ＋量化 r0.9,crop_resize0.15,10,0.05885,0.0455,0.5812,9
ours_ph_q20,本方法 純相位 ＋量化 r=pi,identity,10,0.60547,0.089,0.0,10
ours_ph_q20,本方法 純相位 ＋量化 r=pi,jpeg90,10,0.53309,0.1002,0.06024,10
ours_ph_q20,本方法 純相位 ＋量化 r=pi,jpeg75,10,0.50006,0.10426,0.10972,10
ours_ph_q20,本方法 純相位 ＋量化 r=pi,jpeg50,10,0.31648,0.04564,0.16773,10
ours_ph_q20,本方法 純相位 ＋量化 r=pi,jpeg30,10,0.20429,0.06264,0.22739,10
ours_ph_q20,本方法 純相位 ＋量化 r=pi,blur1,10,0.18449,0.06728,0.17775,10
ours_ph_q20,本方法 純相位 ＋量化 r=pi,blur2,10,0.06439,0.04086,0.30983,10
ours_ph_q20,本方法 純相位 ＋量化 r=pi,crop_resize0.1,10,0.11831,0.03858,0.50505,10
ours_ph_q20,本方法 純相位 ＋量化 r=pi,crop_resize0.15,10,0.06506,0.04075,0.5812,9
ours_pg_q20,本方法 相位+增益 ＋量化 r2.0,identity,10,0.62731,0.08714,0.0,10
ours_pg_q20,本方法 相位+增益 ＋量化 r2.0,jpeg90,10,0.55199,0.09368,0.06024,10
ours_pg_q20,本方法 相位+增益 ＋量化 r2.0,jpeg75,10,0.51156,0.0959,0.10972,10
ours_pg_q20,本方法 相位+增益 ＋量化 r2.0,jpeg50,10,0.33258,0.05758,0.16773,10
ours_pg_q20,本方法 相位+增益 ＋量化 r2.0,jpeg30,10,0.23583,0.0672,0.22739,10
ours_pg_q20,本方法 相位+增益 ＋量化 r2.0,blur1,10,0.193,0.06715,0.17775,10
ours_pg_q20,本方法 相位+增益 ＋量化 r2.0,blur2,10,0.06398,0.03881,0.30983,9
ours_pg_q20,本方法 相位+增益 ＋量化 r2.0,crop_resize0.1,10,0.12297,0.04712,0.50505,10
ours_pg_q20,本方法 相位+增益 ＋量化 r2.0,crop_resize0.15,10,0.07277,0.05195,0.5812,9
ours_ph_n,本方法 純相位 無量化 r0.9,identity,10,0.5329,0.09981,0.0,10
ours_ph_n,本方法 純相位 無量化 r0.9,jpeg90,10,0.3539,0.04451,0.06024,10
ours_ph_n,本方法 純相位 無量化 r0.9,jpeg75,10,0.22271,0.05409,0.10972,10
ours_ph_n,本方法 純相位 無量化 r0.9,jpeg50,10,0.10263,0.0528,0.16773,10
ours_ph_n,本方法 純相位 無量化 r0.9,jpeg30,10,0.04888,0.01861,0.22739,10
ours_ph_n,本方法 純相位 無量化 r0.9,blur1,10,0.03588,0.01923,0.17775,10
ours_ph_n,本方法 純相位 無量化 r0.9,blur2,10,0.00746,0.00752,0.30983,9
ours_ph_n,本方法 純相位 無量化 r0.9,crop_resize0.1,10,0.07584,0.03527,0.50505,10
ours_ph_n,本方法 純相位 無量化 r0.9,crop_resize0.15,10,0.04137,0.03727,0.5812,9
ours_pg_n,本方法 相位+增益 無量化 r0.9,identity,10,0.58975,0.10735,0.0,10
ours_pg_n,本方法 相位+增益 無量化 r0.9,jpeg90,10,0.38557,0.05234,0.06024,10
ours_pg_n,本方法 相位+增益 無量化 r0.9,jpeg75,10,0.26307,0.06737,0.10972,10
ours_pg_n,本方法 相位+增益 無量化 r0.9,jpeg50,10,0.14824,0.06613,0.16773,10
ours_pg_n,本方法 相位+增益 無量化 r0.9,jpeg30,10,0.07743,0.0361,0.22739,10
ours_pg_n,本方法 相位+增益 無量化 r0.9,blur1,10,0.06495,0.03429,0.17775,10
ours_pg_n,本方法 相位+增益 無量化 r0.9,blur2,10,0.0212,0.01767,0.30983,10
ours_pg_n,本方法 相位+增益 無量化 r0.9,crop_resize0.1,10,0.08336,0.04043,0.50505,10
ours_pg_n,本方法 相位+增益 無量化 r0.9,crop_resize0.15,10,0.04489,0.03924,0.5812,9
ours_pg_m,本方法 相位+增益 無量化 r2.0,identity,10,0.66869,0.09104,0.0,10
ours_pg_m,本方法 相位+增益 無量化 r2.0,jpeg90,10,0.47928,0.08678,0.06024,10
ours_pg_m,本方法 相位+增益 無量化 r2.0,jpeg75,10,0.35938,0.07028,0.10972,10
ours_pg_m,本方法 相位+增益 無量化 r2.0,jpeg50,10,0.24042,0.06877,0.16773,10
ours_pg_m,本方法 相位+增益 無量化 r2.0,jpeg30,10,0.13638,0.05676,0.22739,10
ours_pg_m,本方法 相位+增益 無量化 r2.0,blur1,10,0.12099,0.04311,0.17775,10
ours_pg_m,本方法 相位+增益 無量化 r2.0,blur2,10,0.03827,0.03068,0.30983,9
ours_pg_m,本方法 相位+增益 無量化 r2.0,crop_resize0.1,10,0.10423,0.04281,0.50505,10
ours_pg_m,本方法 相位+增益 無量化 r2.0,crop_resize0.15,10,0.05326,0.03929,0.5812,9
ours_ph_qd60,本方法 純相位 ＋量化 QD0.60 r0.9,identity,10,0.38925,0.05369,0.0,10
ours_ph_qd60,本方法 純相位 ＋量化 QD0.60 r0.9,jpeg90,10,0.33068,0.03618,0.06024,10
ours_ph_qd60,本方法 純相位 ＋量化 QD0.60 r0.9,jpeg75,10,0.29324,0.03868,0.10972,10
ours_ph_qd60,本方法 純相位 ＋量化 QD0.60 r0.9,jpeg50,10,0.24327,0.04323,0.16773,10
ours_ph_qd60,本方法 純相位 ＋量化 QD0.60 r0.9,jpeg30,10,0.10796,0.03144,0.22739,10
ours_ph_qd45,本方法 純相位 ＋量化 QD0.45 r0.9,identity,10,0.36295,0.04978,0.0,10
ours_ph_qd45,本方法 純相位 ＋量化 QD0.45 r0.9,jpeg90,10,0.30391,0.02336,0.06024,10
ours_ph_qd45,本方法 純相位 ＋量化 QD0.45 r0.9,jpeg75,10,0.24851,0.02716,0.10972,10
ours_ph_qd45,本方法 純相位 ＋量化 QD0.45 r0.9,jpeg50,10,0.19239,0.0417,0.16773,10
ours_ph_qd45,本方法 純相位 ＋量化 QD0.45 r0.9,jpeg30,10,0.18003,0.04975,0.22739,10
dct_native,DCT-Shield 原生 q0.95,identity,10,0.66795,0.08404,0.0,10
dct_native,DCT-Shield 原生 q0.95,jpeg90,10,0.40748,0.04059,0.06024,10
dct_native,DCT-Shield 原生 q0.95,jpeg75,10,0.10661,0.04963,0.10972,10
dct_native,DCT-Shield 原生 q0.95,jpeg50,10,0.03521,0.02714,0.16773,10
dct_native,DCT-Shield 原生 q0.95,jpeg30,10,0.01765,0.01134,0.22739,9
dct_native,DCT-Shield 原生 q0.95,blur1,10,0.13565,0.04958,0.17775,10
dct_native,DCT-Shield 原生 q0.95,blur2,10,0.06487,0.07315,0.30983,10
dct_native,DCT-Shield 原生 q0.95,crop_resize0.1,10,0.11339,0.05949,0.50505,10
dct_native,DCT-Shield 原生 q0.95,crop_resize0.15,10,0.07077,0.04909,0.5812,9
dct_aj85,DCT-Shield 抗JPEG q0.85,identity,10,0.67022,0.07966,0.0,10
dct_aj85,DCT-Shield 抗JPEG q0.85,jpeg90,10,0.48718,0.08134,0.06024,10
dct_aj85,DCT-Shield 抗JPEG q0.85,jpeg75,10,0.45328,0.08788,0.10972,10
dct_aj85,DCT-Shield 抗JPEG q0.85,jpeg50,10,0.11965,0.03865,0.16773,10
dct_aj85,DCT-Shield 抗JPEG q0.85,jpeg30,10,0.04487,0.02619,0.22739,10
dct_aj85,DCT-Shield 抗JPEG q0.85,blur1,10,0.08538,0.06755,0.17775,10
dct_aj85,DCT-Shield 抗JPEG q0.85,blur2,10,0.02028,0.03122,0.30983,8
dct_aj85,DCT-Shield 抗JPEG q0.85,crop_resize0.1,10,0.10978,0.05297,0.50505,10
dct_aj85,DCT-Shield 抗JPEG q0.85,crop_resize0.15,10,0.05931,0.04383,0.5812,9
dct_aj75,DCT-Shield 抗JPEG q0.75,identity,10,0.6782,0.08019,0.0,10
dct_aj75,DCT-Shield 抗JPEG q0.75,jpeg90,10,0.51255,0.09332,0.06024,10
dct_aj75,DCT-Shield 抗JPEG q0.75,jpeg75,10,0.47317,0.08425,0.10972,10
dct_aj75,DCT-Shield 抗JPEG q0.75,jpeg50,10,0.10107,0.06227,0.16773,10
dct_aj75,DCT-Shield 抗JPEG q0.75,jpeg30,10,0.05241,0.02335,0.22739,10
dct_aj75,DCT-Shield 抗JPEG q0.75,blur1,10,0.09072,0.06296,0.17775,10
dct_aj75,DCT-Shield 抗JPEG q0.75,blur2,10,0.02133,0.02893,0.30983,9
dct_aj75,DCT-Shield 抗JPEG q0.75,crop_resize0.1,10,0.10908,0.04998,0.50505,10
dct_aj75,DCT-Shield 抗JPEG q0.75,crop_resize0.15,10,0.05691,0.04153,0.5812,9
dct_aj85_eps1.5,DCT-Shield 預算匹配 eps1.5,identity,6,0.69024,0.09975,0.0,6
dct_aj85_eps1.5,DCT-Shield 預算匹配 eps1.5,jpeg90,6,0.57123,0.06915,0.05241,6
dct_aj85_eps1.5,DCT-Shield 預算匹配 eps1.5,jpeg75,6,0.48085,0.05785,0.10371,6
dct_aj85_eps1.5,DCT-Shield 預算匹配 eps1.5,jpeg50,6,0.19827,0.07023,0.16283,6
dct_aj85_eps1.5,DCT-Shield 預算匹配 eps1.5,jpeg30,6,0.07065,0.03011,0.21717,6
dct_aj85_eps1.5,DCT-Shield 預算匹配 eps1.5,blur1,6,0.10907,0.05366,0.17142,6
dct_aj85_eps1.5,DCT-Shield 預算匹配 eps1.5,blur2,6,0.02698,0.01638,0.30794,6
dct_aj85_eps1.5,DCT-Shield 預算匹配 eps1.5,crop_resize0.1,6,0.13678,0.06488,0.49944,6
dct_aj85_eps1.5,DCT-Shield 預算匹配 eps1.5,crop_resize0.15,6,0.07093,0.05456,0.58687,5
dct_aj85_eps2.2,DCT-Shield 預算匹配 eps2.2,identity,6,0.69737,0.10187,0.0,6
dct_aj85_eps2.2,DCT-Shield 預算匹配 eps2.2,jpeg90,6,0.6287,0.08485,0.05241,6
dct_aj85_eps2.2,DCT-Shield 預算匹配 eps2.2,jpeg75,6,0.48789,0.04594,0.10371,6
dct_aj85_eps2.2,DCT-Shield 預算匹配 eps2.2,jpeg50,6,0.48349,0.05363,0.16283,6
dct_aj85_eps2.2,DCT-Shield 預算匹配 eps2.2,jpeg30,6,0.18178,0.04253,0.21717,6
dct_aj85_eps2.2,DCT-Shield 預算匹配 eps2.2,blur1,6,0.17988,0.07063,0.17142,6
dct_aj85_eps2.2,DCT-Shield 預算匹配 eps2.2,blur2,6,0.06539,0.03433,0.30794,6
dct_aj85_eps2.2,DCT-Shield 預算匹配 eps2.2,crop_resize0.1,6,0.15393,0.0603,0.49944,6
dct_aj85_eps2.2,DCT-Shield 預算匹配 eps2.2,crop_resize0.15,6,0.08204,0.05722,0.58687,5
dct_aj50_eps0.22,DCT-Shield q0.50 eps0.22（eps<1）,identity,10,0.64258,0.08266,0.0,10
dct_aj50_eps0.22,DCT-Shield q0.50 eps0.22（eps<1）,jpeg90,10,0.48099,0.08037,0.06024,10
dct_aj50_eps0.22,DCT-Shield q0.50 eps0.22（eps<1）,jpeg75,10,0.13834,0.0621,0.10972,10
