condition,n,block,hop,radius,gain_ratio,floor_scale,loss,freq_weight,freq_weight_power,defense_steps,fid_dists,fid_psnr,fid_lpips,fid_ssim,edit_lpips,edit_clip_sim,blocked_clip,clip_blocked_threshold
r01_f0100,13,32,16,0.1,1.0,0.1,latent_norm,jpeg_luma,0.25,1000,0.02012,33.45,0.33179,0.99113,0.36565,0.93786,0,0.8445
r01_f0140,13,32,16,0.1,1.0,0.14,latent_norm,jpeg_luma,0.25,1000,0.02521,32.08762,0.35908,0.98848,0.39181,0.92825,0,0.8445
r01_f0180,13,32,16,0.1,1.0,0.18,latent_norm,jpeg_luma,0.25,1000,0.02941,31.08385,0.37924,0.986,0.41838,0.91963,0,0.8445
r05_f0050,13,32,16,0.5,1.0,0.05,latent_norm,jpeg_luma,0.25,1000,0.05585,29.43923,0.42358,0.97186,0.52873,0.85763,3,0.8445
r01_f050,13,32,16,0.1,1.0,0.5,latent_norm,jpeg_luma,0.25,1000,0.05688,27.35646,0.459,0.96738,0.57914,0.79815,5,0.8445
lo_h8_r08_f035,13,32,8,0.8,1.0,0.035,latent_norm,jpeg_luma,0.25,1000,0.06873,29.18185,0.43755,0.96668,0.58407,0.78091,8,0.8445
lo_r08_f030,13,32,16,0.8,1.0,0.03,latent_norm,jpeg_luma,0.25,1000,0.07078,28.853,0.43176,0.96295,0.52316,0.85888,5,0.8445
r05_f0100,13,32,16,0.5,1.0,0.1,latent_norm,jpeg_luma,0.25,1000,0.07599,27.02831,0.47636,0.95698,0.59884,0.76367,7,0.8445
b32h8_r12_f015,13,32,8,1.2,1.0,0.015,latent_norm,jpeg_luma,0.25,1000,0.08329,28.76462,0.42093,0.9584,0.56097,0.79089,6,0.8445
lo_r10_f030,13,32,16,1.0,1.0,0.03,latent_norm,jpeg_luma,0.25,1000,0.08545,27.80031,0.45355,0.95297,0.58143,0.79459,6,0.8445
r01_f100,13,32,16,0.1,1.0,1.0,latent_norm,jpeg_luma,0.25,1000,0.09165,24.65554,0.51772,0.93852,0.64382,0.73224,9,0.8445
r10_f0040,13,32,16,1.0,1.0,0.04,latent_norm,jpeg_luma,0.25,1000,0.09229,27.08846,0.47455,0.94728,0.60578,0.76408,8,0.8445
lo_r12_f035,13,32,16,1.2,1.0,0.035,latent_norm,jpeg_luma,0.25,1000,0.10239,26.67162,0.48122,0.93987,0.62741,0.76402,8,0.8445
b32h4_r15_f020,13,32,4,1.5,1.0,0.02,latent_norm,jpeg_luma,0.25,1000,0.10388,27.27769,0.46062,0.9439,0.62098,0.75703,7,0.8445
