image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,r_max,gl_iters,block,hop,quantile,gate_edge_power,freq_weight,freq_weight_power,gain_weight,phase_channels,spectral_floor,floor_gate,theta_budget,coarsen,warp_grid,update,step_size,saturate_at,warp_init_std,dct_mode,dct_qd,dct_pairing,dct_gate,defense_steps,loss,gain_ratio,purify_aware,deliver_jpeg,stage2_steps,stage2_ops,stage2_order,stage2_step_scale,stage2_trust,stage2_check_every,stage2_ramp,delta_within_1,delta_nonzero,zero_coef_frac,dct_q_alg,dct_gamma,wm_tau,wm_mu,wm_diagonals,wm_q_embed,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,edit_clip_sim,edit_siglip_sim,blocked,siglip_blocked_threshold,total_seconds
task_attr_mod_color_11699,dct_unified_rand,instruct-pix2pix,turn the color of potted plant to pink,,2.2,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,plane,0.85,transpose,texture,1000,latent_norm,0.0,none,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0.98077,0.06805,0.83581,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.19817,0.98481,26.695,0.54741,0.01927,0.19107,0.91941,22.904,0.39074,0.0726,0.96471,0.04626,0.98843,0.9715,False,0.837,56.6
task_attr_mod_color_136767,dct_unified_rand,instruct-pix2pix,turn the color of astronaut to pink,,2.2,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,plane,0.85,transpose,texture,1000,latent_norm,0.0,none,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0.97441,0.08022,0.83135,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.18566,0.98141,25.584,0.49719,0.0319,0.21449,0.87365,19.588,0.3728,0.11612,1.0,0.05258,0.98075,0.97176,False,0.837,46.8
task_attr_mod_color_184837,dct_unified_rand,instruct-pix2pix,turn the color of frame to pink,,2.2,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,plane,0.85,transpose,texture,1000,latent_norm,0.0,none,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0.93596,0.17677,0.73483,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.27297,0.97362,21.519,0.42528,0.04209,0.26963,0.80669,19.632,0.26866,0.13449,1.0,0.08395,0.98448,0.9632,False,0.837,46.8
task_attr_mod_color_32648,dct_unified_rand,instruct-pix2pix,turn the color of potion bottle to orange,,2.2,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,plane,0.85,transpose,texture,1000,latent_norm,0.0,none,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0.99673,0.0137,0.94156,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.1225,0.9911,34.238,0.57933,0.0171,0.13167,0.94224,23.639,0.65773,0.10124,0.77255,0.01941,0.97663,0.98404,False,0.837,46.8
task_attr_mod_color_6205,dct_unified_rand,instruct-pix2pix,turn the color of toolbox to red,,2.2,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,plane,0.85,transpose,texture,1000,latent_norm,0.0,none,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0.98798,0.05347,0.872,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.1897,0.97314,28.299,0.59114,0.03103,0.17936,0.92085,25.757,0.47267,0.08323,0.93333,0.03846,0.98912,0.97753,False,0.837,35.8
task_env_weather_112463,dct_unified_rand,instruct-pix2pix,transform the setting to spring with blooming flowers,,2.2,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,plane,0.85,transpose,texture,1000,latent_norm,0.0,none,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0.97737,0.10548,0.85591,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.38582,0.97442,26.409,0.4734,0.01993,0.42411,0.69808,18.189,0.30469,0.19962,0.87433,0.04781,0.85817,0.84907,False,0.837,46.7
task_obj_remove_380621,dct_unified_rand,instruct-pix2pix,Remove iceberg,,2.2,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,plane,0.85,transpose,texture,1000,latent_norm,0.0,none,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0.97574,0.09437,0.80157,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.25364,0.97893,25.839,0.49024,0.02921,0.27869,0.8081,21.167,0.32273,0.09773,1.0,0.05106,0.98985,0.97911,False,0.837,46.8
task_obj_swap_joint_mask_276754,dct_unified_rand,instruct-pix2pix,Replace the satellite dish with rocket,,2.2,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,plane,0.85,transpose,texture,1000,latent_norm,0.0,none,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0.94972,0.18499,0.69052,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.22051,0.95093,23.209,0.29756,0.06116,0.1038,0.91601,25.956,0.38613,0.08988,0.96863,0.06911,0.97405,0.96917,False,0.837,46.9
task_obj_swap_joint_mask_533428,dct_unified_rand,instruct-pix2pix,Replace the samurai armor with red jacket,,2.2,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,plane,0.85,transpose,texture,1000,latent_norm,0.0,none,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0.94165,0.17557,0.74767,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.29664,0.95957,21.905,0.37522,0.03594,0.33643,0.65691,16.608,0.22898,0.13569,1.0,0.08031,0.86271,0.91238,False,0.837,46.9
task_obj_swap_rand_mask_417469,dct_unified_rand,instruct-pix2pix,Replace the green flannel shirt with blue shirt,,2.2,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,plane,0.85,transpose,texture,1000,latent_norm,0.0,none,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0.97416,0.09822,0.80663,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.23324,0.96223,25.287,0.45364,0.0166,0.23271,0.84333,23.021,0.33577,0.08296,0.99608,0.0544,0.96007,0.95395,False,0.837,48.3
