ref,other,anchor,ref_radius,ref_x,ref_y,other_value,out_of_range,seg_lo_radius,seg_hi_radius,seg_lo,seg_hi,crossings
dct_shield,phase_rand,等失真,1.0,0.05379,0.65835,0.11933,False,1.0,1.3,0.04772,0.07196,1
dct_shield,phase_rand,等效果,1.0,0.05379,0.65835,,True,,,,,
