image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,r_max,gl_iters,block,hop,quantile,gate_edge_power,freq_weight,freq_weight_power,gain_weight,phase_channels,spectral_floor,floor_gate,theta_budget,warp_grid,defense_steps,loss,gain_ratio,purify_aware,deliver_jpeg,dct_q_alg,dct_gamma,wm_tau,wm_mu,wm_diagonals,wm_q_embed,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,edit_clip_sim,edit_siglip_sim,blocked,siglip_blocked_threshold,total_seconds
task_attr_mod_color_11699,dct_shield_y,instruct-pix2pix,turn the color of potted plant to pink,,0.42,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,16,1000,encoder_target,0.0,none,0.0,0.3,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,True,0.69983,0.68031,16.997,0.13806,0.19571,0.67695,0.38087,8.372,0.09216,0.37905,0.82222,0.14131,0.73672,0.69857,True,0.837,389.3
task_attr_mod_color_136767,dct_shield_y,instruct-pix2pix,turn the color of astronaut to pink,,0.42,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,16,1000,encoder_target,0.0,none,0.0,0.3,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,True,0.65277,0.61802,17.398,0.1491,0.22006,0.62584,0.24355,6.665,0.02208,0.45146,0.88659,0.13492,0.76811,0.85303,False,0.837,373.7
task_attr_mod_color_184837,dct_shield_y,instruct-pix2pix,turn the color of frame to pink,,0.42,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,16,1000,encoder_target,0.0,none,0.0,0.3,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,True,0.64225,0.81734,16.854,0.20557,0.18371,0.78175,0.13639,6.234,0.03485,0.66954,0.8249,0.14365,0.69742,0.63174,True,0.837,374.2
task_attr_mod_color_32648,dct_shield_y,instruct-pix2pix,turn the color of potion bottle to orange,,0.42,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,16,1000,encoder_target,0.0,none,0.0,0.3,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,True,0.71372,0.41073,18.359,0.03639,0.33486,0.63407,0.41591,10.033,0.06514,0.39467,0.74347,0.1208,0.81492,0.69791,True,0.837,373.9
task_attr_mod_color_6205,dct_shield_y,instruct-pix2pix,turn the color of toolbox to red,,0.42,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,16,1000,encoder_target,0.0,none,0.0,0.3,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,True,0.71487,0.66583,17.461,0.13021,0.23227,0.72909,0.18819,6.518,0.708,0.77579,0.92951,0.13396,0.55303,0.46931,True,0.837,373.9
task_env_weather_112463,dct_shield_y,instruct-pix2pix,transform the setting to spring with blooming flowers,,0.42,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,16,1000,encoder_target,0.0,none,0.0,0.3,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,True,0.75768,0.71282,17.377,0.1477,0.18356,0.91282,0.27249,10.46,0.15361,0.40656,0.89378,0.13525,0.55758,0.58125,True,0.837,373.7
task_obj_remove_380621,dct_shield_y,instruct-pix2pix,Remove iceberg,,0.42,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,16,1000,encoder_target,0.0,none,0.0,0.3,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,True,0.70585,0.7017,17.243,0.14114,0.24559,0.75383,0.23172,7.615,0.04534,0.40599,0.82194,0.13735,0.71005,0.68639,True,0.837,373.3
task_obj_swap_joint_mask_276754,dct_shield_y,instruct-pix2pix,Replace the satellite dish with rocket,,0.42,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,16,1000,encoder_target,0.0,none,0.0,0.3,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,True,0.5168,0.74678,17.661,0.11921,0.19112,0.64709,0.55178,12.981,0.0173,0.39052,0.89638,0.13091,0.85788,0.91744,False,0.837,372.5
task_obj_swap_joint_mask_533428,dct_shield_y,instruct-pix2pix,Replace the samurai armor with red jacket,,0.42,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,16,1000,encoder_target,0.0,none,0.0,0.3,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,True,0.63574,0.75313,17.125,0.1808,0.19241,0.6397,0.24005,9.198,0.06091,0.29536,0.82059,0.13923,0.61635,0.60434,True,0.837,373.2
task_obj_swap_rand_mask_417469,dct_shield_y,instruct-pix2pix,Replace the green flannel shirt with blue shirt,,0.42,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,16,1000,encoder_target,0.0,none,0.0,0.3,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,True,0.67432,0.65359,17.715,0.13552,0.20406,0.75713,0.18361,8.719,0.05055,0.41092,0.8392,0.1301,0.34624,0.4978,True,0.837,373.0
