image,site,rank,prompt,steps,k_inv,n_edit,n_eot,seconds,purify_mode,align_steps,align_seconds,align_lpips,align_psnr,peak_mb,residual_gain,eff_rank_mean,energy_rank_99_mean,energy_rank_90_mean,raw_eff_rank_mean,raw_energy_rank_99_mean,clamped_fraction,final_loss,final_L_def,final_L_fid,final_shift,final_psnr,final_linf,final_psnr_total,final_linf_total,final_ssim,final_lpips,disp_mean_px,disp_max_px,disp_p99_px,flow_tv,grid_size,prompt_idx,prompt_split,eval_prompt,eval_strength,strength_split,edit_lpips,edit_psnr,ctrl_lpips,net_lpips
car_00,S,32,a wrecked car after an accident,25,10,10,1,97.6,rotate,0,0.0,,,10149.0,0.6,512.0,326.0,178.66666666666666,,,,0.26390540599823,0.2258169949054718,0.038088418543338776,0.2741830050945282,24.17908477783203,0.8284478187561035,24.17908477783203,0.8284478187561035,0.9441115260124207,0.038088418543338776,0.4880775809288025,2.0544891357421875,1.3592036962509155,1.1410681009292603,32,0,train,a wrecked car after an accident,0.3,heldout,0.11494690924882889,22.50848388671875,0.0,0.11494690924882889
car_00,S,32,a wrecked car after an accident,25,10,10,1,97.6,rotate,0,0.0,,,10149.0,0.6,512.0,326.0,178.66666666666666,,,,0.26390540599823,0.2258169949054718,0.038088418543338776,0.2741830050945282,24.17908477783203,0.8284478187561035,24.17908477783203,0.8284478187561035,0.9441115260124207,0.038088418543338776,0.4880775809288025,2.0544891357421875,1.3592036962509155,1.1410681009292603,32,0,train,a wrecked car after an accident,0.5,train,0.1315871626138687,23.660655975341797,0.0,0.1315871626138687
car_00,S,32,a wrecked car after an accident,25,10,10,1,97.6,rotate,0,0.0,,,10149.0,0.6,512.0,326.0,178.66666666666666,,,,0.26390540599823,0.2258169949054718,0.038088418543338776,0.2741830050945282,24.17908477783203,0.8284478187561035,24.17908477783203,0.8284478187561035,0.9441115260124207,0.038088418543338776,0.4880775809288025,2.0544891357421875,1.3592036962509155,1.1410681009292603,32,0,train,a wrecked car after an accident,0.7,heldout,0.08626879006624222,27.065521240234375,0.0,0.08626879006624222
car_00,S,32,a wrecked car after an accident,25,10,10,1,97.6,rotate,0,0.0,,,10149.0,0.6,512.0,326.0,178.66666666666666,,,,0.26390540599823,0.2258169949054718,0.038088418543338776,0.2741830050945282,24.17908477783203,0.8284478187561035,24.17908477783203,0.8284478187561035,0.9441115260124207,0.038088418543338776,0.4880775809288025,2.0544891357421875,1.3592036962509155,1.1410681009292603,32,1,heldout,a car driving in a flooded street,0.3,heldout,0.11451306194067001,22.472949981689453,0.0,0.11451306194067001
car_00,S,32,a wrecked car after an accident,25,10,10,1,97.6,rotate,0,0.0,,,10149.0,0.6,512.0,326.0,178.66666666666666,,,,0.26390540599823,0.2258169949054718,0.038088418543338776,0.2741830050945282,24.17908477783203,0.8284478187561035,24.17908477783203,0.8284478187561035,0.9441115260124207,0.038088418543338776,0.4880775809288025,2.0544891357421875,1.3592036962509155,1.1410681009292603,32,1,heldout,a car driving in a flooded street,0.5,train,0.1366105079650879,23.365848541259766,0.0,0.1366105079650879
car_00,S,32,a wrecked car after an accident,25,10,10,1,97.6,rotate,0,0.0,,,10149.0,0.6,512.0,326.0,178.66666666666666,,,,0.26390540599823,0.2258169949054718,0.038088418543338776,0.2741830050945282,24.17908477783203,0.8284478187561035,24.17908477783203,0.8284478187561035,0.9441115260124207,0.038088418543338776,0.4880775809288025,2.0544891357421875,1.3592036962509155,1.1410681009292603,32,1,heldout,a car driving in a flooded street,0.7,heldout,0.09081944078207016,27.259923934936523,0.0,0.09081944078207016
car_01,S,32,a wrecked car after an accident,25,10,10,1,97.5,rotate,0,0.0,,,11507.9,0.59,512.0,311.6666666666667,165.33333333333334,,,,0.2725067734718323,0.2278156578540802,0.04469110071659088,0.2721843421459198,24.639663696289062,0.8444827198982239,24.639663696289062,0.8444827198982239,0.9466306567192078,0.04469110071659088,0.5059126615524292,2.1213202476501465,1.4074954986572266,1.2258903980255127,32,0,train,a wrecked car after an accident,0.3,heldout,0.10586070269346237,25.090621948242188,0.0,0.10586070269346237
car_01,S,32,a wrecked car after an accident,25,10,10,1,97.5,rotate,0,0.0,,,11507.9,0.59,512.0,311.6666666666667,165.33333333333334,,,,0.2725067734718323,0.2278156578540802,0.04469110071659088,0.2721843421459198,24.639663696289062,0.8444827198982239,24.639663696289062,0.8444827198982239,0.9466306567192078,0.04469110071659088,0.5059126615524292,2.1213202476501465,1.4074954986572266,1.2258903980255127,32,0,train,a wrecked car after an accident,0.5,train,0.12080070376396179,25.920242309570312,0.0,0.12080070376396179
car_01,S,32,a wrecked car after an accident,25,10,10,1,97.5,rotate,0,0.0,,,11507.9,0.59,512.0,311.6666666666667,165.33333333333334,,,,0.2725067734718323,0.2278156578540802,0.04469110071659088,0.2721843421459198,24.639663696289062,0.8444827198982239,24.639663696289062,0.8444827198982239,0.9466306567192078,0.04469110071659088,0.5059126615524292,2.1213202476501465,1.4074954986572266,1.2258903980255127,32,0,train,a wrecked car after an accident,0.7,heldout,0.06831309199333191,31.76573944091797,0.0,0.06831309199333191
car_01,S,32,a wrecked car after an accident,25,10,10,1,97.5,rotate,0,0.0,,,11507.9,0.59,512.0,311.6666666666667,165.33333333333334,,,,0.2725067734718323,0.2278156578540802,0.04469110071659088,0.2721843421459198,24.639663696289062,0.8444827198982239,24.639663696289062,0.8444827198982239,0.9466306567192078,0.04469110071659088,0.5059126615524292,2.1213202476501465,1.4074954986572266,1.2258903980255127,32,1,heldout,a car driving in a flooded street,0.3,heldout,0.10453198850154877,25.068063735961914,0.0,0.10453198850154877
