image,site,rank,prompt,steps,k_inv,n_edit,n_eot,seconds,purify_mode,align_steps,align_seconds,align_lpips,align_psnr,peak_mb,residual_gain,eff_rank_mean,energy_rank_99_mean,energy_rank_90_mean,raw_eff_rank_mean,raw_energy_rank_99_mean,clamped_fraction,final_loss,final_L_def,final_L_fid,final_shift,final_psnr,final_linf,final_psnr_total,final_linf_total,final_ssim,final_lpips
car_00,PF,16,a wrecked car after an accident,25,10,10,1,97.2,rotate,0,0.0,,,10154.9,4.02,512.0,363.3333333333333,207.66666666666666,512.0,363.3333333333333,0.045035045593976974,6.610870838165283,0.0,6.610870838165283,0.5383265018463135,28.471996307373047,0.12441617250442505,28.471996307373047,0.12441617250442505,0.9284864664077759,0.09774045646190643
car_00,P,16,a wrecked car after an accident,25,10,10,1,97.6,rotate,0,0.0,,,11509.4,6.23,358.6666666666667,17.333333333333332,10.666666666666666,16.0,15.333333333333334,0.014072418212890625,2.285048007965088,0.21862223744392395,2.0664258003234863,0.28137776255607605,38.36363983154297,0.0802149623632431,38.36363983154297,0.0802149623632431,0.9888948202133179,0.03382423520088196
car_01,PF,16,a wrecked car after an accident,25,10,10,1,97.0,rotate,0,0.0,,,11518.8,3.87,512.0,369.6666666666667,217.33333333333334,512.0,369.3333333333333,0.014476776123046875,7.184764385223389,0.0,7.184764385223389,0.5673496723175049,28.737451553344727,0.1292591392993927,28.737451553344727,0.1292591392993927,0.9356294870376587,0.1009354442358017
car_01,P,16,a wrecked car after an accident,25,10,10,1,97.6,rotate,0,0.0,,,11507.6,5.78,236.33333333333334,16.0,11.333333333333334,16.0,16.0,0.00299835205078125,2.8692259788513184,0.16033875942230225,2.7088871002197266,0.33966124057769775,38.20817947387695,0.08650428056716919,38.20817947387695,0.08650428056716919,0.9892630577087402,0.04772195219993591
dog_00,PF,16,a cat sitting on the grass,25,10,10,1,97.5,rotate,0,0.0,,,11518.8,4.15,512.0,382.0,240.33333333333334,512.0,382.0,0.00663630198687315,10.96481704711914,0.04132413864135742,10.923492431640625,0.4586758613586426,31.05156898498535,0.12047004699707031,31.05156898498535,0.12047004699707031,0.9262207746505737,0.14656147360801697
dog_00,P,16,a cat sitting on the grass,25,10,10,1,97.6,rotate,0,0.0,,,11509.1,7.36,111.66666666666667,16.0,11.666666666666666,16.0,16.0,0.0025113425217568874,1.002418041229248,0.10839706659317017,0.8940209746360779,0.39160293340682983,38.89578628540039,0.06793725490570068,38.89578628540039,0.06793725490570068,0.9819640517234802,0.08225943148136139
dog_01,PF,16,a cat sitting on the grass,25,10,10,1,97.6,rotate,0,0.0,,,11518.8,4.48,512.0,380.3333333333333,238.0,512.0,380.3333333333333,0.01798248291015625,11.121304512023926,0.0697445273399353,11.051560401916504,0.4302554726600647,32.40626525878906,0.11166834086179733,32.40626525878906,0.11166834086179733,0.911796510219574,0.15640121698379517
dog_01,P,16,a cat sitting on the grass,25,10,10,1,97.6,rotate,0,0.0,,,11509.1,8.51,144.0,16.0,12.333333333333334,16.0,16.0,0.004351298324763775,0.18809837102890015,0.10154974460601807,0.08654863387346268,0.39845025539398193,42.173973083496094,0.058767080307006836,42.173973083496094,0.058767080307006836,0.9894553422927856,0.07600397616624832
person_00,PF,16,an elderly person with gray hair,25,10,10,1,97.6,rotate,0,0.0,,,11518.8,4.46,512.0,382.0,240.66666666666666,512.0,381.3333333333333,0.0247294120490551,10.59939956665039,0.0699235200881958,10.529476165771484,0.4300764799118042,31.715373992919922,0.11212709546089172,31.715373992919922,0.11212709546089172,0.9175364971160889,0.15083467960357666
person_00,P,16,an elderly person with gray hair,25,10,10,1,97.6,rotate,0,0.0,,,11509.1,7.9,168.0,16.0,12.0,16.0,16.0,0.0035883586388081312,0.5170989036560059,0.09332972764968872,0.42376914620399475,0.4066702723503113,39.65559768676758,0.06327658146619797,39.65559768676758,0.06327658146619797,0.9806491732597351,0.07676002383232117
person_01,PF,16,an elderly person with gray hair,25,10,10,1,97.8,rotate,0,0.0,,,11518.8,4.44,512.0,381.0,239.0,512.0,380.6666666666667,0.029109954833984375,10.297953605651855,0.019949287176132202,10.27800464630127,0.4800507128238678,31.525238037109375,0.11252784729003906,31.525238037109375,0.11252784729003906,0.8668836355209351,0.14744657278060913
person_01,P,16,an elderly person with gray hair,25,10,10,1,97.7,rotate,0,0.0,,,11509.1,7.64,267.6666666666667,16.0,12.0,16.0,16.0,0.00819905661046505,0.6838809847831726,0.03276562690734863,0.651115357875824,0.46723437309265137,40.41877746582031,0.06540518999099731,40.41877746582031,0.06540518999099731,0.9748317003250122,0.08542792499065399
