image,condition,stage1_seconds,total_seconds,fid_lpips,fid_ssim,fid_dists,fid_psnr,fid_clip_img,fid_nima,fid_cnniqa,edit_lpips,edit_clip_orig,edit_clip_def,edit_clip_drop,edit_siglip_orig,edit_siglip_def,edit_siglip_drop
butterfly,nativeLoRA_BDIA,46.8,107.8,0.267,0.8004,0.1061,22.7454,0.9819,4.9506,0.6293,0.217,0.2684,0.2636,0.0048,0.0562,0.0453,0.0109
butterfly,nativeLoRA_DDIM,46.2,112.6,0.2398,0.8109,0.105,23.0285,0.9826,5.2598,0.5839,0.2078,0.2684,0.2645,0.004,0.0562,0.0499,0.0063
butterfly,ourStage1_BDIA,0.0,185.9,0.2616,0.7886,0.1193,22.2963,0.9803,4.9617,0.5973,0.254,0.2684,0.2783,-0.0098,0.0562,0.0703,-0.0141
butterfly,ourStage1_DDIM,0.0,177.2,0.2313,0.8074,0.1013,22.7399,0.9772,5.313,0.5018,0.2492,0.2684,0.2712,-0.0027,0.0562,0.045,0.0112
coot,nativeLoRA_BDIA,46.8,108.3,0.2894,0.7733,0.1896,22.233,0.831,4.1147,0.4942,0.2124,0.301,0.314,-0.013,0.1004,0.0863,0.0141
coot,nativeLoRA_DDIM,46.3,113.4,0.2471,0.7953,0.1868,22.8776,0.8121,4.6706,0.5029,0.2018,0.301,0.3128,-0.0118,0.1004,0.1005,-0.0001
coot,ourStage1_BDIA,0.0,154.8,0.242,0.7934,0.1784,22.582,0.9206,4.2104,0.5001,0.1809,0.301,0.2994,0.0016,0.1004,0.0926,0.0078
coot,ourStage1_DDIM,0.0,159.6,0.2287,0.8005,0.1794,23.0672,0.92,4.4066,0.4985,0.1573,0.301,0.3112,-0.0102,0.1004,0.0876,0.0128
panda,nativeLoRA_BDIA,46.5,107.3,0.3378,0.7498,0.1877,24.7357,0.8709,4.3269,0.5512,0.172,0.2738,0.3098,-0.036,0.0558,0.1263,-0.0706
panda,nativeLoRA_DDIM,45.9,111.9,0.3005,0.7809,0.1786,24.8141,0.9247,5.2424,0.5043,0.1795,0.2738,0.2947,-0.021,0.0558,0.0591,-0.0034
panda,ourStage1_BDIA,0.0,148.9,0.2731,0.7864,0.1645,25.2294,0.8791,4.5517,0.5251,0.1795,0.2738,0.2719,0.0018,0.0558,0.0571,-0.0013
panda,ourStage1_DDIM,0.0,173.1,0.2625,0.7932,0.1528,25.2389,0.9277,4.8538,0.488,0.2037,0.2738,0.2651,0.0087,0.0558,0.0447,0.0111
butterfly,dia_r,0.0,135.1,0.1632,0.9906,0.0254,39.9959,0.9948,5.6326,0.5242,0.3336,0.2684,0.2715,-0.0031,0.0562,0.0507,0.0055
butterfly,mist,0.0,52.1,0.5481,0.8466,0.1759,26.2881,0.9462,4.8234,0.6032,0.6975,0.2684,0.2236,0.0449,0.0562,0.005,0.0513
butterfly,photoguard_c,0.0,6222.7,0.209,0.99,0.024,40.8944,0.9918,5.5982,0.5346,0.4992,0.2684,0.2033,0.0651,0.0562,0.0394,0.0168
coot,dia_r,0.0,136.7,0.1405,0.9932,0.0183,39.5773,0.9968,4.4866,0.4677,0.2409,0.301,0.3163,-0.0153,0.1004,0.0841,0.0164
coot,mist,0.0,50.8,0.5235,0.8901,0.1678,26.5431,0.923,4.1893,0.4692,0.5851,0.301,0.209,0.092,0.1004,0.0348,0.0656
coot,photoguard_c,0.0,6480.8,0.2518,0.993,0.0379,40.8956,0.9948,4.4538,0.4878,0.3159,0.301,0.3296,-0.0286,0.1004,0.0967,0.0038
panda,dia_r,0.0,136.6,0.2586,0.9798,0.0409,39.1683,0.9967,4.8789,0.4795,0.4091,0.2738,0.32,-0.0463,0.0558,0.0851,-0.0293
panda,mist,0.0,51.5,0.6114,0.7948,0.1738,27.1522,0.9519,4.6035,0.656,0.6674,0.2738,0.2452,0.0285,0.0558,0.0088,0.0469
panda,photoguard_c,0.0,6315.4,0.2393,0.9768,0.0429,40.899,0.9954,4.8481,0.4792,0.5023,0.2738,0.2984,-0.0247,0.0558,0.0793,-0.0236
