step,note,random_seed,init_std,site,fid_acut,fid_pen_acut,fid_chroma,fid_pen_chroma,fid_linf_total,fid_psnr_total,fid_lpips,fid_lpips_rel,fid_ssim,fid_linf,fid_psnr,fid_pen_linf,fid_pen_lpips,fid_pen_psnr,align_loss,align_psnr_floor,align_tau_acut,align_tau_chroma,align_tau_lpips,align_best_step
0,random control：無最佳化,2681428344,0.5,apa,,,,,,,,,,,,,,,,,,,,
0,,,,,0.07268553227186203,5.21540641784668e-08,0.9798662662506104,0.0,0.540459394454956,31.765399932861328,0.1146078109741211,0.1146078109741211,0.9411882162094116,0.540459394454956,31.765399932861328,0.48045939207077026,0.0,0.0,5.21540641784668e-06,31.765399932861328,0.07268548011779785,0.9798662662506104,0.11460784077644348,4
1,,,,,0.07460358738899231,0.001918107271194458,0.9476345777511597,0.0,0.5400770306587219,31.769672393798828,0.114417664706707,0.114417664706707,0.9412342309951782,0.5400770306587219,31.769672393798828,0.48007702827453613,0.0,0.0,0.1918107271194458,31.765399932861328,0.07268548011779785,0.9798662662506104,0.11460784077644348,4
2,,,,,0.07260239869356155,0.0,0.9394373893737793,0.0,0.5402789115905762,31.752975463867188,0.11438703536987305,0.11438703536987305,0.9411890506744385,0.5402789115905762,31.752975463867188,0.4802789092063904,0.0,0.012424468994140625,0.012424468994140625,31.765399932861328,0.07268548011779785,0.9798662662506104,0.11460784077644348,4
3,,,,,0.07166028022766113,0.0,0.9347333908081055,0.0,0.5406174063682556,31.763029098510742,0.1143568754196167,0.1143568754196167,0.9412038326263428,0.5406174063682556,31.763029098510742,0.4806174039840698,0.0,0.0023708343505859375,0.0023708343505859375,31.765399932861328,0.07268548011779785,0.9798662662506104,0.11460784077644348,4
4,,,,,0.07225107401609421,0.0,0.9319902658462524,0.0,0.5409160256385803,31.779356002807617,0.11434253305196762,0.11434253305196762,0.9412369132041931,0.5409160256385803,31.779356002807617,0.48091602325439453,0.0,0.0,0.0,31.765399932861328,0.07268548011779785,0.9798662662506104,0.11460784077644348,4
5,,,,,0.07266181707382202,0.0,0.9304158091545105,0.0,0.5411347150802612,31.790668487548828,0.11433710157871246,0.11433710157871246,0.9412589073181152,0.5411347150802612,31.790668487548828,0.48113471269607544,0.0,0.0,0.0,31.765399932861328,0.07268548011779785,0.9798662662506104,0.11460784077644348,4
6,,,,,0.07312969863414764,0.0004442185163497925,0.9296425580978394,0.0,0.5412945747375488,31.798755645751953,0.11433413624763489,0.11433413624763489,0.941274881362915,0.5412945747375488,31.798755645751953,0.48129457235336304,0.0,0.0,0.04442185163497925,31.765399932861328,0.07268548011779785,0.9798662662506104,0.11460784077644348,4
7,,,,,0.07243393361568451,0.0,0.9300739765167236,0.0,0.5414896011352539,31.800132751464844,0.11434733122587204,0.11434733122587204,0.9412695169448853,0.5414896011352539,31.800132751464844,0.4814895987510681,0.0,0.0,0.0,31.765399932861328,0.07268548011779785,0.9798662662506104,0.11460784077644348,4
8,,,,,0.07181911915540695,0.0,0.9305737018585205,0.0,0.5416562557220459,31.80097198486328,0.11435917764902115,0.11435917764902115,0.9412631988525391,0.5416562557220459,31.80097198486328,0.4816562533378601,0.0,0.0,0.0,31.765399932861328,0.07268548011779785,0.9798662662506104,0.11460784077644348,4
9,,,,,0.07127366960048676,0.0,0.9311134815216064,0.0,0.5417964458465576,31.80141830444336,0.11437060683965683,0.11437060683965683,0.9412575960159302,0.5417964458465576,31.80141830444336,0.4817964434623718,0.0,0.0,0.0,31.765399932861328,0.07268548011779785,0.9798662662506104,0.11460784077644348,4
10,,,,,0.07081424444913864,0.0,0.9316792488098145,0.0,0.5419119596481323,31.801593780517578,0.11438178271055222,0.11438178271055222,0.9412514567375183,0.5419119596481323,31.801593780517578,0.48191195726394653,0.0,0.0,0.0,31.765399932861328,0.07268548011779785,0.9798662662506104,0.11460784077644348,4
11,,,,,0.070396289229393,0.0,0.9322585463523865,0.0,0.5420131683349609,31.801565170288086,0.1143919974565506,0.1143919974565506,0.9412474632263184,0.5420131683349609,31.801565170288086,0.48201316595077515,0.0,0.0,0.0,31.765399932861328,0.07268548011779785,0.9798662662506104,0.11460784077644348,4
12,,,,,0.07001395523548126,0.0,0.9328463673591614,0.0,0.5421022772789001,31.8013858795166,0.11440154910087585,0.11440154910087585,0.9412407875061035,0.5421022772789001,31.8013858795166,0.48210227489471436,0.0,0.0,0.0,31.765399932861328,0.07268548011779785,0.9798662662506104,0.11460784077644348,4
13,,,,,0.06966846436262131,0.0,0.9334384799003601,0.0,0.5421786308288574,31.80109214782715,0.11441013962030411,0.11441013962030411,0.9412362575531006,0.5421786308288574,31.80109214782715,0.48217862844467163,0.0,0.0,0.0,31.765399932861328,0.07268548011779785,0.9798662662506104,0.11460784077644348,4
14,,,,,0.0693579837679863,0.0,0.9340184330940247,0.0,0.5422504544258118,31.80072784423828,0.11441788077354431,0.11441788077354431,0.9412306547164917,0.5422504544258118,31.80072784423828,0.482250452041626,0.0,0.0,0.0,31.765399932861328,0.07268548011779785,0.9798662662506104,0.11460784077644348,4
15,,,,,0.06907176226377487,0.0,0.9345948100090027,0.0,0.5423048138618469,31.80030059814453,0.1144246831536293,0.1144246831536293,0.9412263631820679,0.5423048138618469,31.80030059814453,0.48230481147766113,0.0,0.0,0.0,31.765399932861328,0.07268548011779785,0.9798662662506104,0.11460784077644348,4
16,,,,,0.06880757212638855,0.0,0.9351597428321838,0.0,0.5423545837402344,31.799846649169922,0.11443132907152176,0.11443132907152176,0.941222608089447,0.5423545837402344,31.799846649169922,0.4823545813560486,0.0,0.0,0.0,31.765399932861328,0.07268548011779785,0.9798662662506104,0.11460784077644348,4
17,,,,,0.06856492161750793,0.0,0.9357064962387085,0.0,0.5424002408981323,31.799365997314453,0.11443746089935303,0.11443746089935303,0.9412183165550232,0.5424002408981323,31.799365997314453,0.48240023851394653,0.0,0.0,0.0,31.765399932861328,0.07268548011779785,0.9798662662506104,0.11460784077644348,4
18,,,,,0.06833886355161667,0.0,0.9362380504608154,0.0,0.5424461364746094,31.798873901367188,0.11444352567195892,0.11444352567195892,0.9412144422531128,0.5424461364746094,31.798873901367188,0.4824461340904236,0.0,0.0,0.0,31.765399932861328,0.07268548011779785,0.9798662662506104,0.11460784077644348,4
19,,,,,0.06813111901283264,0.0,0.9367460012435913,0.0,0.5424778461456299,31.798381805419922,0.11444911360740662,0.11444911360740662,0.9412107467651367,0.5424778461456299,31.798381805419922,0.4824778437614441,0.0,0.0,0.0,31.765399932861328,0.07268548011779785,0.9798662662506104,0.11460784077644348,4
20,,,,,0.0679401308298111,0.0,0.9372336864471436,0.0,0.542514443397522,31.797895431518555,0.11445444822311401,0.11445444822311401,0.9412078857421875,0.542514443397522,31.797895431518555,0.4825144410133362,0.0,0.0,0.0,31.765399932861328,0.07268548011779785,0.9798662662506104,0.11460784077644348,4
21,,,,,0.06776740401983261,0.0,0.937694787979126,0.0,0.542546808719635,31.79742431640625,0.11445976048707962,0.11445976048707962,0.9412040710449219,0.542546808719635,31.79742431640625,0.4825468063354492,0.0,0.0,0.0,31.765399932861328,0.07268548011779785,0.9798662662506104,0.11460784077644348,4
22,,,,,0.06763389706611633,0.0,0.9381355047225952,0.0,0.5425796508789062,31.796953201293945,0.11446452140808105,0.11446452140808105,0.9412016272544861,0.5425796508789062,31.796953201293945,0.48257964849472046,0.0,0.0,0.0,31.765399932861328,0.07268548011779785,0.9798662662506104,0.11460784077644348,4
23,,,,,0.06753239780664444,0.0,0.9385548830032349,0.0,0.5425971746444702,31.7965087890625,0.11446903645992279,0.11446903645992279,0.9411985278129578,0.5425971746444702,31.7965087890625,0.4825971722602844,0.0,0.0,0.0,31.765399932861328,0.07268548011779785,0.9798662662506104,0.11460784077644348,4
24,,,,,0.06744863092899323,0.0,0.9389474391937256,0.0,0.5426218509674072,31.796091079711914,0.11447329819202423,0.11447329819202423,0.9411963820457458,0.5426218509674072,31.796091079711914,0.48262184858322144,0.0,0.0,0.0,31.765399932861328,0.07268548011779785,0.9798662662506104,0.11460784077644348,4
25,,,,,0.06737157702445984,0.0,0.9393141269683838,0.0,0.5426410436630249,31.795682907104492,0.11447718739509583,0.11447718739509583,0.9411934614181519,0.5426410436630249,31.795682907104492,0.4826410412788391,0.0,0.0,0.0,31.765399932861328,0.07268548011779785,0.9798662662506104,0.11460784077644348,4
26,,,,,0.06730162352323532,0.0,0.9396617412567139,0.0,0.5426653623580933,31.795303344726562,0.1144808977842331,0.1144808977842331,0.9411914348602295,0.5426653623580933,31.795303344726562,0.48266535997390747,0.0,0.0,0.0,31.765399932861328,0.07268548011779785,0.9798662662506104,0.11460784077644348,4
27,,,,,0.06723643839359283,0.0,0.9399851560592651,0.0,0.5426805019378662,31.794940948486328,0.11448438465595245,0.11448438465595245,0.941189706325531,0.5426805019378662,31.794940948486328,0.4826804995536804,0.0,0.0,0.0,31.765399932861328,0.07268548011779785,0.9798662662506104,0.11460784077644348,4
28,,,,,0.067177414894104,0.0,0.9402857422828674,0.0,0.5426979064941406,31.79459571838379,0.11448753625154495,0.11448753625154495,0.9411877393722534,0.5426979064941406,31.79459571838379,0.48269790410995483,0.0,0.0,0.0,31.765399932861328,0.07268548011779785,0.9798662662506104,0.11460784077644348,4
29,,,,,0.06712201982736588,0.0,0.9405690431594849,0.0,0.5427082180976868,31.794282913208008,0.11449047923088074,0.11449047923088074,0.9411861300468445,0.5427082180976868,31.794282913208008,0.482708215713501,0.0,0.0,0.0,31.765399932861328,0.07268548011779785,0.9798662662506104,0.11460784077644348,4
