image,condition,src,analysis_block,analysis_hop,rms,phase_share,energy_mag,energy_phase,block_gini,top10_block_share,hf_share,peak_ratio_8,peak_ratio_32
task_attr_mod_color_6205,b_pg_r20,runs/ip2p_axis_necessity/b_pg_r20,32,8,0.045151,0.267,1445.7234,526.6593,0.5004,0.3893,0.6845,1.054,1.368
task_env_weather_112463,b_pg_r20,runs/ip2p_axis_necessity/b_pg_r20,32,8,0.0426,0.2014,1409.0829,355.3954,0.3813,0.2814,0.6376,1.052,0.754
task_env_weather_246440,b_pg_r20,runs/ip2p_axis_necessity/b_pg_r20,32,8,0.095998,0.4216,5720.0166,4169.5684,0.4718,0.279,0.5678,1.066,1.437
task_env_weather_63722,b_pg_r20,runs/ip2p_axis_necessity/b_pg_r20,32,8,0.064037,0.3112,2834.9861,1280.9236,0.6123,0.4346,0.5494,1.008,1.417
task_obj_add_40931,b_pg_r20,runs/ip2p_axis_necessity/b_pg_r20,32,8,0.059606,0.2891,2505.9802,1019.0186,0.3306,0.2451,0.5368,0.997,1.173
task_obj_remove_380621,b_pg_r20,runs/ip2p_axis_necessity/b_pg_r20,32,8,0.053174,0.4022,1704.3921,1146.6057,0.6166,0.5306,0.7468,1.605,1.586
task_obj_swap_joint_mask_276754,b_pg_r20,runs/ip2p_axis_necessity/b_pg_r20,32,8,0.068535,0.3541,2930.3401,1606.5083,0.4211,0.3209,0.8177,1.548,1.737
task_obj_swap_joint_mask_533428,b_pg_r20,runs/ip2p_axis_necessity/b_pg_r20,32,8,0.071042,0.3076,3583.9805,1592.0839,0.4625,0.2978,0.5445,0.909,0.561
task_obj_swap_rand_mask_417469,b_pg_r20,runs/ip2p_axis_necessity/b_pg_r20,32,8,0.059459,0.3302,2383.7986,1175.0637,0.5185,0.3782,0.6932,1.31,2.135
task_attr_mod_color_11699,b_ph_rpi,runs/ip2p_axis_necessity/b_ph_rpi,32,8,0.055987,0.4242,1982.5684,1460.6232,0.5126,0.4072,0.5854,1.647,2.357
task_attr_mod_color_136767,b_ph_rpi,runs/ip2p_axis_necessity/b_ph_rpi,32,8,0.049863,0.3937,1549.1925,1006.1653,0.4473,0.3151,0.5748,1.196,0.427
task_attr_mod_color_184837,b_ph_rpi,runs/ip2p_axis_necessity/b_ph_rpi,32,8,0.079363,0.5356,3371.9111,3888.2651,0.4245,0.2399,0.4237,1.164,1.256
task_attr_mod_color_32648,b_ph_rpi,runs/ip2p_axis_necessity/b_ph_rpi,32,8,0.02748,0.1346,599.7162,93.3066,0.3063,0.2951,0.8775,2.257,3.784
task_attr_mod_color_6205,b_ph_rpi,runs/ip2p_axis_necessity/b_ph_rpi,32,8,0.04433,0.3594,1303.4928,731.3974,0.4207,0.3384,0.6451,1.105,1.575
task_env_weather_112463,b_ph_rpi,runs/ip2p_axis_necessity/b_ph_rpi,32,8,0.043518,0.2528,1409.7185,476.8762,0.3188,0.2539,0.653,1.057,0.924
task_env_weather_246440,b_ph_rpi,runs/ip2p_axis_necessity/b_ph_rpi,32,8,0.08857,0.5912,3884.2944,5618.0596,0.4714,0.2877,0.475,1.081,0.747
task_env_weather_63722,b_ph_rpi,runs/ip2p_axis_necessity/b_ph_rpi,32,8,0.059603,0.4649,2068.5742,1796.8519,0.5664,0.4106,0.4847,1.046,1.349
task_obj_add_40931,b_ph_rpi,runs/ip2p_axis_necessity/b_ph_rpi,32,8,0.056913,0.4203,1970.5396,1428.5134,0.325,0.2494,0.4922,1.26,1.512
task_obj_remove_380621,b_ph_rpi,runs/ip2p_axis_necessity/b_ph_rpi,32,8,0.049167,0.5003,1297.309,1298.9786,0.5292,0.4672,0.741,0.978,0.864
task_obj_swap_joint_mask_276754,b_ph_rpi,runs/ip2p_axis_necessity/b_ph_rpi,32,8,0.054337,0.5596,1402.5752,1782.3497,0.3195,0.2394,0.748,1.458,1.14
task_obj_swap_joint_mask_533428,b_ph_rpi,runs/ip2p_axis_necessity/b_ph_rpi,32,8,0.06483,0.4487,2621.6096,2133.6985,0.4472,0.3015,0.4444,1.057,0.732
task_obj_swap_rand_mask_417469,b_ph_rpi,runs/ip2p_axis_necessity/b_ph_rpi,32,8,0.054199,0.4646,1735.7935,1506.5355,0.4688,0.3533,0.6372,1.143,1.139
task_attr_mod_color_11699,a_ph_rpi,runs/ip2p_axis_necessity/a_ph_rpi,32,8,0.041854,0.6081,913.525,1417.7429,0.7928,0.626,0.236,0.994,1.323
task_attr_mod_color_136767,a_ph_rpi,runs/ip2p_axis_necessity/a_ph_rpi,32,8,0.040447,0.6023,845.3078,1280.0115,0.6816,0.4693,0.2359,1.048,0.662
task_attr_mod_color_184837,a_ph_rpi,runs/ip2p_axis_necessity/a_ph_rpi,32,8,0.06984,0.6302,2385.8428,4065.1836,0.5172,0.2813,0.2288,1.374,2.736
task_attr_mod_color_32648,a_ph_rpi,runs/ip2p_axis_necessity/a_ph_rpi,32,8,0.011111,0.6033,61.7581,93.9128,0.8853,0.8475,0.288,0.688,0.507
task_attr_mod_color_6205,a_ph_rpi,runs/ip2p_axis_necessity/a_ph_rpi,32,8,0.028932,0.575,443.0905,599.5576,0.7554,0.5917,0.1682,0.842,0.67
task_env_weather_112463,a_ph_rpi,runs/ip2p_axis_necessity/a_ph_rpi,32,8,0.029694,0.5559,516.3859,646.3705,0.6189,0.3895,0.05,1.198,0.991
task_env_weather_246440,a_ph_rpi,runs/ip2p_axis_necessity/a_ph_rpi,32,8,0.085167,0.6476,3474.3608,6384.1045,0.5615,0.3342,0.3388,1.356,0.838
task_env_weather_63722,a_ph_rpi,runs/ip2p_axis_necessity/a_ph_rpi,32,8,0.048368,0.5852,1230.0476,1735.0645,0.7339,0.5335,0.1971,0.954,1.316
