image,purifier,band_lo,band_hi,probe_rms,energy_ratio,cosine,cosine_vs_warped,warped_energy_ratio,centroid_in,centroid_out
task_attr_mod_color_11699,crop_resize0.1,0.0,0.005,0.01,1.05831,0.97195,0.99983,1.05922,0.0004,0.0008
task_attr_mod_color_11699,crop_resize0.1,0.005,0.01,0.01,0.88404,0.78419,0.99973,0.88485,0.0081,0.0125
task_attr_mod_color_11699,crop_resize0.1,0.01,0.02,0.01,0.99726,0.28257,0.99891,1.00095,0.0167,0.0155
task_attr_mod_color_11699,crop_resize0.1,0.02,0.04,0.01,1.01606,0.00627,0.99915,1.01887,0.0323,0.0276
task_attr_mod_color_11699,crop_resize0.1,0.04,0.08,0.01,1.01348,-0.01083,0.99911,1.01637,0.0626,0.0518
task_attr_mod_color_11699,crop_resize0.1,0.08,0.16,0.01,1.00585,-0.00255,0.99948,1.00751,0.1241,0.1013
task_attr_mod_color_11699,crop_resize0.1,0.16,0.32,0.01,0.98569,-0.00468,0.99927,0.98799,0.2488,0.2004
task_obj_swap_joint_mask_533428,crop_resize0.1,0.0,0.005,0.01,1.02642,0.96587,0.9933,1.05922,0.0004,0.0031
task_obj_swap_joint_mask_533428,crop_resize0.1,0.005,0.01,0.01,0.88076,0.78345,0.99859,0.88485,0.0081,0.0136
task_obj_swap_joint_mask_533428,crop_resize0.1,0.01,0.02,0.01,0.99075,0.28289,0.99735,1.00095,0.0167,0.0177
task_obj_swap_joint_mask_533428,crop_resize0.1,0.02,0.04,0.01,1.01039,0.00688,0.9978,1.01887,0.0323,0.0297
task_obj_swap_joint_mask_533428,crop_resize0.1,0.04,0.08,0.01,1.00891,-0.01062,0.99811,1.01637,0.0626,0.0537
task_obj_swap_joint_mask_533428,crop_resize0.1,0.08,0.16,0.01,1.00059,-0.00289,0.99818,1.00751,0.1241,0.1027
task_obj_swap_joint_mask_533428,crop_resize0.1,0.16,0.32,0.01,0.98071,-0.00433,0.99801,0.98799,0.2488,0.2015
task_env_weather_63722,crop_resize0.1,0.0,0.005,0.01,1.05914,0.97218,1.00004,1.05922,0.0004,0.0008
task_env_weather_63722,crop_resize0.1,0.005,0.01,0.01,0.88481,0.78451,1.0,0.88485,0.0081,0.0125
task_env_weather_63722,crop_resize0.1,0.01,0.02,0.01,1.00085,0.28406,1.0,1.00095,0.0167,0.0154
task_env_weather_63722,crop_resize0.1,0.02,0.04,0.01,1.01878,0.00722,0.99999,1.01887,0.0323,0.0275
task_env_weather_63722,crop_resize0.1,0.04,0.08,0.01,1.0163,-0.01037,1.0,1.01637,0.0626,0.0517
task_env_weather_63722,crop_resize0.1,0.08,0.16,0.01,1.00744,-0.00264,1.0,1.00751,0.1241,0.1013
task_env_weather_63722,crop_resize0.1,0.16,0.32,0.01,0.9879,-0.00449,1.0,0.98799,0.2488,0.2003
task_attr_mod_color_32648,crop_resize0.1,0.0,0.005,0.01,1.05193,0.97091,0.99856,1.05922,0.0004,0.0011
task_attr_mod_color_32648,crop_resize0.1,0.005,0.01,0.01,0.88431,0.78417,0.99986,0.88485,0.0081,0.0126
task_attr_mod_color_32648,crop_resize0.1,0.01,0.02,0.01,0.99744,0.28431,0.99925,1.00095,0.0167,0.0157
task_attr_mod_color_32648,crop_resize0.1,0.02,0.04,0.01,1.01104,0.00654,0.99831,1.01887,0.0323,0.0282
task_attr_mod_color_32648,crop_resize0.1,0.04,0.08,0.01,1.01339,-0.0101,0.99944,1.01637,0.0626,0.0519
task_attr_mod_color_32648,crop_resize0.1,0.08,0.16,0.01,1.0026,-0.00303,0.99917,1.00751,0.1241,0.1016
task_attr_mod_color_32648,crop_resize0.1,0.16,0.32,0.01,0.98305,-0.00459,0.99897,0.98799,0.2488,0.2006
task_obj_remove_380621,crop_resize0.1,0.0,0.005,0.01,1.0472,0.9684,0.99663,1.05922,0.0004,0.0027
task_obj_remove_380621,crop_resize0.1,0.005,0.01,0.01,0.88288,0.78375,0.99917,0.88485,0.0081,0.0134
task_obj_remove_380621,crop_resize0.1,0.01,0.02,0.01,0.9967,0.28375,0.9988,1.00095,0.0167,0.0172
task_obj_remove_380621,crop_resize0.1,0.02,0.04,0.01,1.01548,0.00678,0.99887,1.01887,0.0323,0.0287
task_obj_remove_380621,crop_resize0.1,0.04,0.08,0.01,1.01156,-0.01024,0.99856,1.01637,0.0626,0.0532
task_obj_remove_380621,crop_resize0.1,0.08,0.16,0.01,1.00464,-0.00274,0.99906,1.00751,0.1241,0.1022
task_obj_remove_380621,crop_resize0.1,0.16,0.32,0.01,0.98457,-0.00448,0.99896,0.98799,0.2488,0.2012
