image,purifier,band_lo,band_hi,probe_rms,energy_ratio,cosine,cosine_vs_warped,warped_energy_ratio,centroid_in,centroid_out
task_attr_mod_color_11699,blur1,0.0,0.12,0.01,0.93294,0.99973,1.00001,0.93294,0.0805,0.0794
task_attr_mod_color_11699,jpeg75,0.0,0.12,0.01,1.76865,0.70095,0.67357,1.1555,0.0805,0.2813
task_attr_mod_color_11699,jpeg30,0.0,0.12,0.01,2.87315,0.41071,0.32011,0.72031,0.0805,0.2651
task_attr_mod_color_11699,crop_resize0.1,0.0,0.12,0.01,1.0073,0.01505,0.99944,1.00917,0.0805,0.0663
task_attr_mod_color_11699,jpeg_then_resize75,0.0,0.12,0.01,1.56095,0.7464,0.71502,1.15409,0.0805,0.1241
task_attr_mod_color_11699,blur1,0.12,0.25,0.01,0.69303,0.99731,1.00001,0.69303,0.193,0.1885
task_attr_mod_color_11699,jpeg75,0.12,0.25,0.01,1.59245,0.43718,0.51821,0.73684,0.193,0.3538
task_attr_mod_color_11699,jpeg30,0.12,0.25,0.01,2.28341,0.22584,0.25134,0.51058,0.193,0.3308
task_attr_mod_color_11699,crop_resize0.1,0.12,0.25,0.01,0.99324,8e-05,0.99938,0.99524,0.193,0.1558
task_attr_mod_color_11699,jpeg_then_resize75,0.12,0.25,0.01,1.38481,0.47876,0.56669,0.76726,0.193,0.2086
task_attr_mod_color_11699,blur1,0.25,0.4,0.01,0.34962,0.98927,1.00001,0.34962,0.3305,0.3193
task_attr_mod_color_11699,jpeg75,0.25,0.4,0.01,1.29074,0.29263,0.52934,0.5684,0.3305,0.4437
task_attr_mod_color_11699,jpeg30,0.25,0.4,0.01,1.95599,0.13728,0.05506,0.15198,0.3305,0.3989
task_attr_mod_color_11699,crop_resize0.1,0.25,0.4,0.01,0.97693,-0.0032,0.9993,0.97914,0.3305,0.2655
task_attr_mod_color_11699,jpeg_then_resize75,0.25,0.4,0.01,0.9414,0.33305,0.60294,0.53476,0.3305,0.2934
task_attr_mod_color_11699,blur1,0.4,0.55,0.01,0.11166,0.97668,1.00001,0.11166,0.479,0.4626
task_attr_mod_color_11699,jpeg75,0.4,0.55,0.01,1.40084,0.23902,0.43251,0.49639,0.479,0.535
task_attr_mod_color_11699,jpeg30,0.4,0.55,0.01,2.09415,0.08664,-0.14066,0.03929,0.479,0.4816
task_attr_mod_color_11699,crop_resize0.1,0.4,0.55,0.01,0.92181,7e-05,0.99933,0.92376,0.479,0.3843
task_attr_mod_color_11699,jpeg_then_resize75,0.4,0.55,0.01,0.62004,0.19972,0.41487,0.26432,0.479,0.3254
task_attr_mod_color_11699,blur1,0.55,0.7,0.01,0.02361,0.95766,1.00001,0.02361,0.6276,0.6031
task_attr_mod_color_11699,jpeg75,0.55,0.7,0.01,1.39609,0.13938,0.26068,0.15481,0.6276,0.6156
task_attr_mod_color_11699,jpeg30,0.55,0.7,0.01,1.9539,0.05136,-0.15115,0.03845,0.6276,0.5308
task_attr_mod_color_11699,crop_resize0.1,0.55,0.7,0.01,0.8041,0.00143,0.99941,0.80564,0.6276,0.5066
task_attr_mod_color_11699,jpeg_then_resize75,0.55,0.7,0.01,0.4243,0.02996,0.2874,0.06281,0.6276,0.2619
task_attr_mod_color_11699,blur1,0.7,0.85,0.01,0.00331,0.93106,1.00001,0.00331,0.7772,0.7379
task_attr_mod_color_11699,jpeg75,0.7,0.85,0.01,1.34356,0.07785,0.1921,0.04302,0.7772,0.6769
task_attr_mod_color_11699,jpeg30,0.7,0.85,0.01,1.44132,0.02471,-0.17894,0.03845,0.7772,0.4951
task_attr_mod_color_11699,crop_resize0.1,0.7,0.85,0.01,0.66223,-2e-05,0.9994,0.6635,0.7772,0.641
task_attr_mod_color_11699,jpeg_then_resize75,0.7,0.85,0.01,0.37702,0.00327,0.35115,0.04016,0.7772,0.2267
task_attr_mod_color_11699,blur1,0.85,1.05,0.01,0.00028,0.88421,1.00001,0.00028,0.9479,0.875
task_attr_mod_color_11699,jpeg75,0.85,1.05,0.01,1.12709,0.04728,0.20347,0.03854,0.9479,0.6992
task_attr_mod_color_11699,jpeg30,0.85,1.05,0.01,1.22459,0.01235,-0.19234,0.03845,0.9479,0.476
task_attr_mod_color_11699,crop_resize0.1,0.85,1.05,0.01,0.51344,-0.00018,0.99942,0.51438,0.9479,0.7889
task_attr_mod_color_11699,jpeg_then_resize75,0.85,1.05,0.01,0.34681,0.0014,0.3654,0.03855,0.9479,0.2099
task_attr_mod_color_136767,blur1,0.0,0.12,0.01,0.93294,0.99973,1.00001,0.93294,0.0805,0.0794
task_attr_mod_color_136767,jpeg75,0.0,0.12,0.01,1.60184,0.67776,0.63359,1.1555,0.0805,0.3085
task_attr_mod_color_136767,jpeg30,0.0,0.12,0.01,2.35502,0.39512,0.3109,0.72031,0.0805,0.2641
task_attr_mod_color_136767,crop_resize0.1,0.0,0.12,0.01,0.96896,0.01531,0.99101,1.00917,0.0805,0.0689
task_attr_mod_color_136767,jpeg_then_resize75,0.0,0.12,0.01,1.36671,0.72591,0.67738,1.15409,0.0805,0.1369
task_attr_mod_color_136767,blur1,0.12,0.25,0.01,0.69303,0.99731,1.00001,0.69303,0.193,0.1885
task_attr_mod_color_136767,jpeg75,0.12,0.25,0.01,1.38794,0.42047,0.50323,0.73684,0.193,0.3845
task_attr_mod_color_136767,jpeg30,0.12,0.25,0.01,1.83529,0.21269,0.25576,0.51058,0.193,0.3316
task_attr_mod_color_136767,crop_resize0.1,0.12,0.25,0.01,0.95797,-0.00026,0.99131,0.99524,0.193,0.1579
task_attr_mod_color_136767,jpeg_then_resize75,0.12,0.25,0.01,1.14312,0.46729,0.5601,0.76726,0.193,0.2214
task_attr_mod_color_136767,blur1,0.25,0.4,0.01,0.34962,0.98927,1.00001,0.34962,0.3305,0.3193
task_attr_mod_color_136767,jpeg75,0.25,0.4,0.01,1.17468,0.28636,0.50459,0.5684,0.3305,0.4585
task_attr_mod_color_136767,jpeg30,0.25,0.4,0.01,1.80691,0.14846,0.04816,0.15198,0.3305,0.408
task_attr_mod_color_136767,crop_resize0.1,0.25,0.4,0.01,0.944,-0.00305,0.99195,0.97914,0.3305,0.2668
task_attr_mod_color_136767,jpeg_then_resize75,0.25,0.4,0.01,0.8205,0.32592,0.57857,0.53476,0.3305,0.3091
task_attr_mod_color_136767,blur1,0.4,0.55,0.01,0.11166,0.97668,1.00001,0.11166,0.479,0.4626
task_attr_mod_color_136767,jpeg75,0.4,0.55,0.01,1.2797,0.22929,0.38237,0.49639,0.479,0.5491
task_attr_mod_color_136767,jpeg30,0.4,0.55,0.01,1.87187,0.09225,-0.10983,0.03929,0.479,0.4895
task_attr_mod_color_136767,crop_resize0.1,0.4,0.55,0.01,0.8908,0.00023,0.99176,0.92376,0.479,0.3845
task_attr_mod_color_136767,jpeg_then_resize75,0.4,0.55,0.01,0.54217,0.19225,0.36749,0.26432,0.479,0.3484
task_attr_mod_color_136767,blur1,0.55,0.7,0.01,0.02361,0.95766,1.00001,0.02361,0.6276,0.6031
task_attr_mod_color_136767,jpeg75,0.55,0.7,0.01,1.3313,0.13881,0.20599,0.15481,0.6276,0.6319
task_attr_mod_color_136767,jpeg30,0.55,0.7,0.01,1.60433,0.05069,-0.11806,0.03845,0.6276,0.5318
task_attr_mod_color_136767,crop_resize0.1,0.55,0.7,0.01,0.78064,0.00135,0.99291,0.80564,0.6276,0.506
task_attr_mod_color_136767,jpeg_then_resize75,0.55,0.7,0.01,0.3755,0.03055,0.22,0.06281,0.6276,0.302
task_attr_mod_color_136767,blur1,0.7,0.85,0.01,0.00331,0.93106,1.00001,0.00331,0.7772,0.7379
task_attr_mod_color_136767,jpeg75,0.7,0.85,0.01,1.23392,0.07973,0.14465,0.04302,0.7772,0.6872
task_attr_mod_color_136767,jpeg30,0.7,0.85,0.01,1.24207,0.02453,-0.13579,0.03845,0.7772,0.5181
task_attr_mod_color_136767,crop_resize0.1,0.7,0.85,0.01,0.64474,1e-05,0.99334,0.6635,0.7772,0.639
task_attr_mod_color_136767,jpeg_then_resize75,0.7,0.85,0.01,0.32981,0.00258,0.26948,0.04016,0.7772,0.2729
task_attr_mod_color_136767,blur1,0.85,1.05,0.01,0.00028,0.88421,1.00001,0.00028,0.9479,0.875
task_attr_mod_color_136767,jpeg75,0.85,1.05,0.01,0.97594,0.04444,0.16021,0.03854,0.9479,0.6965
task_attr_mod_color_136767,jpeg30,0.85,1.05,0.01,0.96297,0.0123,-0.14947,0.03845,0.9479,0.4721
task_attr_mod_color_136767,crop_resize0.1,0.85,1.05,0.01,0.50108,-8e-05,0.99395,0.51438,0.9479,0.7852
task_attr_mod_color_136767,jpeg_then_resize75,0.85,1.05,0.01,0.2996,0.00076,0.28592,0.03855,0.9479,0.2597
task_attr_mod_color_184837,blur1,0.0,0.12,0.01,0.93294,0.99973,1.00001,0.93294,0.0805,0.0794
task_attr_mod_color_184837,jpeg75,0.0,0.12,0.01,2.04886,0.65728,0.59557,1.1555,0.0805,0.3759
task_attr_mod_color_184837,jpeg30,0.0,0.12,0.01,3.40043,0.40879,0.27899,0.72031,0.0805,0.3225
task_attr_mod_color_184837,crop_resize0.1,0.0,0.12,0.01,1.00751,0.01521,0.99952,1.00917,0.0805,0.0665
task_attr_mod_color_184837,jpeg_then_resize75,0.0,0.12,0.01,1.63617,0.73304,0.6652,1.15409,0.0805,0.1335
task_attr_mod_color_184837,blur1,0.12,0.25,0.01,0.69303,0.99731,1.00001,0.69303,0.193,0.1885
task_attr_mod_color_184837,jpeg75,0.12,0.25,0.01,1.92737,0.41613,0.43454,0.73684,0.193,0.4409
task_attr_mod_color_184837,jpeg30,0.12,0.25,0.01,2.82339,0.22944,0.21542,0.51058,0.193,0.3644
task_attr_mod_color_184837,crop_resize0.1,0.12,0.25,0.01,0.99337,0.00016,0.99949,0.99524,0.193,0.1559
task_attr_mod_color_184837,jpeg_then_resize75,0.12,0.25,0.01,1.47672,0.48249,0.50819,0.76726,0.193,0.2194
task_attr_mod_color_184837,blur1,0.25,0.4,0.01,0.34962,0.98927,1.00001,0.34962,0.3305,0.3193
task_attr_mod_color_184837,jpeg75,0.25,0.4,0.01,1.60523,0.27271,0.45597,0.5684,0.3305,0.4967
task_attr_mod_color_184837,jpeg30,0.25,0.4,0.01,2.87955,0.16629,0.04489,0.15198,0.3305,0.4359
task_attr_mod_color_184837,crop_resize0.1,0.25,0.4,0.01,0.97728,-0.00305,0.99949,0.97914,0.3305,0.2656
task_attr_mod_color_184837,jpeg_then_resize75,0.25,0.4,0.01,1.01859,0.3278,0.562,0.53476,0.3305,0.3049
