image,q_alg,fid_dists,fid_lpips,fid_psnr,fid_ssim,rms
task_attr_mod_color_11699,0.95,0.002481,0.037618,41.2181,0.997003,0.008691
task_attr_mod_color_11699,0.85,0.00978,0.094533,36.2298,0.991836,0.015435
task_attr_mod_color_136767,0.95,0.001623,0.015742,43.3914,0.997337,0.006767
task_attr_mod_color_136767,0.85,0.005508,0.045452,38.1253,0.992439,0.012409
task_attr_mod_color_184837,0.95,0.002889,0.01339,40.8073,0.997377,0.009112
task_attr_mod_color_184837,0.85,0.007448,0.044007,35.2613,0.99364,0.017256
task_attr_mod_color_32648,0.95,0.001917,0.027433,49.208,0.997961,0.003463
task_attr_mod_color_32648,0.85,0.008454,0.078481,44.2968,0.993733,0.006097
task_attr_mod_color_6205,0.95,0.003723,0.022577,41.2575,0.995267,0.008652
task_attr_mod_color_6205,0.85,0.008588,0.062944,37.5637,0.988572,0.013237
task_env_weather_112463,0.95,0.001895,0.015575,44.5956,0.996934,0.005891
task_env_weather_112463,0.85,0.00554,0.040949,40.6935,0.99184,0.009232
task_env_weather_246440,0.95,0.002444,0.010418,35.5723,0.993304,0.016648
task_env_weather_246440,0.85,0.00388,0.029067,31.806,0.984066,0.025686
task_env_weather_63722,0.95,0.00216,0.025449,43.7295,0.997492,0.006508
task_env_weather_63722,0.85,0.008918,0.074625,38.1033,0.993053,0.01244
task_obj_add_40931,0.95,0.002427,0.018415,43.0436,0.998418,0.007043
task_obj_add_40931,0.85,0.008954,0.055506,37.3759,0.995019,0.013527
task_obj_remove_380621,0.95,0.002676,0.020116,43.8756,0.997561,0.0064
task_obj_remove_380621,0.85,0.007382,0.054639,37.7394,0.993317,0.012972
task_obj_swap_joint_mask_276754,0.95,0.003225,0.012036,41.8701,0.998004,0.008062
task_obj_swap_joint_mask_276754,0.85,0.009668,0.051413,34.3786,0.992366,0.019101
task_obj_swap_joint_mask_533428,0.95,0.002746,0.016561,41.2048,0.997175,0.008704
task_obj_swap_joint_mask_533428,0.85,0.005751,0.054252,35.7799,0.991534,0.016255
task_obj_swap_rand_mask_417469,0.95,0.001419,0.015956,41.0896,0.995284,0.00882
task_obj_swap_rand_mask_417469,0.85,0.003687,0.043253,36.719,0.988183,0.01459
