image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,gl_iters,block,loss,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,total_seconds
task_attr_mod_color_11699,phase,instruct-pix2pix,turn the color of potted plant to pink,,3.141593,False,0.0,0.12,3,32,encoder_target,100,7.5,1.5,20260812,False,0.11749,0.96038,27.049,0.50911,0.02919,0.13864,0.90055,22.514,0.40439,0.05822,0.54343,0.04441,38.2
task_attr_mod_color_136767,phase,instruct-pix2pix,turn the color of astronaut to pink,,3.141593,False,0.0,0.12,3,32,encoder_target,100,7.5,1.5,20260812,False,0.16719,0.94878,28.403,0.47678,0.0547,0.20061,0.85044,23.125,0.35333,0.10863,0.46378,0.038,39.2
task_attr_mod_color_184837,phase,instruct-pix2pix,turn the color of frame to pink,,3.141593,False,0.0,0.12,3,32,encoder_target,100,7.5,1.5,20260812,False,0.18984,0.8909,22.078,0.36747,0.07527,0.28325,0.705,17.838,0.27204,0.18672,0.82745,0.07872,39.5
task_attr_mod_color_32648,phase,instruct-pix2pix,turn the color of potion bottle to orange,,3.141593,False,0.0,0.12,3,32,encoder_target,100,7.5,1.5,20260812,False,0.18993,0.98557,39.595,0.60058,0.03207,0.18266,0.88212,23.282,0.67386,0.14116,0.30363,0.01048,39.7
task_attr_mod_color_6205,phase,instruct-pix2pix,turn the color of toolbox to red,,3.141593,False,0.0,0.12,3,32,encoder_target,100,7.5,1.5,20260812,False,0.11026,0.96403,31.325,0.58287,0.05389,0.12812,0.90229,24.818,0.50243,0.08678,0.48468,0.02715,39.8
task_env_weather_112463,phase,instruct-pix2pix,transform the setting to spring with blooming flowers,,3.141593,False,0.0,0.12,3,32,encoder_target,100,7.5,1.5,20260812,False,0.1856,0.94454,30.497,0.54591,0.03071,0.2794,0.77058,21.237,0.29089,0.11503,0.37087,0.02986,39.9
task_env_weather_133752,phase,instruct-pix2pix,transform the setting to a rainy day,,3.141593,False,0.0,0.12,3,32,encoder_target,100,7.5,1.5,20260812,False,0.21131,0.95219,30.922,0.52107,0.02613,0.23106,0.88034,26.498,0.36806,0.05055,0.35214,0.02844,39.8
task_env_weather_181583,phase,instruct-pix2pix,change the setting to a stormy day,,3.141593,False,0.0,0.12,3,32,encoder_target,100,7.5,1.5,20260812,False,0.21636,0.91591,30.121,0.49331,0.03274,0.33433,0.76638,18.895,0.41381,0.2128,0.42799,0.03119,39.9
task_env_weather_246440,phase,instruct-pix2pix,transform the setting to autumn with falling leaves,,3.141593,False,0.0,0.12,3,32,encoder_target,100,7.5,1.5,20260812,False,0.24833,0.83809,18.892,0.34209,0.06986,0.37809,0.54723,17.245,0.16881,0.1709,0.95887,0.11361,39.7
task_env_weather_63722,phase,instruct-pix2pix,change the setting to a snowy landscape,,3.141593,False,0.0,0.12,3,32,encoder_target,100,7.5,1.5,20260812,False,0.17472,0.93296,24.656,0.42352,0.06194,0.20147,0.84544,21.512,0.29046,0.08887,0.76078,0.05851,39.8
task_obj_add_13726,phase,instruct-pix2pix,Add subscribe button,,3.141593,False,0.0,0.12,3,32,encoder_target,100,7.5,1.5,20260812,False,0.22891,0.89964,25.249,0.39257,0.06737,0.31648,0.68025,19.572,0.20643,0.18312,0.62561,0.05465,39.7
task_obj_add_340466,phase,instruct-pix2pix,Add orange juice,,3.141593,False,0.0,0.12,3,32,encoder_target,100,7.5,1.5,20260812,False,0.10988,0.96716,29.886,0.58662,0.04247,0.20807,0.84695,17.676,0.4502,0.1345,0.44808,0.03204,39.8
task_obj_add_40931,phase,instruct-pix2pix,Add the blood on snout,,3.141593,False,0.0,0.12,3,32,encoder_target,100,7.5,1.5,20260812,False,0.34091,0.91277,25.579,0.41245,0.05951,0.30862,0.68043,19.316,0.28532,0.17943,0.63141,0.05261,39.8
task_obj_add_581286,phase,instruct-pix2pix,Add sauce,,3.141593,False,0.0,0.12,3,32,encoder_target,100,7.5,1.5,20260812,False,0.14002,0.9658,34.561,0.65146,0.02941,0.1522,0.90038,28.517,0.58374,0.08039,0.45981,0.0187,39.8
task_obj_add_692065,phase,instruct-pix2pix,Add monk,,3.141593,False,0.0,0.12,3,32,encoder_target,100,7.5,1.5,20260812,False,0.16354,0.91945,24.988,0.5212,0.04522,0.20036,0.84024,22.279,0.40468,0.06139,0.63297,0.05631,39.7
task_obj_remove_10197,phase,instruct-pix2pix,Remove gravel path,,3.141593,False,0.0,0.12,3,32,encoder_target,100,7.5,1.5,20260812,False,0.28999,0.88689,23.237,0.43544,0.05967,0.44088,0.41677,13.838,0.06882,0.24864,0.7076,0.06889,39.6
task_obj_remove_257910,phase,instruct-pix2pix,Remove bracelet,,3.141593,False,0.0,0.12,3,32,encoder_target,100,7.5,1.5,20260812,False,0.24087,0.96506,32.449,0.59734,0.03013,0.22921,0.86984,25.562,0.42212,0.08833,0.38789,0.02385,39.8
