image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,r_max,gl_iters,block,hop,quantile,gate_edge_power,freq_weight,freq_weight_power,gain_weight,phase_channels,spectral_floor,floor_gate,theta_budget,coarsen,warp_grid,dct_qd,dct_pairing,dct_gate,defense_steps,loss,gain_ratio,purify_aware,deliver_jpeg,deliver_retention,deliver_cosine,deliver_retention_base,deliver_rms_raw,deliver_rms_out,dct_q_alg,dct_gamma,wm_tau,wm_mu,wm_diagonals,wm_q_embed,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,edit_clip_sim,edit_siglip_sim,blocked,siglip_blocked_threshold,total_seconds
task_attr_mod_color_11699,phase,instruct-pix2pix,turn the color of potted plant to pink,,0.9,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,1,16,0.85,transpose,texture,1000,latent_norm,0.0,none,0.6,0.50574,0.52604,0.49078,0.043359,0.041685,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.36838,0.90839,27.6,0.35304,0.11694,0.34141,0.80928,21.938,0.2476,0.14962,0.34858,0.04169,0.8943,0.91891,False,0.837,408.3
task_attr_mod_color_136767,phase,instruct-pix2pix,turn the color of astronaut to pink,,0.9,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,1,16,0.85,transpose,texture,1000,latent_norm,0.0,none,0.6,0.45919,0.51868,0.44649,0.042629,0.03774,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.31926,0.89727,28.464,0.37626,0.09946,0.33507,0.69872,22.305,0.25757,0.19742,0.41725,0.03774,0.97067,0.95278,False,0.837,393.6
task_attr_mod_color_184837,phase,instruct-pix2pix,turn the color of frame to pink,,0.9,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,1,16,0.85,transpose,texture,1000,latent_norm,0.0,none,0.6,0.60007,0.61261,0.57908,0.052566,0.05149,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.29587,0.93974,25.765,0.39718,0.07927,0.36365,0.70745,19.129,0.24597,0.20459,0.35437,0.05149,0.97702,0.93983,False,0.837,394.0
task_attr_mod_color_32648,phase,instruct-pix2pix,turn the color of potion bottle to orange,,0.9,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,1,16,0.85,transpose,texture,1000,latent_norm,0.0,none,0.6,0.30408,0.43328,0.29809,0.035864,0.02517,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.45661,0.88412,31.982,0.16933,0.16974,0.41401,0.59144,18.251,0.18338,0.18914,0.24648,0.02517,0.93616,0.91699,False,0.837,393.8
task_attr_mod_color_6205,phase,instruct-pix2pix,turn the color of toolbox to red,,0.9,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,1,16,0.85,transpose,texture,1000,latent_norm,0.0,none,0.6,0.39004,0.45131,0.36904,0.039733,0.034339,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.37277,0.90451,29.284,0.37753,0.13059,0.42047,0.71713,14.816,0.332,0.19907,0.55996,0.03434,0.92871,0.89736,False,0.837,394.2
task_env_weather_112463,phase,instruct-pix2pix,transform the setting to spring with blooming flowers,,0.9,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,1,16,0.85,transpose,texture,1000,latent_norm,0.0,none,0.6,0.36551,0.46193,0.34776,0.040106,0.031734,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.41304,0.92669,29.969,0.41174,0.07967,0.33315,0.69228,19.844,0.29217,0.13869,0.28057,0.03173,0.90246,0.92762,False,0.837,397.8
task_obj_remove_380621,phase,instruct-pix2pix,Remove iceberg,,0.9,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,1,16,0.85,transpose,texture,1000,latent_norm,0.0,none,0.6,0.46904,0.5138,0.44532,0.045018,0.041095,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.36552,0.92184,27.724,0.37845,0.11997,0.38567,0.66728,17.696,0.23905,0.20577,0.41529,0.0411,0.94745,0.93117,False,0.837,397.7
task_obj_swap_joint_mask_276754,phase,instruct-pix2pix,Replace the satellite dish with rocket,,0.9,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,1,16,0.85,transpose,texture,1000,latent_norm,0.0,none,0.6,0.57459,0.55183,0.50494,0.050197,0.052267,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.38386,0.85381,25.635,0.28354,0.10538,0.40684,0.73481,17.671,0.07014,0.25612,0.37371,0.05227,0.87631,0.89895,False,0.837,397.7
task_obj_swap_joint_mask_533428,phase,instruct-pix2pix,Replace the samurai armor with red jacket,,0.9,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,1,16,0.85,transpose,texture,1000,latent_norm,0.0,none,0.6,0.48985,0.53174,0.47313,0.049756,0.045836,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.31708,0.92647,26.776,0.38464,0.0815,0.46153,0.50649,15.959,0.13991,0.20437,0.33588,0.04584,0.93843,0.87615,False,0.837,397.7
task_obj_swap_rand_mask_417469,phase,instruct-pix2pix,Replace the green flannel shirt with blue shirt,,0.9,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,1,16,0.85,transpose,texture,1000,latent_norm,0.0,none,0.6,0.48145,0.51813,0.45448,0.044689,0.041525,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.32339,0.88656,27.634,0.35679,0.08937,0.3785,0.67825,20.018,0.23781,0.1946,0.40449,0.04153,0.92084,0.90834,False,0.837,394.1
