image,prompt,strength,guidance,tag,clip_orig,clip_edit,clip_gain,siglip_orig,siglip_edit,siglip_gain,lpips_vs_orig
lebron_00,a man wearing a yellow raincoat,0.55,7.5,s0.55_g7.5,0.1823,0.2716,0.0894,-0.0079,0.0565,0.0643,0.4797
lebron_00,a man wearing a yellow raincoat,0.7,7.5,s0.7_g7.5,0.1823,0.2287,0.0464,-0.0079,0.0307,0.0386,0.5814
lebron_00,a man wearing a yellow raincoat,0.8,7.5,s0.8_g7.5,0.1823,0.2824,0.1001,-0.0079,0.1343,0.1421,0.6103
lebron_00,a man wearing a yellow raincoat,0.8,12.0,s0.8_g12,0.1823,0.2753,0.093,-0.0079,0.1318,0.1396,0.6073
lebron_00,a man wearing a yellow raincoat,0.9,12.0,s0.9_g12,0.1823,0.3075,0.1252,-0.0079,0.1324,0.1403,0.6526
obama_00,a man wearing a red hooded sweatshirt,0.55,7.5,s0.55_g7.5,0.2234,0.1945,-0.0289,-0.022,-0.0403,-0.0182,0.3099
obama_00,a man wearing a red hooded sweatshirt,0.7,7.5,s0.7_g7.5,0.2234,0.2187,-0.0047,-0.022,0.0605,0.0825,0.4721
obama_00,a man wearing a red hooded sweatshirt,0.8,7.5,s0.8_g7.5,0.2234,0.2502,0.0268,-0.022,0.0675,0.0895,0.5227
obama_00,a man wearing a red hooded sweatshirt,0.8,12.0,s0.8_g12,0.2234,0.2545,0.0311,-0.022,0.0575,0.0795,0.5361
obama_00,a man wearing a red hooded sweatshirt,0.9,12.0,s0.9_g12,0.2234,0.2677,0.0443,-0.022,0.0697,0.0917,0.6202
ronaldo_00,a man wearing a blue denim jacket,0.55,7.5,s0.55_g7.5,0.1822,0.2068,0.0247,-0.0312,0.0296,0.0608,0.3761
ronaldo_00,a man wearing a blue denim jacket,0.7,7.5,s0.7_g7.5,0.1822,0.2418,0.0596,-0.0312,0.0766,0.1078,0.4649
ronaldo_00,a man wearing a blue denim jacket,0.8,7.5,s0.8_g7.5,0.1822,0.2723,0.0901,-0.0312,0.0815,0.1127,0.4944
ronaldo_00,a man wearing a blue denim jacket,0.8,12.0,s0.8_g12,0.1822,0.2802,0.098,-0.0312,0.0758,0.107,0.5106
ronaldo_00,a man wearing a blue denim jacket,0.9,12.0,s0.9_g12,0.1822,0.2821,0.1,-0.0312,0.0967,0.1279,0.5384
