image,condition,purifier,energy_ratio,cosine,cos_vs_warped
task_attr_mod_color_11699,ig_d21,identity,1.0,0.99957,
task_attr_mod_color_11699,ig_d21,jpeg75,1.04442,0.9386,
task_attr_mod_color_11699,ig_d21,jpeg50,1.0575,0.8871,
task_attr_mod_color_11699,ig_d21,jpeg30,1.04648,0.83637,
task_attr_mod_color_11699,ig_d21,blur1,0.36398,0.83823,
task_attr_mod_color_11699,ig_d21,blur2,0.13087,0.65055,
task_attr_mod_color_11699,ig_d21,crop_resize0.1,1.07423,0.02036,0.99957
task_attr_mod_color_11699,ig_d21,crop_resize0.15,1.36142,-0.00101,0.99958
task_attr_mod_color_136767,ig_d21,identity,1.0,0.99982,
task_attr_mod_color_136767,ig_d21,jpeg75,1.04273,0.94592,
task_attr_mod_color_136767,ig_d21,jpeg50,1.04979,0.89768,
task_attr_mod_color_136767,ig_d21,jpeg30,1.03495,0.84816,
task_attr_mod_color_136767,ig_d21,blur1,0.34036,0.81538,
task_attr_mod_color_136767,ig_d21,blur2,0.13675,0.61257,
task_attr_mod_color_136767,ig_d21,crop_resize0.1,1.13034,-0.00536,0.99938
task_attr_mod_color_136767,ig_d21,crop_resize0.15,1.32145,0.00977,0.99937
task_attr_mod_color_184837,ig_d21,identity,1.0,1.00004,
task_attr_mod_color_184837,ig_d21,jpeg75,1.02494,0.95949,
task_attr_mod_color_184837,ig_d21,jpeg50,1.03747,0.91695,
task_attr_mod_color_184837,ig_d21,jpeg30,1.03242,0.87216,
task_attr_mod_color_184837,ig_d21,blur1,0.30055,0.80815,
task_attr_mod_color_184837,ig_d21,blur2,0.10721,0.57613,
task_attr_mod_color_184837,ig_d21,crop_resize0.1,0.81022,0.00662,0.99959
task_attr_mod_color_184837,ig_d21,crop_resize0.15,0.48876,0.00058,0.99964
task_attr_mod_color_32648,ig_d21,identity,1.0,1.00008,
task_attr_mod_color_32648,ig_d21,jpeg75,1.11414,0.85281,
task_attr_mod_color_32648,ig_d21,jpeg50,1.07602,0.77551,
task_attr_mod_color_32648,ig_d21,jpeg30,1.03622,0.70842,
task_attr_mod_color_32648,ig_d21,blur1,0.35348,0.78271,
task_attr_mod_color_32648,ig_d21,blur2,0.15658,0.63601,
task_attr_mod_color_32648,ig_d21,crop_resize0.1,1.28486,-0.00268,0.99994
task_attr_mod_color_32648,ig_d21,crop_resize0.15,1.66008,-0.02288,0.99993
task_attr_mod_color_6205,ig_d21,identity,1.0,0.99999,
task_attr_mod_color_6205,ig_d21,jpeg75,1.00751,0.90794,
task_attr_mod_color_6205,ig_d21,jpeg50,1.00081,0.84734,
task_attr_mod_color_6205,ig_d21,jpeg30,0.99329,0.79435,
task_attr_mod_color_6205,ig_d21,blur1,0.40393,0.85601,
task_attr_mod_color_6205,ig_d21,blur2,0.15447,0.68778,
task_attr_mod_color_6205,ig_d21,crop_resize0.1,1.33542,-0.00497,0.99964
task_attr_mod_color_6205,ig_d21,crop_resize0.15,1.59474,-0.00693,0.99965
task_env_weather_112463,ig_d21,identity,1.0,1.00011,
task_env_weather_112463,ig_d21,jpeg75,1.04209,0.93789,
task_env_weather_112463,ig_d21,jpeg50,1.07725,0.90204,
task_env_weather_112463,ig_d21,jpeg30,1.12161,0.85866,
task_env_weather_112463,ig_d21,blur1,0.55768,0.93512,
task_env_weather_112463,ig_d21,blur2,0.23526,0.8136,
task_env_weather_112463,ig_d21,crop_resize0.1,0.99108,0.01083,0.99988
task_env_weather_112463,ig_d21,crop_resize0.15,0.99532,0.00892,0.99988
task_obj_remove_380621,ig_d21,identity,1.0,0.99972,
task_obj_remove_380621,ig_d21,jpeg75,1.04236,0.93584,
task_obj_remove_380621,ig_d21,jpeg50,1.05962,0.87167,
task_obj_remove_380621,ig_d21,jpeg30,1.01112,0.80856,
task_obj_remove_380621,ig_d21,blur1,0.22469,0.75311,
task_obj_remove_380621,ig_d21,blur2,0.06675,0.49943,
task_obj_remove_380621,ig_d21,crop_resize0.1,1.0105,0.00178,0.99917
task_obj_remove_380621,ig_d21,crop_resize0.15,1.14125,0.00951,0.99914
task_obj_swap_joint_mask_276754,ig_d21,identity,1.0,1.00007,
task_obj_swap_joint_mask_276754,ig_d21,jpeg75,1.06871,0.91589,
task_obj_swap_joint_mask_276754,ig_d21,jpeg50,1.09361,0.8293,
task_obj_swap_joint_mask_276754,ig_d21,jpeg30,1.04759,0.74566,
task_obj_swap_joint_mask_276754,ig_d21,blur1,0.13898,0.65491,
task_obj_swap_joint_mask_276754,ig_d21,blur2,0.04389,0.3725,
task_obj_swap_joint_mask_276754,ig_d21,crop_resize0.1,0.92313,0.00959,0.99891
task_obj_swap_joint_mask_276754,ig_d21,crop_resize0.15,1.06353,0.00375,0.99889
task_attr_mod_color_11699,ig_d25,identity,1.0,0.99992,
task_attr_mod_color_11699,ig_d25,jpeg75,1.02302,0.94934,
task_attr_mod_color_11699,ig_d25,jpeg50,1.0356,0.90241,
task_attr_mod_color_11699,ig_d25,jpeg30,1.0134,0.85575,
