r_lo,r_hi,move_per_dists,h2_analytic,amp_survival,ceiling_amplitude,ceiling_energy,n_images
0.0,0.1768,278.083,0.86105233,0.927929,258.04,239.44,6
0.1768,0.3536,791.653,0.47902694,0.692118,547.92,379.22,6
0.3536,0.5303,1559.575,0.14841928,0.385252,600.83,231.47,6
0.5303,0.7071,8840.927,0.02556586,0.159893,1413.6,226.03,6
0.7071,0.8839,46937.812,0.00243372,0.049333,2315.57,114.23,6
0.8839,1.0607,242506.532,0.00013949,0.011811,2864.14,33.83,6
1.0607,1.2374,1050423.366,4.76e-06,0.002181,2290.62,5.0,6
1.2374,1.4142,804223.514,1e-07,0.000313,251.38,0.08,6
