image,band_lo,band_hi,sigma,dists,lpips,psnr,rms,energy_ratio,cosine,h2_analytic,surv_per_dists
task_attr_mod_color_11699,0.0,0.03,1.0,0.033555,0.033379,40.0101,0.009988,0.994387,0.999552,0.995705,29.6346
task_attr_mod_color_11699,0.03,0.06,1.0,0.066479,0.100413,40.0084,0.00999,0.977026,0.999611,0.977941,14.6967
task_attr_mod_color_11699,0.06,0.12,1.0,0.078575,0.164663,40.0077,0.009991,0.914503,0.999466,0.915342,11.6385
task_attr_mod_color_11699,0.12,0.2,1.0,0.076552,0.164441,40.009,0.009989,0.767281,0.998713,0.766483,10.023
task_attr_mod_color_11699,0.2,0.3,1.0,0.05315,0.183458,40.0106,0.009987,0.533927,0.996352,0.531959,10.0456
task_attr_mod_color_11699,0.3,0.45,1.0,0.048203,0.146094,40.0093,0.009989,0.250403,0.985062,0.248598,5.1948
task_attr_mod_color_11699,0.45,0.6,1.0,0.031164,0.135902,40.0087,0.009989,0.069897,0.970272,0.068748,2.2429
task_attr_mod_color_11699,0.6,0.8,1.0,0.014604,0.141046,40.0088,0.009989,0.010204,0.912596,0.009705,0.6987
task_attr_mod_color_11699,0.8,1.05,1.0,0.003593,0.14904,40.0088,0.009989,0.000664,0.736368,0.000414,0.1848
task_attr_mod_color_136767,0.0,0.03,1.0,0.022419,0.013819,40.2304,0.009738,0.992317,0.998928,0.995705,44.2623
task_attr_mod_color_136767,0.03,0.06,1.0,0.05892,0.045168,40.2292,0.009739,0.973974,0.998721,0.977941,16.5304
task_attr_mod_color_136767,0.06,0.12,1.0,0.059122,0.092456,40.2368,0.009731,0.911375,0.998484,0.915342,15.4151
task_attr_mod_color_136767,0.12,0.2,1.0,0.049386,0.098254,40.2136,0.009757,0.764688,0.997635,0.766483,15.4838
task_attr_mod_color_136767,0.2,0.3,1.0,0.030246,0.100592,40.2178,0.009752,0.532759,0.9947,0.531959,17.614
task_attr_mod_color_136767,0.3,0.45,1.0,0.034163,0.096272,40.2157,0.009754,0.251558,0.981504,0.248598,7.3634
task_attr_mod_color_136767,0.45,0.6,1.0,0.024393,0.097481,40.2188,0.009751,0.073072,0.955136,0.068748,2.9956
task_attr_mod_color_136767,0.6,0.8,1.0,0.007826,0.100961,40.2152,0.009755,0.013764,0.814378,0.009705,1.7588
task_attr_mod_color_136767,0.8,1.05,1.0,0.00126,0.109274,40.2166,0.009753,0.004338,0.354124,0.000414,3.4425
task_attr_mod_color_184837,0.0,0.03,1.0,0.027732,0.009585,40.007,0.009991,0.994688,0.99965,0.995705,35.8679
task_attr_mod_color_184837,0.03,0.06,1.0,0.052847,0.023342,40.0119,0.009986,0.976623,0.999444,0.977941,18.4803
task_attr_mod_color_184837,0.06,0.12,1.0,0.0364,0.042405,40.0122,0.009985,0.914095,0.99929,0.915342,25.1122
task_attr_mod_color_184837,0.12,0.2,1.0,0.030965,0.045223,40.0126,0.009985,0.766992,0.998548,0.766483,24.7696
task_attr_mod_color_184837,0.2,0.3,1.0,0.020101,0.047625,40.0105,0.009987,0.533856,0.996325,0.531959,26.5589
task_attr_mod_color_184837,0.3,0.45,1.0,0.018359,0.045309,40.0128,0.009985,0.250303,0.984933,0.248598,13.6339
task_attr_mod_color_184837,0.45,0.6,1.0,0.011154,0.038864,40.0122,0.009986,0.069862,0.970215,0.068748,6.2632
task_attr_mod_color_184837,0.6,0.8,1.0,0.002999,0.039513,40.0124,0.009985,0.010195,0.91297,0.009705,3.3994
task_attr_mod_color_184837,0.8,1.05,1.0,0.000401,0.040112,40.012,0.009986,0.00065,0.744388,0.000414,1.6211
task_attr_mod_color_32648,0.0,0.03,1.0,0.062675,0.059905,40.0315,0.009963,0.995066,0.999843,0.995705,15.8765
task_attr_mod_color_32648,0.03,0.06,1.0,0.135827,0.174513,40.0376,0.009956,0.977524,0.999859,0.977941,7.1968
task_attr_mod_color_32648,0.06,0.12,1.0,0.163005,0.294527,40.0268,0.009969,0.914972,0.999702,0.915342,5.6132
task_attr_mod_color_32648,0.12,0.2,1.0,0.135827,0.308427,40.034,0.00996,0.767485,0.998872,0.766483,5.6505
task_attr_mod_color_32648,0.2,0.3,1.0,0.081147,0.322766,40.0284,0.009967,0.534152,0.996534,0.531959,6.5825
task_attr_mod_color_32648,0.3,0.45,1.0,0.083582,0.305113,40.0297,0.009965,0.250427,0.985109,0.248598,2.9962
task_attr_mod_color_32648,0.45,0.6,1.0,0.070151,0.302471,40.0283,0.009967,0.069938,0.970138,0.068748,0.997
task_attr_mod_color_32648,0.6,0.8,1.0,0.02771,0.265254,40.0295,0.009966,0.010261,0.910605,0.009705,0.3703
task_attr_mod_color_32648,0.8,1.05,1.0,0.005881,0.288974,40.0285,0.009967,0.000703,0.717335,0.000414,0.1195
task_attr_mod_color_6205,0.0,0.03,1.0,0.017864,0.024858,40.0228,0.009973,0.99416,0.999577,0.995705,55.6528
task_attr_mod_color_6205,0.03,0.06,1.0,0.046925,0.07087,40.0118,0.009986,0.977083,0.99967,0.977941,20.8221
task_attr_mod_color_6205,0.06,0.12,1.0,0.056571,0.1203,40.0132,0.009984,0.914445,0.999487,0.915342,16.1646
task_attr_mod_color_6205,0.12,0.2,1.0,0.06937,0.136873,40.0148,0.009983,0.767302,0.998737,0.766483,11.061
task_attr_mod_color_6205,0.2,0.3,1.0,0.052279,0.151706,40.0135,0.009984,0.534004,0.996412,0.531959,10.2146
task_attr_mod_color_6205,0.3,0.45,1.0,0.041672,0.148547,40.0131,0.009984,0.250427,0.985029,0.248598,6.0095
task_attr_mod_color_6205,0.45,0.6,1.0,0.03084,0.149302,40.0131,0.009984,0.069987,0.969935,0.068748,2.2694
task_attr_mod_color_6205,0.6,0.8,1.0,0.012527,0.159931,40.0142,0.009983,0.010317,0.908813,0.009705,0.8236
task_attr_mod_color_6205,0.8,1.05,1.0,0.002672,0.165037,40.0135,0.009984,0.000757,0.693892,0.000414,0.2832
task_env_weather_112463,0.0,0.03,1.0,0.027662,0.01522,40.0007,0.009999,0.99551,0.999978,0.995705,35.9888
task_env_weather_112463,0.03,0.06,1.0,0.045925,0.046587,40.0067,0.009992,0.977478,0.999814,0.977941,21.284
task_env_weather_112463,0.06,0.12,1.0,0.056606,0.097209,40.0042,0.009995,0.915031,0.999692,0.915342,16.165
task_env_weather_112463,0.12,0.2,1.0,0.049848,0.103765,40.0044,0.009994,0.767739,0.998944,0.766483,15.4017
task_env_weather_112463,0.2,0.3,1.0,0.026213,0.110113,40.0035,0.009995,0.5343,0.99665,0.531959,20.3833
