method,type,image_id,lpips,psnr,linf
pg_enc,加性,dog/dog_00,0.5501236319541931,32.859500885009766,0.030000030994415283
pg_enc,加性,dog/dog_01,0.5365149974822998,32.683494567871094,0.030000030994415283
pg_enc,加性,car/car_00,0.30537253618240356,31.776742935180664,0.030000030994415283
pg_diff,加性,dog/dog_00,0.5105289220809937,32.987525939941406,0.030000030994415283
pg_diff,加性,dog/dog_01,0.49044400453567505,33.079532623291016,0.030000030994415283
pg_diff,加性,car/car_00,0.2394111007452011,32.477256774902344,0.030000030994415283
advdiff,非加性,dog/dog_00,0.6055952310562134,18.612688064575195,0.973171591758728
advdiff,非加性,dog/dog_01,0.5606135129928589,16.500123977661133,0.9529411792755127
advdiff,非加性,car/car_00,0.744060754776001,13.010622024536133,0.9860713481903076
apa,非加性,dog/dog_00,0.4543643295764923,21.23211669921875,0.7725714445114136
apa,非加性,dog/dog_01,0.42992106080055237,21.182388305664062,0.7688973546028137
apa,非加性,car/car_00,0.4330682158470154,16.810190200805664,1.0
hybrid,非加性,dog/dog_00,0.4975125193595886,21.11928939819336,0.9215686321258545
hybrid,非加性,dog/dog_01,0.5128770470619202,20.258930206298828,0.8643233776092529
hybrid,非加性,car/car_00,0.4565025269985199,16.208791732788086,1.0
