image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,r_max,gl_iters,block,hop,quantile,gate_edge_power,freq_weight,freq_weight_power,gain_weight,phase_channels,spectral_floor,floor_gate,theta_budget,warp_grid,defense_steps,loss,gain_ratio,purify_aware,deliver_jpeg,deliver_retention,deliver_cosine,deliver_retention_base,deliver_rms_raw,deliver_rms_out,dct_q_alg,dct_gamma,wm_tau,wm_mu,wm_diagonals,wm_q_embed,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,edit_clip_sim,edit_siglip_sim,blocked,siglip_blocked_threshold,total_seconds
task_attr_mod_color_11699,phase_gain,instruct-pix2pix,turn the color of potted plant to pink,,0.9,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,16,1000,latent_norm,1.0,none,0.85,0.91606,0.86201,0.9004,0.049184,0.052268,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.47899,0.92238,25.635,0.29198,0.12508,0.41827,0.69559,18.6,0.21531,0.22872,0.49254,0.05227,0.88979,0.86222,False,0.837,415.9
task_attr_mod_color_136767,phase_gain,instruct-pix2pix,turn the color of astronaut to pink,,0.9,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,16,1000,latent_norm,1.0,none,0.85,0.8988,0.86701,0.8914,0.048136,0.049901,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.45923,0.88903,26.038,0.29656,0.13994,0.48907,0.59155,17.074,0.20754,0.26185,0.52748,0.0499,0.95358,0.91876,False,0.837,406.5
task_attr_mod_color_184837,phase_gain,instruct-pix2pix,turn the color of frame to pink,,0.9,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,16,1000,latent_norm,1.0,none,0.85,0.96092,0.925,0.95866,0.06648,0.069062,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.45387,0.91941,23.215,0.3189,0.14677,0.51173,0.50951,16.456,0.21856,0.3074,0.45891,0.06906,0.95753,0.91586,False,0.837,406.2
task_attr_mod_color_32648,phase_gain,instruct-pix2pix,turn the color of potion bottle to orange,,0.9,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,16,1000,latent_norm,1.0,none,0.85,0.73752,0.74437,0.73917,0.033969,0.033656,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.58614,0.89962,29.459,0.12854,0.15729,0.46272,0.55033,15.875,0.17815,0.2407,0.43915,0.03366,0.91275,0.92804,False,0.837,406.7
task_attr_mod_color_6205,phase_gain,instruct-pix2pix,turn the color of toolbox to red,,0.9,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,16,1000,latent_norm,1.0,none,0.85,0.83761,0.79304,0.82263,0.040708,0.042996,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.48202,0.91943,27.332,0.30006,0.14126,0.52515,0.59725,12.61,0.29445,0.28398,0.49875,0.043,0.88021,0.84608,False,0.837,405.8
task_env_weather_112463,phase_gain,instruct-pix2pix,transform the setting to spring with blooming flowers,,0.9,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,16,1000,latent_norm,1.0,none,0.85,0.83904,0.78982,0.83517,0.040485,0.043008,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.57759,0.93118,27.329,0.31063,0.084,0.39067,0.53894,16.826,0.30324,0.1942,0.36747,0.04301,0.8968,0.83037,True,0.837,405.3
task_obj_remove_380621,phase_gain,instruct-pix2pix,Remove iceberg,,0.9,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,16,1000,latent_norm,1.0,none,0.85,0.89466,0.86294,0.88514,0.048354,0.050131,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.52268,0.92772,25.998,0.31689,0.13255,0.50294,0.53242,15.501,0.21938,0.29362,0.67059,0.05013,0.88542,0.83082,True,0.837,404.3
task_obj_swap_joint_mask_276754,phase_gain,instruct-pix2pix,Replace the satellite dish with rocket,,0.9,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,16,1000,latent_norm,1.0,none,0.85,0.9438,0.90539,0.92763,0.055478,0.057831,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.44917,0.84407,24.757,0.262,0.13316,0.64532,0.61401,14.17,0.02219,0.37831,0.46469,0.05783,0.84261,0.84592,False,0.837,406.2
task_obj_swap_joint_mask_533428,phase_gain,instruct-pix2pix,Replace the samurai armor with red jacket,,0.9,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,16,1000,latent_norm,1.0,none,0.85,0.9451,0.89657,0.93965,0.058036,0.061177,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.46488,0.91253,24.268,0.30531,0.11624,0.56806,0.38211,13.351,0.09934,0.26844,0.41349,0.06118,0.74513,0.73219,True,0.837,407.3
task_obj_swap_rand_mask_417469,phase_gain,instruct-pix2pix,Replace the green flannel shirt with blue shirt,,0.9,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,16,1000,latent_norm,1.0,none,0.85,0.91431,0.86946,0.90596,0.051508,0.054166,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.48792,0.88409,25.326,0.27363,0.10644,0.5998,0.4953,12.181,0.21,0.35401,0.48297,0.05417,0.87297,0.72603,True,0.837,403.4
