condition,diverged,fid_acut,fid_chroma,fid_lpips,fid_psnr,final_L_def,final_L_fid,final_loss,finite,image_id,lr,lr_key,monitor,monitor_first,monitor_last,monitor_per_step,steps
N1,False,0.03293503075838089,0.26514965295791626,0.1511496603488922,27.342426300048828,0.055815067142248154,0.0,0.055815067142248154,True,bird_02,0.3,lr.N1,shared_mass,0.9415173530578613,0.9441849589347839,4.521365893089165e-05,60
N1,False,0.027688520029187202,0.3817436695098877,0.20261701941490173,27.226139068603516,0.058833539485931396,0.26170164346694946,0.32053518295288086,True,bird_02,1.0,lr.N1,shared_mass,0.9415173530578613,0.9411664605140686,-5.947331250724146e-06,60
N1,False,0.030293788760900497,0.5237042903900146,0.20251239836215973,27.490901947021484,0.05918026715517044,0.251239538192749,0.31041979789733887,True,bird_02,3.0,lr.N1,shared_mass,0.9415173530578613,0.9408197402954102,-1.1823945126291049e-05,60
N2,False,0.03881125897169113,0.25336629152297974,0.13774603605270386,26.849863052368164,0.8013019561767578,0.0,0.8013019561767578,True,bird_02,0.3,lr.N2,edit_shift,0.15037710964679718,0.22023901343345642,0.0011841000641806651,60
N2,False,0.04605821892619133,0.45650169253349304,0.19926482439041138,27.10024070739746,0.828804612159729,0.0,0.828804612159729,True,bird_02,1.0,lr.N2,edit_shift,0.15037710964679718,0.25545769929885864,0.001781026943255279,60
N2,False,0.029418978840112686,0.5781344175338745,0.19860181212425232,27.143741607666016,0.8520521521568298,0.0,0.8520521521568298,True,bird_02,3.0,lr.N2,edit_shift,0.15037710964679718,0.2680143713951111,0.0019938518940392186,60
