image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,gl_iters,block,loss,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,total_seconds
task_attr_mod_color_11699,phase,instruct-pix2pix,turn the color of potted plant to pink,,1.4,False,0.0,0.12,0,32,latent_norm,100,7.5,1.5,20260812,False,0.13061,0.96524,28.172,0.55725,0.05858,0.18259,0.87972,21.985,0.39356,0.12091,0.62697,0.03903,38.4
task_attr_mod_color_136767,phase,instruct-pix2pix,turn the color of astronaut to pink,,1.4,False,0.0,0.12,0,32,latent_norm,100,7.5,1.5,20260812,False,0.19762,0.94656,28.701,0.50345,0.11362,0.25858,0.77442,22.739,0.33548,0.18654,0.45459,0.03673,38.9
task_attr_mod_color_184837,phase,instruct-pix2pix,turn the color of frame to pink,,1.4,False,0.0,0.12,0,32,latent_norm,100,7.5,1.5,20260812,False,0.26205,0.89592,22.999,0.41713,0.16341,0.39556,0.60992,16.928,0.26908,0.26104,0.69412,0.0708,39.1
task_attr_mod_color_32648,phase,instruct-pix2pix,turn the color of potion bottle to orange,,1.4,False,0.0,0.12,0,32,latent_norm,100,7.5,1.5,20260812,False,0.14932,0.98973,41.207,0.69386,0.04329,0.16099,0.86835,20.655,0.61351,0.15505,0.23085,0.0087,38.8
task_attr_mod_color_6205,phase,instruct-pix2pix,turn the color of toolbox to red,,1.4,False,0.0,0.12,0,32,latent_norm,100,7.5,1.5,20260812,False,0.13588,0.96227,31.192,0.60045,0.10563,0.30508,0.73063,12.563,0.43025,0.1939,0.52308,0.02757,39.0
task_env_weather_112463,phase,instruct-pix2pix,transform the setting to spring with blooming flowers,,1.4,False,0.0,0.12,0,32,latent_norm,100,7.5,1.5,20260812,False,0.17464,0.94574,31.113,0.58437,0.04707,0.26061,0.75861,21.959,0.335,0.11226,0.36055,0.02782,39.1
task_env_weather_133752,phase,instruct-pix2pix,transform the setting to a rainy day,,1.4,False,0.0,0.12,0,32,latent_norm,100,7.5,1.5,20260812,False,0.18811,0.963,32.205,0.59519,0.03791,0.26608,0.8712,24.323,0.35016,0.09478,0.30908,0.02453,39.0
task_env_weather_181583,phase,instruct-pix2pix,change the setting to a stormy day,,1.4,False,0.0,0.12,0,32,latent_norm,100,7.5,1.5,20260812,False,0.21581,0.92835,31.318,0.5502,0.06137,0.58519,0.69267,14.603,0.34505,0.32496,0.28207,0.02717,39.0
task_env_weather_246440,phase,instruct-pix2pix,transform the setting to autumn with falling leaves,,1.4,False,0.0,0.12,0,32,latent_norm,100,7.5,1.5,20260812,False,0.22418,0.88765,21.071,0.42014,0.10481,0.4249,0.5003,16.072,0.16199,0.22795,0.81888,0.0884,39.3
task_env_weather_63722,phase,instruct-pix2pix,change the setting to a snowy landscape,,1.4,False,0.0,0.12,0,32,latent_norm,100,7.5,1.5,20260812,False,0.17627,0.94959,26.451,0.48405,0.08315,0.25173,0.82157,20.66,0.28515,0.1425,0.52969,0.04758,39.4
task_obj_add_13726,phase,instruct-pix2pix,Add subscribe button,,1.4,False,0.0,0.12,0,32,latent_norm,100,7.5,1.5,20260812,False,0.22735,0.91865,26.666,0.44899,0.10186,0.36298,0.64572,18.757,0.20221,0.24312,0.60635,0.04642,39.4
task_obj_add_340466,phase,instruct-pix2pix,Add orange juice,,1.4,False,0.0,0.12,0,32,latent_norm,100,7.5,1.5,20260812,False,0.14075,0.96565,30.337,0.60062,0.08402,0.2584,0.85219,19.769,0.4363,0.17113,0.4665,0.03042,39.4
task_obj_add_40931,phase,instruct-pix2pix,Add the blood on snout,,1.4,False,0.0,0.12,0,32,latent_norm,100,7.5,1.5,20260812,False,0.31918,0.92084,26.787,0.45802,0.0842,0.33648,0.64885,19.451,0.27154,0.20841,0.48165,0.04577,39.4
task_obj_add_581286,phase,instruct-pix2pix,Add sauce,,1.4,False,0.0,0.12,0,32,latent_norm,100,7.5,1.5,20260812,False,0.13009,0.97181,35.797,0.70172,0.05097,0.16982,0.89392,27.804,0.59422,0.11782,0.4093,0.01622,39.2
task_obj_add_692065,phase,instruct-pix2pix,Add monk,,1.4,False,0.0,0.12,0,32,latent_norm,100,7.5,1.5,20260812,False,0.14865,0.94584,27.356,0.61236,0.06447,0.21648,0.85398,22.877,0.42584,0.08293,0.5004,0.04288,39.1
task_obj_remove_10197,phase,instruct-pix2pix,Remove gravel path,,1.4,False,0.0,0.12,0,32,latent_norm,100,7.5,1.5,20260812,False,0.27111,0.92669,25.499,0.52078,0.07203,0.47334,0.42535,14.932,0.06192,0.26732,0.6212,0.0531,39.0
task_obj_remove_257910,phase,instruct-pix2pix,Remove bracelet,,1.4,False,0.0,0.12,0,32,latent_norm,100,7.5,1.5,20260812,False,0.21699,0.97262,33.978,0.66615,0.04524,0.22735,0.86332,24.821,0.42518,0.1112,0.33966,0.02,39.0
task_obj_remove_380621,phase,instruct-pix2pix,Remove iceberg,,1.4,False,0.0,0.12,0,32,latent_norm,100,7.5,1.5,20260812,False,0.21824,0.9485,28.44,0.58355,0.08237,0.39893,0.67294,16.426,0.24771,0.21924,0.58272,0.03784,39.3
task_obj_remove_509477,phase,instruct-pix2pix,Remove the man with glasses,,1.4,False,0.0,0.12,0,32,latent_norm,100,7.5,1.5,20260812,False,0.26526,0.9118,25.671,0.44088,0.10641,0.32476,0.69859,19.652,0.29009,0.17966,0.52744,0.05205,39.4
task_obj_remove_657585,phase,instruct-pix2pix,Remove frisbee,,1.4,False,0.0,0.12,0,32,latent_norm,100,7.5,1.5,20260812,False,0.12062,0.98103,37.655,0.77946,0.04494,0.26024,0.82711,21.733,0.60576,0.16179,0.20452,0.0131,39.6
task_obj_swap_joint_mask_276754,phase,instruct-pix2pix,Replace the satellite dish with rocket,,1.4,False,0.0,0.12,0,32,latent_norm,100,7.5,1.5,20260812,False,0.38896,0.87069,26.337,0.29797,0.10889,0.3901,0.76007,17.472,0.14484,0.25943,0.47485,0.04821,39.4
task_obj_swap_joint_mask_533428,phase,instruct-pix2pix,Replace the samurai armor with red jacket,,1.4,False,0.0,0.12,0,32,latent_norm,100,7.5,1.5,20260812,False,0.27627,0.9132,25.208,0.44767,0.1015,0.46402,0.50613,15.457,0.15363,0.26124,0.54752,0.05491,39.5
task_obj_swap_joint_mask_75733,phase,instruct-pix2pix,Replace the snowy landscape with sea,,1.4,False,0.0,0.12,0,32,latent_norm,100,7.5,1.5,20260812,False,0.26043,0.952,33.304,0.52712,0.10024,0.38102,0.75566,16.932,0.31953,0.26049,0.34138,0.02162,39.4
task_obj_swap_rand_mask_298147,phase,instruct-pix2pix,Replace the wizard's robe with red shirt,,1.4,False,0.0,0.12,0,32,latent_norm,100,7.5,1.5,20260812,False,0.36597,0.87756,25.981,0.38441,0.13307,0.49205,0.52786,18.456,0.16738,0.27079,0.77985,0.05023,39.3
task_obj_swap_rand_mask_417469,phase,instruct-pix2pix,Replace the green flannel shirt with blue shirt,,1.4,False,0.0,0.12,0,32,latent_norm,100,7.5,1.5,20260812,False,0.22554,0.93282,27.969,0.4897,0.06725,0.31923,0.70701,19.812,0.33293,0.17383,0.67945,0.03995,39.2
