image,condition,radius,step,loss,param_absmean,eval
task_attr_mod_color_11699,phase_gain,2.5,0,0.4220588803291321,0.008768380653389314,0.15707974135875702
task_attr_mod_color_11699,phase_gain,2.5,100,0.08331675827503204,0.20528797206752525,0.1053251400589943
task_attr_mod_color_11699,phase_gain,2.5,200,0.07055951654911041,0.3538830545161852,0.07436386495828629
task_attr_mod_color_11699,phase_gain,2.5,300,0.0017896054778248072,0.4786643697789767,0.057777948677539825
task_attr_mod_color_11699,phase_gain,2.5,400,0.049710795283317566,0.6001121432300731,0.04704306647181511
task_attr_mod_color_11699,phase_gain,2.5,500,0.04429427906870842,0.714996165810999,0.03936071693897247
task_attr_mod_color_11699,phase_gain,2.5,600,0.03595360368490219,0.8086924055864949,0.034651368856430054
task_attr_mod_color_11699,phase_gain,2.5,700,0.02425205335021019,0.8943461484075879,0.031220728531479836
task_attr_mod_color_11699,phase_gain,2.5,800,0.03271975368261337,0.9691689871214758,0.02840554527938366
task_attr_mod_color_11699,phase_gain,2.5,900,0.0010534703033044934,1.030338061260007,0.026609275490045547
task_attr_mod_color_11699,phase_gain,2.5,1000,0.0072144269943237305,1.085846404020188,0.025394178926944733
task_attr_mod_color_11699,phase_gain,2.5,1100,0.02893405221402645,1.136014455708319,0.02374810352921486
task_attr_mod_color_11699,phase_gain,2.5,1200,0.024894360452890396,1.1790424860772712,0.022684894502162933
task_attr_mod_color_11699,phase_gain,2.5,1300,0.024601265788078308,1.2189638444135051,0.02195333130657673
task_attr_mod_color_11699,phase_gain,2.5,1400,0.006672747433185577,1.2531599155934563,0.02122434787452221
task_attr_mod_color_11699,phase_gain,2.5,1500,0.023419160395860672,1.2851617973372782,0.020598070695996284
task_attr_mod_color_11699,phase_gain,2.5,1600,0.02128535695374012,1.314089638444135,0.019958581775426865
task_attr_mod_color_11699,phase_gain,2.5,1700,0.021165627986192703,1.3392752567003132,0.01953955553472042
task_attr_mod_color_11699,phase_gain,2.5,1800,0.0195075161755085,1.3628104333449356,0.019224345684051514
task_attr_mod_color_11699,phase_gain,2.5,1900,0.004243857692927122,1.384703652540898,0.01894201524555683
task_attr_mod_color_11699,phase_gain,2.5,2000,0.009348077699542046,1.4047162700139226,0.01849185675382614
task_attr_mod_color_11699,phase_gain,2.5,2100,0.01347387582063675,1.4240112687086668,0.01814143732190132
task_attr_mod_color_11699,phase_gain,2.5,2200,0.0028380854055285454,1.4418894665854507,0.017971603199839592
task_attr_mod_color_11699,phase_gain,2.5,2300,0.01691477559506893,1.4579214344761573,0.0177021324634552
task_attr_mod_color_11699,phase_gain,2.5,2400,0.0009117167210206389,1.4712294966063348,0.017543653026223183
