image,condition,region,purifier,effect_mean,effect_sd,effect_identity_mean,effect_identity_sd,retention,usable,seconds
woman_02,add,torso,identity,0.10764,0.04276,0.10764,0.04276,1.0,False,708.4
woman_02,add,torso,blur1,0.15238,0.0301,0.10764,0.04276,1.41567,False,708.4
woman_02,add,torso,noise0.05,0.13241,0.04076,0.10764,0.04276,1.23008,False,708.4
woman_02,add,torso,quantize16,0.10248,0.01087,0.10764,0.04276,0.95211,False,708.4
woman_02,add,torso,jpeg75,0.1012,0.05774,0.10764,0.04276,0.94017,False,708.4
woman_02,add,torso,jpeg30,0.14227,0.04629,0.10764,0.04276,1.3217,False,708.4
woman_02,add,torso,crop_resize0.1,0.24264,0.00966,0.10764,0.04276,2.25417,False,708.4
woman_02,add,torso,jpeg_then_resize75,0.13366,0.03903,0.10764,0.04276,1.24172,False,708.4
woman_02,add,torso,adverse_cleaner,0.10338,0.04976,0.10764,0.04276,0.96042,False,708.4
woman_02,add,torso,impress,0.10139,0.04129,0.10764,0.04276,0.94194,False,708.4
woman_02,phase_rand,torso,identity,0.12467,0.0691,0.12467,0.0691,1.0,False,707.6
woman_02,phase_rand,torso,blur1,0.15821,0.02472,0.12467,0.0691,1.26909,False,707.6
woman_02,phase_rand,torso,noise0.05,0.16354,0.03215,0.12467,0.0691,1.3118,False,707.6
woman_02,phase_rand,torso,quantize16,0.1467,0.05211,0.12467,0.0691,1.17678,False,707.6
woman_02,phase_rand,torso,jpeg75,0.15916,0.05191,0.12467,0.0691,1.2767,False,707.6
woman_02,phase_rand,torso,jpeg30,0.16487,0.04255,0.12467,0.0691,1.3225,False,707.6
woman_02,phase_rand,torso,crop_resize0.1,0.26191,0.03988,0.12467,0.0691,2.1009,False,707.6
woman_02,phase_rand,torso,jpeg_then_resize75,0.16844,0.05555,0.12467,0.0691,1.35115,False,707.6
woman_02,phase_rand,torso,adverse_cleaner,0.13661,0.05819,0.12467,0.0691,1.09579,False,707.6
woman_02,phase_rand,torso,impress,0.12769,0.04191,0.12467,0.0691,1.02423,False,707.6
woman_02,apa_weak,torso,identity,0.07436,0.02858,0.07436,0.02858,1.0,False,705.9
woman_02,apa_weak,torso,blur1,0.14652,0.04629,0.07436,0.02858,1.97032,False,705.9
woman_02,apa_weak,torso,noise0.05,0.15937,0.03346,0.07436,0.02858,2.1431,False,705.9
woman_02,apa_weak,torso,quantize16,0.11876,0.02132,0.07436,0.02858,1.59699,False,705.9
woman_02,apa_weak,torso,jpeg75,0.10451,0.05459,0.07436,0.02858,1.40531,False,705.9
woman_02,apa_weak,torso,jpeg30,0.13014,0.04572,0.07436,0.02858,1.75008,False,705.9
woman_02,apa_weak,torso,crop_resize0.1,0.24598,0.01597,0.07436,0.02858,3.30773,False,705.9
woman_02,apa_weak,torso,jpeg_then_resize75,0.11987,0.05781,0.07436,0.02858,1.61193,False,705.9
woman_02,apa_weak,torso,adverse_cleaner,0.1045,0.03375,0.07436,0.02858,1.4052,False,705.9
woman_02,apa_weak,torso,impress,0.11167,0.02775,0.07436,0.02858,1.50159,False,705.9
woman_02,dia_r,torso,identity,0.11735,0.04324,0.11735,0.04324,1.0,False,730.8
woman_02,dia_r,torso,blur1,0.16299,0.02179,0.11735,0.04324,1.38888,False,730.8
woman_02,dia_r,torso,noise0.05,0.13795,0.04353,0.11735,0.04324,1.17548,False,730.8
woman_02,dia_r,torso,quantize16,0.10079,0.01601,0.11735,0.04324,0.85883,False,730.8
woman_02,dia_r,torso,jpeg75,0.10718,0.05528,0.11735,0.04324,0.91329,False,730.8
woman_02,dia_r,torso,jpeg30,0.15461,0.02524,0.11735,0.04324,1.31748,False,730.8
woman_02,dia_r,torso,crop_resize0.1,0.2561,0.02191,0.11735,0.04324,2.18229,False,730.8
woman_02,dia_r,torso,jpeg_then_resize75,0.12858,0.04209,0.11735,0.04324,1.0957,False,730.8
woman_02,dia_r,torso,adverse_cleaner,0.10958,0.05533,0.11735,0.04324,0.93377,False,730.8
woman_02,dia_r,torso,impress,0.08908,0.05626,0.11735,0.04324,0.75904,False,730.8
