image,condition,region,purifier,effect_mean,effect_sd,effect_identity_mean,effect_identity_sd,retention,usable,seconds
cat_01,phase_rand,head,identity,0.01526,0.00737,0.01526,0.00737,1.0,False,689.9
cat_01,phase_rand,head,blur1,0.03416,0.01669,0.01526,0.00737,2.2381,False,689.9
cat_01,phase_rand,head,noise0.05,0.04885,0.01437,0.01526,0.00737,3.20065,False,689.9
cat_01,phase_rand,head,quantize16,0.03973,0.01582,0.01526,0.00737,2.60339,False,689.9
cat_01,phase_rand,head,jpeg75,0.02326,0.01158,0.01526,0.00737,1.52409,False,689.9
cat_01,phase_rand,head,jpeg30,0.0257,0.00877,0.01526,0.00737,1.68375,False,689.9
cat_01,phase_rand,head,crop_resize0.1,0.06537,0.00634,0.01526,0.00737,4.28353,False,689.9
cat_01,phase_rand,head,jpeg_then_resize75,0.03023,0.01419,0.01526,0.00737,1.98046,False,689.9
cat_01,phase_rand,head,adverse_cleaner,0.02141,0.00757,0.01526,0.00737,1.40281,False,689.9
cat_01,phase_rand,head,impress,0.02097,0.00732,0.01526,0.00737,1.37429,False,689.9
cat_01,apa_weak,head,identity,0.03772,0.01763,0.03772,0.01763,1.0,False,690.8
cat_01,apa_weak,head,blur1,0.04709,0.01282,0.03772,0.01763,1.2484,False,690.8
cat_01,apa_weak,head,noise0.05,0.06207,0.00618,0.03772,0.01763,1.64548,False,690.8
cat_01,apa_weak,head,quantize16,0.05276,0.00439,0.03772,0.01763,1.3988,False,690.8
cat_01,apa_weak,head,jpeg75,0.03838,0.01748,0.03772,0.01763,1.01737,False,690.8
cat_01,apa_weak,head,jpeg30,0.04404,0.01414,0.03772,0.01763,1.16747,False,690.8
cat_01,apa_weak,head,crop_resize0.1,0.06959,0.0101,0.03772,0.01763,1.84491,False,690.8
cat_01,apa_weak,head,jpeg_then_resize75,0.04408,0.01216,0.03772,0.01763,1.16852,False,690.8
cat_01,apa_weak,head,adverse_cleaner,0.0391,0.00855,0.03772,0.01763,1.03668,False,690.9
cat_01,apa_weak,head,impress,0.0362,0.00314,0.03772,0.01763,0.95963,False,690.9
cat_01,dia_r,head,identity,0.02895,0.00866,0.02895,0.00866,1.0,True,690.3
cat_01,dia_r,head,blur1,0.03839,0.01421,0.02895,0.00866,1.32614,True,690.3
cat_01,dia_r,head,noise0.05,0.04704,0.01646,0.02895,0.00866,1.62479,True,690.3
cat_01,dia_r,head,quantize16,0.03869,0.01721,0.02895,0.00866,1.33657,True,690.3
cat_01,dia_r,head,jpeg75,0.02578,0.01678,0.02895,0.00866,0.89041,True,690.3
cat_01,dia_r,head,jpeg30,0.03384,0.00583,0.02895,0.00866,1.16891,True,690.3
cat_01,dia_r,head,crop_resize0.1,0.06798,0.01054,0.02895,0.00866,2.34817,True,690.3
cat_01,dia_r,head,jpeg_then_resize75,0.03444,0.00648,0.02895,0.00866,1.18977,True,690.3
cat_01,dia_r,head,adverse_cleaner,0.02973,0.00562,0.02895,0.00866,1.0269,True,690.3
cat_01,dia_r,head,impress,0.02453,0.01099,0.02895,0.00866,0.84724,True,690.3
