image,condition,region,purifier,effect_mean,effect_sd,effect_identity_mean,effect_identity_sd,retention,usable,seconds
horse_03,mist,head,identity,0.07151,0.00111,0.07151,0.00111,1.0,True,704.6
horse_03,mist,head,blur1,0.05836,0.00512,0.07151,0.00111,0.81612,True,704.6
horse_03,mist,head,noise0.05,0.06721,0.0017,0.07151,0.00111,0.93986,True,704.6
horse_03,mist,head,quantize16,0.06988,0.00182,0.07151,0.00111,0.97721,True,704.6
horse_03,mist,head,jpeg75,0.06124,0.00278,0.07151,0.00111,0.85629,True,704.6
horse_03,mist,head,jpeg30,0.05345,0.00524,0.07151,0.00111,0.74745,True,704.6
horse_03,mist,head,crop_resize0.1,0.07362,0.0017,0.07151,0.00111,1.02949,True,704.6
horse_03,mist,head,jpeg_then_resize75,0.05526,0.00843,0.07151,0.00111,0.77275,True,704.6
horse_03,mist,head,adverse_cleaner,0.06265,0.00142,0.07151,0.00111,0.876,True,704.6
horse_03,mist,head,impress,0.05766,0.00276,0.07151,0.00111,0.80632,True,704.6
horse_03,photoguard_c,head,identity,0.0497,0.00396,0.0497,0.00396,1.0,True,705.9
horse_03,photoguard_c,head,blur1,0.04017,0.00287,0.0497,0.00396,0.80828,True,705.9
horse_03,photoguard_c,head,noise0.05,0.0486,0.00475,0.0497,0.00396,0.97794,True,705.9
horse_03,photoguard_c,head,quantize16,0.04677,0.00597,0.0497,0.00396,0.94099,True,705.9
horse_03,photoguard_c,head,jpeg75,0.03481,0.00771,0.0497,0.00396,0.70041,True,705.9
horse_03,photoguard_c,head,jpeg30,0.03454,0.00388,0.0497,0.00396,0.69497,True,705.9
horse_03,photoguard_c,head,crop_resize0.1,0.06402,0.00419,0.0497,0.00396,1.28812,True,705.9
horse_03,photoguard_c,head,jpeg_then_resize75,0.03825,0.00354,0.0497,0.00396,0.76966,True,705.9
horse_03,photoguard_c,head,adverse_cleaner,0.03164,0.00468,0.0497,0.00396,0.63671,True,705.9
horse_03,photoguard_c,head,impress,0.03671,0.00992,0.0497,0.00396,0.73867,True,705.9
