image,condition,region,purifier,effect_mean,effect_sd,effect_identity_mean,effect_identity_sd,retention,usable,seconds
horse_03,phase,head,identity,0.04345,0.0078,0.04345,0.0078,1.0,True,736.6
horse_03,phase,head,blur1,0.03805,0.00305,0.04345,0.0078,0.87579,True,736.6
horse_03,phase,head,noise0.05,0.05379,0.00223,0.04345,0.0078,1.23804,True,736.6
horse_03,phase,head,quantize16,0.04585,0.00882,0.04345,0.0078,1.0552,True,736.6
horse_03,phase,head,jpeg75,0.03469,0.00638,0.04345,0.0078,0.79846,True,736.6
horse_03,phase,head,jpeg30,0.04006,0.00586,0.04345,0.0078,0.922,True,736.6
horse_03,phase,head,crop_resize0.1,0.0656,0.00269,0.04345,0.0078,1.50976,True,736.6
horse_03,phase,head,jpeg_then_resize75,0.03386,0.00474,0.04345,0.0078,0.77927,True,736.6
horse_03,phase,head,adverse_cleaner,0.0479,0.00612,0.04345,0.0078,1.10234,True,736.6
horse_03,phase,head,impress,0.04492,0.00469,0.04345,0.0078,1.03372,True,736.6
horse_03,add,head,identity,0.02949,0.00849,0.02949,0.00849,1.0,True,759.2
horse_03,add,head,blur1,0.03487,0.00192,0.02949,0.00849,1.18275,True,759.2
horse_03,add,head,noise0.05,0.04832,0.00566,0.02949,0.00849,1.63865,True,759.2
horse_03,add,head,quantize16,0.03809,0.0038,0.02949,0.00849,1.29194,True,759.2
horse_03,add,head,jpeg75,0.0263,0.00731,0.02949,0.00849,0.89189,True,759.2
horse_03,add,head,jpeg30,0.03579,0.00486,0.02949,0.00849,1.21389,True,759.2
horse_03,add,head,crop_resize0.1,0.06126,0.00424,0.02949,0.00849,2.07772,True,759.2
horse_03,add,head,jpeg_then_resize75,0.03168,0.00452,0.02949,0.00849,1.07427,True,759.2
horse_03,add,head,adverse_cleaner,0.02283,0.00766,0.02949,0.00849,0.77415,True,759.2
horse_03,add,head,impress,0.0321,0.01103,0.02949,0.00849,1.08862,True,759.2
