image,condition,region,purifier,effect_mean,effect_sd,effect_identity_mean,effect_identity_sd,retention,usable,seconds
dog_03,mist,head,identity,0.29279,0.00641,0.29279,0.00641,1.0,True,734.8
dog_03,mist,head,blur1,0.24967,0.00767,0.29279,0.00641,0.85272,True,734.8
dog_03,mist,head,noise0.05,0.28881,0.00518,0.29279,0.00641,0.98639,True,734.8
dog_03,mist,head,quantize16,0.29263,0.00696,0.29279,0.00641,0.99943,True,734.8
dog_03,mist,head,jpeg75,0.26644,0.00415,0.29279,0.00641,0.91001,True,734.8
dog_03,mist,head,jpeg30,0.24001,0.00661,0.29279,0.00641,0.81972,True,734.8
dog_03,mist,head,crop_resize0.1,0.33006,0.00576,0.29279,0.00641,1.12729,True,734.8
dog_03,mist,head,jpeg_then_resize75,0.24418,0.00847,0.29279,0.00641,0.83399,True,734.8
dog_03,mist,head,adverse_cleaner,0.27238,0.00405,0.29279,0.00641,0.93029,True,734.8
dog_03,mist,head,impress,0.27045,0.01292,0.29279,0.00641,0.92369,True,734.8
dog_03,photoguard_c,head,identity,0.22775,0.01722,0.22775,0.01722,1.0,True,737.3
dog_03,photoguard_c,head,blur1,0.19095,0.00867,0.22775,0.01722,0.83844,True,737.3
dog_03,photoguard_c,head,noise0.05,0.25245,0.02364,0.22775,0.01722,1.10847,True,737.3
dog_03,photoguard_c,head,quantize16,0.23066,0.01336,0.22775,0.01722,1.01277,True,737.3
dog_03,photoguard_c,head,jpeg75,0.18782,0.03376,0.22775,0.01722,0.8247,True,737.3
dog_03,photoguard_c,head,jpeg30,0.21433,0.0234,0.22775,0.01722,0.94108,True,737.3
dog_03,photoguard_c,head,crop_resize0.1,0.32031,0.00689,0.22775,0.01722,1.40645,True,737.3
dog_03,photoguard_c,head,jpeg_then_resize75,0.17357,0.01736,0.22775,0.01722,0.7621,True,737.3
dog_03,photoguard_c,head,adverse_cleaner,0.17349,0.04354,0.22775,0.01722,0.76175,True,737.3
dog_03,photoguard_c,head,impress,0.21279,0.0279,0.22775,0.01722,0.93431,True,737.3
