image,condition,region,purifier,effect_mean,effect_sd,effect_identity_mean,effect_identity_sd,retention,usable,seconds
man_02,mist,torso,identity,0.24699,0.02216,0.24699,0.02216,1.0,True,701.4
man_02,mist,torso,blur1,0.23421,0.02628,0.24699,0.02216,0.94823,True,701.4
man_02,mist,torso,noise0.05,0.25252,0.03004,0.24699,0.02216,1.02237,True,701.4
man_02,mist,torso,quantize16,0.24946,0.02484,0.24699,0.02216,1.00998,True,701.4
man_02,mist,torso,jpeg75,0.224,0.03614,0.24699,0.02216,0.90693,True,701.4
man_02,mist,torso,jpeg30,0.2138,0.03449,0.24699,0.02216,0.86561,True,701.4
man_02,mist,torso,crop_resize0.1,0.286,0.01799,0.24699,0.02216,1.15795,True,701.4
man_02,mist,torso,jpeg_then_resize75,0.21869,0.0304,0.24699,0.02216,0.88541,True,701.4
man_02,mist,torso,adverse_cleaner,0.23309,0.02738,0.24699,0.02216,0.94373,True,701.4
man_02,mist,torso,impress,0.22618,0.0377,0.24699,0.02216,0.91573,True,701.4
man_02,photoguard_c,torso,identity,0.15444,0.0412,0.15444,0.0412,1.0,True,707.0
man_02,photoguard_c,torso,blur1,0.2135,0.02896,0.15444,0.0412,1.38236,True,707.0
man_02,photoguard_c,torso,noise0.05,0.18963,0.02851,0.15444,0.0412,1.22783,True,707.0
man_02,photoguard_c,torso,quantize16,0.17041,0.02722,0.15444,0.0412,1.1034,True,707.0
man_02,photoguard_c,torso,jpeg75,0.1444,0.02238,0.15444,0.0412,0.93501,True,707.0
man_02,photoguard_c,torso,jpeg30,0.15844,0.04322,0.15444,0.0412,1.02586,True,707.0
man_02,photoguard_c,torso,crop_resize0.1,0.26427,0.01744,0.15444,0.0412,1.71109,True,707.0
man_02,photoguard_c,torso,jpeg_then_resize75,0.2027,0.02186,0.15444,0.0412,1.31248,True,707.0
man_02,photoguard_c,torso,adverse_cleaner,0.16865,0.0467,0.15444,0.0412,1.09199,True,707.0
man_02,photoguard_c,torso,impress,0.16434,0.03564,0.15444,0.0412,1.06412,True,707.0
