image,condition,region,purifier,effect_mean,effect_sd,effect_identity_mean,effect_identity_sd,retention,usable,seconds
cat_01,phase,head,identity,0.03469,0.00606,0.03469,0.00606,1.0,True,695.8
cat_01,phase,head,blur1,0.04275,0.0101,0.03469,0.00606,1.23234,True,695.8
cat_01,phase,head,noise0.05,0.04698,0.01523,0.03469,0.00606,1.35423,True,695.8
cat_01,phase,head,quantize16,0.04922,0.00684,0.03469,0.00606,1.41876,True,695.8
cat_01,phase,head,jpeg75,0.0338,0.01981,0.03469,0.00606,0.97442,True,695.8
cat_01,phase,head,jpeg30,0.03283,0.00412,0.03469,0.00606,0.94644,True,695.8
cat_01,phase,head,crop_resize0.1,0.0642,0.00764,0.03469,0.00606,1.85044,True,695.8
cat_01,phase,head,jpeg_then_resize75,0.03105,0.01248,0.03469,0.00606,0.89487,True,695.8
cat_01,phase,head,adverse_cleaner,0.0395,0.00313,0.03469,0.00606,1.13869,True,695.8
cat_01,phase,head,impress,0.04413,0.0131,0.03469,0.00606,1.27216,True,695.8
cat_01,add,head,identity,0.02549,0.01357,0.02549,0.01357,1.0,False,698.4
cat_01,add,head,blur1,0.0363,0.01552,0.02549,0.01357,1.424,False,698.4
cat_01,add,head,noise0.05,0.04738,0.01291,0.02549,0.01357,1.85851,False,698.4
cat_01,add,head,quantize16,0.03571,0.00635,0.02549,0.01357,1.40079,False,698.4
cat_01,add,head,jpeg75,0.01633,0.00883,0.02549,0.01357,0.64058,False,698.4
cat_01,add,head,jpeg30,0.02696,0.0093,0.02549,0.01357,1.05768,False,698.4
cat_01,add,head,crop_resize0.1,0.06435,0.005,0.02549,0.01357,2.52412,False,698.4
cat_01,add,head,jpeg_then_resize75,0.03051,0.01999,0.02549,0.01357,1.19685,False,698.4
cat_01,add,head,adverse_cleaner,0.02786,0.00927,0.02549,0.01357,1.09275,False,698.4
cat_01,add,head,impress,0.02596,0.01464,0.02549,0.01357,1.0182,False,698.4
