image,condition,region,purifier,effect_mean,effect_sd,effect_identity_mean,effect_identity_sd,retention,usable,seconds
man_02,phase,torso,identity,0.20784,0.02575,0.20784,0.02575,1.0,True,685.3
man_02,phase,torso,blur1,0.21772,0.01983,0.20784,0.02575,1.04753,True,685.3
man_02,phase,torso,noise0.05,0.23487,0.02033,0.20784,0.02575,1.13007,True,685.3
man_02,phase,torso,quantize16,0.23029,0.02959,0.20784,0.02575,1.10803,True,685.3
man_02,phase,torso,jpeg75,0.2082,0.02045,0.20784,0.02575,1.00172,True,685.3
man_02,phase,torso,jpeg30,0.21501,0.02593,0.20784,0.02575,1.03452,True,685.3
man_02,phase,torso,crop_resize0.1,0.30276,0.01708,0.20784,0.02575,1.45671,True,685.3
man_02,phase,torso,jpeg_then_resize75,0.20583,0.01418,0.20784,0.02575,0.99033,True,685.3
man_02,phase,torso,adverse_cleaner,0.22364,0.03478,0.20784,0.02575,1.07604,True,685.3
man_02,phase,torso,impress,0.21917,0.0318,0.20784,0.02575,1.0545,True,685.3
man_02,add,torso,identity,0.1361,0.04156,0.1361,0.04156,1.0,True,688.2
man_02,add,torso,blur1,0.20566,0.02379,0.1361,0.04156,1.51103,True,688.2
man_02,add,torso,noise0.05,0.19458,0.03835,0.1361,0.04156,1.42965,True,688.2
man_02,add,torso,quantize16,0.09786,0.02846,0.1361,0.04156,0.71899,True,688.2
man_02,add,torso,jpeg75,0.14968,0.03792,0.1361,0.04156,1.09974,True,688.2
man_02,add,torso,jpeg30,0.16338,0.03295,0.1361,0.04156,1.20041,True,688.2
man_02,add,torso,crop_resize0.1,0.26778,0.01659,0.1361,0.04156,1.96746,True,688.2
man_02,add,torso,jpeg_then_resize75,0.19408,0.02078,0.1361,0.04156,1.42599,True,688.2
man_02,add,torso,adverse_cleaner,0.09352,0.03401,0.1361,0.04156,0.68709,True,688.2
man_02,add,torso,impress,0.16642,0.04004,0.1361,0.04156,1.22278,True,688.2
