image,condition,region,purifier,effect_mean,effect_sd,effect_identity_mean,effect_identity_sd,retention,usable,seconds
horse_03,phase_rand,head,identity,0.01507,0.00383,0.01507,0.00383,1.0,True,694.3
horse_03,phase_rand,head,blur1,0.03643,0.00497,0.01507,0.00383,2.41805,True,694.3
horse_03,phase_rand,head,noise0.05,0.05295,0.00089,0.01507,0.00383,3.51457,True,694.3
horse_03,phase_rand,head,quantize16,0.0395,0.00711,0.01507,0.00383,2.62208,True,694.3
horse_03,phase_rand,head,jpeg75,0.02883,0.00509,0.01507,0.00383,1.91335,True,694.3
horse_03,phase_rand,head,jpeg30,0.03831,0.00378,0.01507,0.00383,2.54279,True,694.3
horse_03,phase_rand,head,crop_resize0.1,0.06086,0.00445,0.01507,0.00383,4.03976,True,694.3
horse_03,phase_rand,head,jpeg_then_resize75,0.03642,0.0039,0.01507,0.00383,2.41718,True,694.3
horse_03,phase_rand,head,adverse_cleaner,0.02567,0.00604,0.01507,0.00383,1.70397,True,694.3
horse_03,phase_rand,head,impress,0.04053,0.00353,0.01507,0.00383,2.69021,True,694.3
horse_03,apa_weak,head,identity,0.03799,0.00898,0.03799,0.00898,1.0,True,692.5
horse_03,apa_weak,head,blur1,0.05313,0.00092,0.03799,0.00898,1.39833,True,692.5
horse_03,apa_weak,head,noise0.05,0.05658,0.00614,0.03799,0.00898,1.4893,True,692.5
horse_03,apa_weak,head,quantize16,0.04569,0.00554,0.03799,0.00898,1.20262,True,692.5
horse_03,apa_weak,head,jpeg75,0.04522,0.0044,0.03799,0.00898,1.19011,True,692.5
horse_03,apa_weak,head,jpeg30,0.05304,0.00552,0.03799,0.00898,1.39608,True,692.5
horse_03,apa_weak,head,crop_resize0.1,0.06643,0.004,0.03799,0.00898,1.74854,True,692.5
horse_03,apa_weak,head,jpeg_then_resize75,0.04838,0.00144,0.03799,0.00898,1.27349,True,692.5
horse_03,apa_weak,head,adverse_cleaner,0.04846,0.00245,0.03799,0.00898,1.27557,True,692.5
horse_03,apa_weak,head,impress,0.04006,0.01051,0.03799,0.00898,1.05446,True,692.5
horse_03,dia_r,head,identity,0.0395,0.00894,0.0395,0.00894,1.0,True,694.7
horse_03,dia_r,head,blur1,0.04121,0.00338,0.0395,0.00894,1.04317,True,694.7
horse_03,dia_r,head,noise0.05,0.05325,0.00089,0.0395,0.00894,1.34816,True,694.7
horse_03,dia_r,head,quantize16,0.04198,0.00898,0.0395,0.00894,1.06269,True,694.7
horse_03,dia_r,head,jpeg75,0.02943,0.00612,0.0395,0.00894,0.74505,True,694.7
horse_03,dia_r,head,jpeg30,0.0423,0.00657,0.0395,0.00894,1.07083,True,694.7
horse_03,dia_r,head,crop_resize0.1,0.06158,0.0054,0.0395,0.00894,1.55902,True,694.7
horse_03,dia_r,head,jpeg_then_resize75,0.03725,0.00474,0.0395,0.00894,0.94289,True,694.7
horse_03,dia_r,head,adverse_cleaner,0.03635,0.00513,0.0395,0.00894,0.92011,True,694.7
horse_03,dia_r,head,impress,0.04237,0.00456,0.0395,0.00894,1.07258,True,694.7
