image,condition,region,purifier,effect_mean,effect_sd,effect_identity_mean,effect_identity_sd,retention,usable,seconds
dog_03,phase,head,identity,0.19469,0.01525,0.19469,0.01525,1.0,True,720.2
dog_03,phase,head,blur1,0.19427,0.02096,0.19469,0.01525,0.99786,True,720.2
dog_03,phase,head,noise0.05,0.25967,0.01911,0.19469,0.01525,1.33378,True,720.2
dog_03,phase,head,quantize16,0.24335,0.01338,0.19469,0.01525,1.24997,True,720.2
dog_03,phase,head,jpeg75,0.16816,0.03796,0.19469,0.01525,0.86374,True,720.2
dog_03,phase,head,jpeg30,0.22576,0.01888,0.19469,0.01525,1.15961,True,720.2
dog_03,phase,head,crop_resize0.1,0.31145,0.00973,0.19469,0.01525,1.59976,True,720.2
dog_03,phase,head,jpeg_then_resize75,0.19429,0.01306,0.19469,0.01525,0.99798,True,720.2
dog_03,phase,head,adverse_cleaner,0.19727,0.01352,0.19469,0.01525,1.01329,True,720.2
dog_03,phase,head,impress,0.21679,0.02841,0.19469,0.01525,1.11355,True,720.2
dog_03,add,head,identity,0.1631,0.02458,0.1631,0.02458,1.0,True,724.8
dog_03,add,head,blur1,0.18451,0.01644,0.1631,0.02458,1.13124,True,724.8
dog_03,add,head,noise0.05,0.2551,0.02639,0.1631,0.02458,1.56406,True,724.8
dog_03,add,head,quantize16,0.21748,0.01923,0.1631,0.02458,1.33338,True,724.8
dog_03,add,head,jpeg75,0.18349,0.01521,0.1631,0.02458,1.12497,True,724.8
dog_03,add,head,jpeg30,0.22075,0.01572,0.1631,0.02458,1.35346,True,724.8
dog_03,add,head,crop_resize0.1,0.30986,0.00911,0.1631,0.02458,1.89978,True,724.8
dog_03,add,head,jpeg_then_resize75,0.18541,0.02947,0.1631,0.02458,1.13677,True,724.8
dog_03,add,head,adverse_cleaner,0.13986,0.02544,0.1631,0.02458,0.85752,True,724.8
dog_03,add,head,impress,0.19755,0.01324,0.1631,0.02458,1.21117,True,724.8
