image,site,rank,prompt,steps,steps_done,stop_reason,k_inv,n_edit,n_eot,seconds,purify_mode,align_steps,align_seconds,align_lpips,align_psnr,peak_mb,residual_gain,eff_rank_mean,energy_rank_99_mean,energy_rank_90_mean,raw_eff_rank_mean,raw_energy_rank_99_mean,clamped_fraction,final_loss,final_L_def,final_L_fid,final_shift,final_psnr,final_linf,final_psnr_total,final_linf_total,final_ssim,final_lpips
car_00,P,16,a wrecked car after an accident,60,60,,10,10,1,141.1,rotate,0,0.0,,,10313.8,1.24,414.6666666666667,37.333333333333336,14.333333333333334,16.0,16.0,0.02512105368077755,0.7519364356994629,0.7519364356994629,0.0,0.2480635941028595,32.25236511230469,0.4032290279865265,32.25236511230469,0.4032290279865265,0.9715204238891602,0.04473043233156204
car_01,P,16,a wrecked car after an accident,60,60,,10,10,1,141.4,rotate,0,0.0,,,10319.8,1.75,330.0,16.0,14.0,16.0,16.0,0.006167094223201275,1.3668386936187744,0.7098241448402405,0.6570145487785339,0.2901758551597595,31.662609100341797,0.28627100586891174,31.662609100341797,0.28627100586891174,0.9778522849082947,0.0565701462328434
