tag,image,condition,block,rho_energy_texture,rho_after_permute,block_gini,crop_ring_energy_frac,residual_rms
ours_nonadd,task_obj_swap_rand_mask_417469,phase_gain,32,0.94705,0.03968,0.69397,0.51266,0.05948
dct_e18,task_attr_mod_color_11699,dct_shield,32,0.90511,0.00457,0.11201,0.34643,0.057175
dct_e18,task_attr_mod_color_136767,dct_shield,32,0.77869,-0.00682,0.11299,0.31988,0.054247
dct_e18,task_attr_mod_color_184837,dct_shield,32,0.9052,0.01025,0.11087,0.35948,0.057848
dct_e18,task_attr_mod_color_32648,dct_shield,32,0.79674,-0.03048,0.09708,0.32237,0.048102
dct_e18,task_attr_mod_color_6205,dct_shield,32,0.83166,-0.03059,0.10102,0.31927,0.055319
dct_e18,task_env_weather_112463,dct_shield,32,0.83457,0.121,0.05863,0.35472,0.05661
dct_e18,task_env_weather_246440,dct_shield,32,0.84892,-0.00562,0.09388,0.34668,0.060525
dct_e18,task_env_weather_63722,dct_shield,32,0.89495,-0.08521,0.09467,0.31775,0.054882
dct_e18,task_obj_add_40931,dct_shield,32,0.54896,0.03488,0.07558,0.36129,0.053679
dct_e18,task_obj_remove_380621,dct_shield,32,0.78506,-0.05623,0.07287,0.34341,0.055263
dct_e18,task_obj_swap_joint_mask_276754,dct_shield,32,0.84022,-0.00031,0.10932,0.32391,0.055282
dct_e18,task_obj_swap_joint_mask_533428,dct_shield,32,0.8747,0.06628,0.07577,0.34513,0.05747
dct_e18,task_obj_swap_rand_mask_417469,dct_shield,32,0.86436,0.09353,0.12574,0.35008,0.055647
dct_y_e14,task_attr_mod_color_11699,dct_shield_y,32,0.93716,-0.01691,0.16104,0.33438,0.031864
dct_y_e14,task_attr_mod_color_136767,dct_shield_y,32,0.77763,-0.03514,0.15733,0.3087,0.029386
dct_y_e14,task_attr_mod_color_184837,dct_shield_y,32,0.909,0.02758,0.11964,0.35882,0.033295
dct_y_e14,task_attr_mod_color_32648,dct_shield_y,32,0.85015,-0.0043,0.13809,0.30894,0.024915
dct_y_e14,task_attr_mod_color_6205,dct_shield_y,32,0.87822,-0.00942,0.13901,0.30302,0.03024
dct_y_e14,task_env_weather_112463,dct_shield_y,32,0.83123,0.07974,0.0801,0.35313,0.030484
