image,condition,prompt_index,prompt,block,r_min,quantile,target_image,loss,random_start,budget_target,budget_mode,budget_reached,unreachable,radius,total_seconds,fid_lpips,fid_ssim,fid_dists,fid_psnr,fid_clip_img,fid_nima,fid_cnniqa,edit_lpips,edit_clip_orig,edit_clip_def,edit_clip_drop,edit_siglip_orig,edit_siglip_def,edit_siglip_drop,amp_dev,active_fraction
person_a_00,add,0,Barack Obama,32,0.12,0.5,data/targets/lebron.png,encoder_target,False,human,human,0.00854,False,0.00471,45.7,0.271,0.9974,0.0085,47.5263,0.9986,5.3344,0.6446,0.4224,0.2651,0.2789,-0.0139,0.1061,0.1065,-0.0004,,
person_a_00,phase,0,Barack Obama,32,0.12,0.5,data/targets/lebron.png,encoder_target,False,human,human,0.03685,False,1.3,29.3,0.199,0.9721,0.0369,33.0453,0.9918,4.854,0.6013,0.6408,0.2651,0.2734,-0.0083,0.1061,0.1,0.0061,0.01723,0.3846
person_a_00,phase_rand,0,Barack Obama,32,0.12,0.5,data/targets/lebron.png,encoder_target,False,human,human,0.04821,False,1.3,12.6,0.0666,0.9755,0.0482,34.2234,0.9964,4.9944,0.5889,0.1615,0.2651,0.2622,0.0028,0.1061,0.1056,0.0006,0.01558,0.3846
person_b_00,add,0,Morgan Freeman,32,0.12,0.5,data/targets/lebron.png,encoder_target,False,human,human,0.00794,False,0.00471,29.2,0.2193,0.9972,0.0079,47.609,0.9993,4.7582,0.6577,0.2409,0.3042,0.3002,0.0039,0.1069,0.1092,-0.0024,,
person_b_00,phase,0,Morgan Freeman,32,0.12,0.5,data/targets/lebron.png,encoder_target,False,human,human,0.03658,False,1.3,29.5,0.2591,0.9645,0.0366,35.5378,0.9972,4.4495,0.6421,0.3528,0.3042,0.3078,-0.0036,0.1069,0.0959,0.011,0.01373,0.4646
person_b_00,phase_rand,0,Morgan Freeman,32,0.12,0.5,data/targets/lebron.png,encoder_target,False,human,human,0.03125,False,1.3,12.6,0.0678,0.9741,0.0313,37.0088,0.9989,4.5748,0.6079,0.257,0.3042,0.3122,-0.008,0.1069,0.1014,0.0054,0.01272,0.4646
cat_00,add,0,a cat wearing a red party hat,32,0.12,0.5,data/targets/lebron.png,encoder_target,False,human,human,0.00912,False,0.00471,41.2,0.1282,0.9987,0.0091,50.7177,0.9985,5.528,0.7053,0.1615,0.3509,0.3247,0.0262,0.1549,0.1548,0.0001,,
cat_00,phase,0,a cat wearing a red party hat,32,0.12,0.5,data/targets/lebron.png,encoder_target,False,human,human,0.05968,False,1.3,24.7,0.1294,0.9735,0.0597,34.8705,0.9959,5.2386,0.6517,0.2689,0.3509,0.36,-0.0091,0.1549,0.1352,0.0198,0.00865,0.2933
cat_00,phase_rand,0,a cat wearing a red party hat,32,0.12,0.5,data/targets/lebron.png,encoder_target,False,human,human,0.05773,False,1.3,10.6,0.0423,0.9775,0.0577,35.5952,0.9943,5.2554,0.6195,0.0612,0.3509,0.359,-0.0081,0.1549,0.1544,0.0005,0.0087,0.2933
person_c_00,add,0,Taylor Swift,32,0.12,0.5,data/targets/lebron.png,encoder_target,False,human,human,0.00483,False,0.00471,25.1,0.0993,0.998,0.0048,47.4827,0.9992,4.9803,0.6579,0.0636,0.2826,0.2772,0.0054,0.0977,0.0986,-0.0009,,
person_c_00,phase,0,Taylor Swift,32,0.12,0.5,data/targets/lebron.png,encoder_target,False,human,human,0.04998,False,1.3,25.3,0.1616,0.9355,0.05,31.9591,0.9928,4.7921,0.6483,0.088,0.2826,0.276,0.0066,0.0977,0.0989,-0.0013,0.04677,0.563
person_c_00,phase_rand,0,Taylor Swift,32,0.12,0.5,data/targets/lebron.png,encoder_target,False,human,human,0.04275,False,1.3,10.9,0.106,0.9478,0.0428,32.936,0.9967,4.782,0.6602,0.0677,0.2826,0.283,-0.0004,0.0977,0.098,-0.0004,0.0427,0.563
raccoon_00,add,0,a panda,32,0.12,0.5,data/targets/lebron.png,encoder_target,False,human,human,0.0079,False,0.00471,41.3,0.146,0.9975,0.0079,47.7532,0.998,6.0728,0.7075,0.5523,0.3069,0.2911,0.0158,0.1213,0.1181,0.0032,,
raccoon_00,phase,0,a panda,32,0.12,0.5,data/targets/lebron.png,encoder_target,False,human,human,0.03924,False,1.3,24.6,0.2321,0.9363,0.0392,27.9176,0.9981,5.7884,0.7303,0.6174,0.3069,0.2974,0.0096,0.1213,0.1192,0.0021,0.03891,0.4693
raccoon_00,phase_rand,0,a panda,32,0.12,0.5,data/targets/lebron.png,encoder_target,False,human,human,0.03669,False,1.3,10.5,0.0596,0.9562,0.0367,29.5942,0.9984,5.8968,0.7077,0.0615,0.3069,0.3082,-0.0013,0.1213,0.1206,0.0007,0.03589,0.4693
shiba_00,add,0,a cat,32,0.12,0.5,data/targets/lebron.png,encoder_target,False,human,human,0.00272,False,0.00471,24.7,0.221,0.9972,0.0027,47.3922,0.999,5.667,0.7084,0.5646,0.2619,0.2703,-0.0084,0.0881,0.0926,-0.0045,,
