image,condition,budget_target,purifier,effect_mean,effect_sd,effect_identity_mean,effect_identity_sd,retention,usable,seconds
person_c_00,add,human,identity,0.15206,0.14772,0.15206,0.14772,1.0,False,138.3
person_c_00,add,human,blur1,0.17948,0.04687,0.15206,0.14772,1.18035,False,138.3
person_c_00,add,human,noise0.05,0.43004,0.0966,0.15206,0.14772,2.82808,False,138.3
person_c_00,add,human,quantize16,0.14471,0.04233,0.15206,0.14772,0.95164,False,138.3
person_c_00,add,human,jpeg75,0.07241,0.04104,0.15206,0.14772,0.47616,False,138.3
person_c_00,add,human,jpeg30,0.12985,0.05035,0.15206,0.14772,0.85394,False,138.3
person_c_00,add,human,crop_resize0.1,0.39862,0.03662,0.15206,0.14772,2.62145,False,138.3
person_c_00,add,human,jpeg_then_resize75,0.13667,0.0573,0.15206,0.14772,0.89878,False,138.3
person_c_00,add,human,adverse_cleaner,0.08036,0.02289,0.15206,0.14772,0.5285,False,138.3
person_c_00,phase,human,identity,0.21113,0.19383,0.21113,0.19383,1.0,False,138.1
person_c_00,phase,human,blur1,0.18796,0.0541,0.21113,0.19383,0.89026,False,138.1
person_c_00,phase,human,noise0.05,0.43378,0.09371,0.21113,0.19383,2.0546,False,138.1
person_c_00,phase,human,quantize16,0.15775,0.04077,0.21113,0.19383,0.74721,False,138.1
person_c_00,phase,human,jpeg75,0.0742,0.00978,0.21113,0.19383,0.35143,False,138.1
person_c_00,phase,human,jpeg30,0.12048,0.03075,0.21113,0.19383,0.57066,False,138.1
person_c_00,phase,human,crop_resize0.1,0.40101,0.03697,0.21113,0.19383,1.89941,False,138.1
person_c_00,phase,human,jpeg_then_resize75,0.15491,0.05138,0.21113,0.19383,0.73375,False,138.1
person_c_00,phase,human,adverse_cleaner,0.21157,0.18256,0.21113,0.19383,1.00209,False,138.1
person_c_00,phase_rand,human,identity,0.06065,0.01557,0.06065,0.01557,1.0,True,138.0
person_c_00,phase_rand,human,blur1,0.18457,0.05889,0.06065,0.01557,3.04327,True,138.0
person_c_00,phase_rand,human,noise0.05,0.42724,0.09674,0.06065,0.01557,7.04457,True,138.0
person_c_00,phase_rand,human,quantize16,0.13708,0.031,0.06065,0.01557,2.26029,True,138.0
person_c_00,phase_rand,human,jpeg75,0.11236,0.03914,0.06065,0.01557,1.85271,True,138.0
person_c_00,phase_rand,human,jpeg30,0.14763,0.06245,0.06065,0.01557,2.43417,True,138.0
person_c_00,phase_rand,human,crop_resize0.1,0.427,0.02193,0.06065,0.01557,7.04062,True,138.0
person_c_00,phase_rand,human,jpeg_then_resize75,0.14034,0.06439,0.06065,0.01557,2.314,True,138.0
person_c_00,phase_rand,human,adverse_cleaner,0.11973,0.04951,0.06065,0.01557,1.97423,True,138.0
