image,site,rank,prompt,steps,k_inv,n_edit,n_eot,seconds,peak_mb,residual_gain,eff_rank_mean,energy_rank_99_mean,energy_rank_90_mean,raw_eff_rank_mean,raw_energy_rank_99_mean,clamped_fraction,final_loss,final_L_def,final_L_fid,final_shift,final_psnr,final_linf,final_psnr_total,final_linf_total,final_ssim,final_lpips,purify,strength,noise_split,proxy_gap,edit_psnr,edit_linf,edit_ssim,edit_lpips,edit_dists,edit_niqe_a,edit_niqe_b,edit_clip_a,edit_siglip_a,edit_clip_b,edit_siglip_b,defimg_psnr,defimg_linf,defimg_ssim,defimg_lpips,defimg_dists,ctrl_lpips,ctrl_psnr,net_lpips
car_00,LA,4,a wrecked car after an accident,25,20,10,1,297.0,10153.3,7.84,512.0,327.0,177.0,,,,0.8566606044769287,0.4808945655822754,0.3757660686969757,0.019105438143014908,57.43089294433594,0.06375646591186523,57.43089294433594,0.06375646591186523,0.9999784827232361,9.783821587916464e-05,identity,0.0,train,0.0,32.32662582397461,0.8087218999862671,0.9860085844993591,0.019105438143014908,0.01724177598953247,4.215788341561983,3.9870052052456173,0.2232273519039154,0.05863351374864578,0.22431296110153198,0.05773061141371727,57.40692138671875,0.06375646591186523,0.9999784827232361,9.783821587916464e-05,1.6808509826660156e-05,0.0,80.0,0.019105438143014908
car_00,LA,4,a wrecked car after an accident,25,20,10,1,297.0,10153.3,7.84,512.0,327.0,177.0,,,,0.8566606044769287,0.4808945655822754,0.3757660686969757,0.019105438143014908,57.43089294433594,0.06375646591186523,57.43089294433594,0.06375646591186523,0.9999784827232361,9.783821587916464e-05,blur,0.0,heldout,0.0,34.61870193481445,0.6925051212310791,0.9899548292160034,0.015708617866039276,0.018366694450378418,3.607388867230174,3.5308933312499513,0.21795710921287537,0.04843774065375328,0.22074097394943237,0.0465092808008194,57.40692138671875,0.06375646591186523,0.9999784827232361,9.783821587916464e-05,1.6808509826660156e-05,0.0,80.0,0.015708617866039276
car_00,LA,4,a wrecked car after an accident,25,20,10,1,297.0,10153.3,7.84,512.0,327.0,177.0,,,,0.8566606044769287,0.4808945655822754,0.3757660686969757,0.019105438143014908,57.43089294433594,0.06375646591186523,57.43089294433594,0.06375646591186523,0.9999784827232361,9.783821587916464e-05,blur,0.5,heldout,0.0,27.74929428100586,0.6850093603134155,0.9467415809631348,0.07442307472229004,0.04907584190368652,3.607388867230174,3.0525811515853336,0.21795710921287537,0.04843774065375328,0.22079163789749146,0.02630859613418579,31.5339298248291,0.2463817000389099,0.9924912452697754,0.025860408321022987,0.012912869453430176,0.07280343770980835,27.877161026000977,0.0016196370124816895
car_00,LA,4,a wrecked car after an accident,25,20,10,1,297.0,10153.3,7.84,512.0,327.0,177.0,,,,0.8566606044769287,0.4808945655822754,0.3757660686969757,0.019105438143014908,57.43089294433594,0.06375646591186523,57.43089294433594,0.06375646591186523,0.9999784827232361,9.783821587916464e-05,blur,1.0,heldout,0.0,22.892898559570312,0.7519062757492065,0.8139581084251404,0.30811208486557007,0.12353312969207764,3.607388867230174,4.070224466067706,0.21795710921287537,0.04843774065375328,0.22014185786247253,0.005899990908801556,23.23168182373047,0.5973143577575684,0.9178608655929565,0.21023264527320862,0.0842970609664917,0.3081440329551697,22.882883071899414,-3.1948089599609375e-05
car_00,LA,4,a wrecked car after an accident,25,20,10,1,297.0,10153.3,7.84,512.0,327.0,177.0,,,,0.8566606044769287,0.4808945655822754,0.3757660686969757,0.019105438143014908,57.43089294433594,0.06375646591186523,57.43089294433594,0.06375646591186523,0.9999784827232361,9.783821587916464e-05,blur,1.5,heldout,0.0,21.619525909423828,0.7505383491516113,0.7329167723655701,0.4379911422729492,0.1874866485595703,3.607388867230174,6.150542331724567,0.21795710921287537,0.04843774065375328,0.2203218787908554,0.03412307798862457,21.28609848022461,0.735000729560852,0.824298083782196,0.33527928590774536,0.16393554210662842,0.4379340708255768,21.619068145751953,5.7071447372436523e-05
car_00,LA,4,a wrecked car after an accident,25,20,10,1,297.0,10153.3,7.84,512.0,327.0,177.0,,,,0.8566606044769287,0.4808945655822754,0.3757660686969757,0.019105438143014908,57.43089294433594,0.06375646591186523,57.43089294433594,0.06375646591186523,0.9999784827232361,9.783821587916464e-05,blur,2.0,heldout,0.0,20.97031593322754,0.7367098927497864,0.6739614009857178,0.5100219249725342,0.22851938009262085,3.607388867230174,7.543704214937285,0.21795710921287537,0.04843774065375328,0.21334102749824524,0.021739374846220016,20.288471221923828,0.7963448762893677,0.7394646406173706,0.4206293225288391,0.20726382732391357,0.5099867582321167,20.968475341796875,3.516674041748047e-05
car_00,LA,4,a wrecked car after an accident,25,20,10,1,297.0,10153.3,7.84,512.0,327.0,177.0,,,,0.8566606044769287,0.4808945655822754,0.3757660686969757,0.019105438143014908,57.43089294433594,0.06375646591186523,57.43089294433594,0.06375646591186523,0.9999784827232361,9.783821587916464e-05,blur,3.0,heldout,0.0,20.021541595458984,0.7759498953819275,0.5785037279129028,0.5855672359466553,0.2827056646347046,3.607388867230174,9.264255374516537,0.21795710921287537,0.04843774065375328,0.20990300178527832,0.026746252551674843,19.13669204711914,0.839541494846344,0.6072067022323608,0.5304988622665405,0.25958001613616943,0.5855351686477661,20.02093505859375,3.2067298889160156e-05
car_00,LA,4,a wrecked car after an accident,25,20,10,1,297.0,10153.3,7.84,512.0,327.0,177.0,,,,0.8566606044769287,0.4808945655822754,0.3757660686969757,0.019105438143014908,57.43089294433594,0.06375646591186523,57.43089294433594,0.06375646591186523,0.9999784827232361,9.783821587916464e-05,jpeg,95,heldout,0.0,29.10342025756836,0.7913880348205566,0.9635348320007324,0.054438598453998566,0.041491150856018066,3.607388867230174,3.4503591600976042,0.21795710921287537,0.04843774065375328,0.2188325822353363,0.034848395735025406,35.204833984375,0.3294118046760559,0.992379367351532,0.022165892645716667,0.0036917924880981445,0.04655233025550842,29.74864959716797,0.007886268198490143
car_00,LA,4,a wrecked car after an accident,25,20,10,1,297.0,10153.3,7.84,512.0,327.0,177.0,,,,0.8566606044769287,0.4808945655822754,0.3757660686969757,0.019105438143014908,57.43089294433594,0.06375646591186523,57.43089294433594,0.06375646591186523,0.9999784827232361,9.783821587916464e-05,jpeg,85,heldout,0.0,26.720726013183594,0.8347110748291016,0.9387619495391846,0.08477986603975296,0.04574310779571533,3.607388867230174,3.396184888307525,0.21795710921287537,0.04843774065375328,0.230121910572052,0.04534677416086197,31.728408813476562,0.37254902720451355,0.9827712774276733,0.06463491916656494,0.008251190185546875,0.08944735676050186,26.51421546936035,-0.004667490720748901
car_00,LA,4,a wrecked car after an accident,25,20,10,1,297.0,10153.3,7.84,512.0,327.0,177.0,,,,0.8566606044769287,0.4808945655822754,0.3757660686969757,0.019105438143014908,57.43089294433594,0.06375646591186523,57.43089294433594,0.06375646591186523,0.9999784827232361,9.783821587916464e-05,jpeg,75,heldout,0.0,24.385772705078125,0.8205357789993286,0.8937165141105652,0.1314898580312729,0.06829118728637695,3.607388867230174,3.436195665504061,0.21795710921287537,0.04843774065375328,0.22127151489257812,0.03745916485786438,29.63184356689453,0.49803924560546875,0.9746322631835938,0.1002458930015564,0.014422297477722168,0.1362108737230301,24.49603843688965,-0.004721015691757202
car_00,LA,4,a wrecked car after an accident,25,20,10,1,297.0,10153.3,7.84,512.0,327.0,177.0,,,,0.8566606044769287,0.4808945655822754,0.3757660686969757,0.019105438143014908,57.43089294433594,0.06375646591186523,57.43089294433594,0.06375646591186523,0.9999784827232361,9.783821587916464e-05,jpeg,60,heldout,0.0,23.115816116333008,0.8649280667304993,0.8682398796081543,0.15621715784072876,0.07915335893630981,3.607388867230174,3.2455943991619405,0.21795710921287537,0.04843774065375328,0.22885507345199585,0.034814029932022095,27.833959579467773,0.5411764979362488,0.9644002914428711,0.14497381448745728,0.02453148365020752,0.15937384963035583,23.30567169189453,-0.003156691789627075
car_00,LA,4,a wrecked car after an accident,25,20,10,1,297.0,10153.3,7.84,512.0,327.0,177.0,,,,0.8566606044769287,0.4808945655822754,0.3757660686969757,0.019105438143014908,57.43089294433594,0.06375646591186523,57.43089294433594,0.06375646591186523,0.9999784827232361,9.783821587916464e-05,jpeg,45,heldout,0.0,22.577632904052734,0.8317346572875977,0.8512289524078369,0.19290536642074585,0.09431469440460205,3.607388867230174,2.6726008782272372,0.21795710921287537,0.04843774065375328,0.21859262883663177,0.03874863311648369,26.72537612915039,0.5333333611488342,0.9552168846130371,0.178561270236969,0.033285677433013916,0.18372881412506104,22.8984432220459,0.009176552295684814
car_00,LA,4,a wrecked car after an accident,25,20,10,1,297.0,10153.3,7.84,512.0,327.0,177.0,,,,0.8566606044769287,0.4808945655822754,0.3757660686969757,0.019105438143014908,57.43089294433594,0.06375646591186523,57.43089294433594,0.06375646591186523,0.9999784827232361,9.783821587916464e-05,jpeg,30,heldout,0.0,22.79279899597168,0.8317346572875977,0.8319294452667236,0.22219327092170715,0.10464286804199219,3.607388867230174,2.225732102579333,0.21795710921287537,0.04843774065375328,0.22582632303237915,0.030942557379603386,25.48581886291504,0.5803921222686768,0.9397916197776794,0.22238139808177948,0.045200228691101074,0.217988058924675,22.87649917602539,0.0042052119970321655
car_00,LA,4,a wrecked car after an accident,25,20,10,1,297.0,10153.3,7.84,512.0,327.0,177.0,,,,0.8566606044769287,0.4808945655822754,0.3757660686969757,0.019105438143014908,57.43089294433594,0.06375646591186523,57.43089294433594,0.06375646591186523,0.9999784827232361,9.783821587916464e-05,noise,0.0,heldout,0.0,34.61870193481445,0.6925051212310791,0.9899548292160034,0.015708617866039276,0.018366694450378418,3.607388867230174,3.5308933312499513,0.21795710921287537,0.04843774065375328,0.22074097394943237,0.0465092808008194,57.40692138671875,0.06375646591186523,0.9999784827232361,9.783821587916464e-05,1.6808509826660156e-05,0.0,80.0,0.015708617866039276
car_00,LA,4,a wrecked car after an accident,25,20,10,1,297.0,10153.3,7.84,512.0,327.0,177.0,,,,0.8566606044769287,0.4808945655822754,0.3757660686969757,0.019105438143014908,57.43089294433594,0.06375646591186523,57.43089294433594,0.06375646591186523,0.9999784827232361,9.783821587916464e-05,noise,0.01,heldout,0.0,31.139690399169922,0.6831449866294861,0.976402223110199,0.04316418990492821,0.021345019340515137,3.607388867230174,3.838439321851678,0.21795710921287537,0.04843774065375328,0.22319242358207703,0.04189411923289299,39.98639678955078,0.07557716965675354,0.9950529932975769,0.026198573410511017,0.0048122406005859375,0.03954797610640526,31.267223358154297,0.0036162137985229492
