image,site,rank,prompt,steps,k_inv,n_edit,n_eot,seconds,peak_mb,residual_gain,eff_rank_mean,energy_rank_99_mean,energy_rank_90_mean,raw_eff_rank_mean,raw_energy_rank_99_mean,clamped_fraction,final_loss,final_L_def,final_L_fid,final_shift,final_psnr,final_linf,final_psnr_total,final_linf_total,final_ssim,final_lpips
car_00,LA,4,a wrecked car after an accident,25,20,10,1,297.0,10153.3,7.84,512.0,327.0,177.0,,,,0.8566606044769287,0.4808945655822754,0.3757660686969757,0.019105438143014908,57.43089294433594,0.06375646591186523,57.43089294433594,0.06375646591186523,0.9999784827232361,9.783821587916464e-05
car_01,LA,4,a wrecked car after an accident,25,20,10,1,297.2,11512.0,8.07,512.0,336.6666666666667,176.66666666666666,,,,0.67027348279953,0.4769081473350525,0.19336532056331635,0.023091863840818405,55.678768157958984,0.06192976236343384,55.678768157958984,0.06192976236343384,0.9999487400054932,0.00033768496359698474
dog_00,LA,4,a cat sitting on the grass,25,20,10,1,297.6,11512.8,9.81,512.0,337.0,170.0,,,,0.4895770251750946,0.48776867985725403,0.0018083396134898067,0.012231322005391121,53.566261291503906,0.05096057057380676,53.566261291503906,0.05096057057380676,0.9997655749320984,0.0015739145455881953
dog_01,LA,4,a cat sitting on the grass,25,20,10,1,297.4,11512.8,8.4,512.0,322.6666666666667,166.0,,,,0.4832098186016083,0.48193085193634033,0.001278956769965589,0.01806914061307907,55.08540725708008,0.05953893065452576,55.08540725708008,0.05953893065452576,0.9998701810836792,0.0011491378536447883
person_00,LA,4,an elderly person with gray hair,25,20,10,1,297.3,11512.8,7.41,512.0,269.0,98.66666666666667,,,,1.2314386367797852,0.4865392744541168,0.7448993921279907,0.0134607357904315,59.17196273803711,0.06744340062141418,59.17196273803711,0.06744340062141418,0.9999275207519531,0.00048675676225684583
person_01,LA,4,an elderly person with gray hair,25,20,10,1,297.8,11512.8,8.23,512.0,279.3333333333333,114.66666666666667,,,,0.557338535785675,0.47721773386001587,0.08012080937623978,0.022782251238822937,53.765201568603516,0.06077951192855835,53.765201568603516,0.06077951192855835,0.999771773815155,0.0019412569236010313
