tag,label,purifier,n,net_gain,net_gain_sd,floor,wins_over_floor
d1_opt,可學位移 K=1（接閘）,identity,10,0.11184,0.07384,0.0,10
d1_opt,可學位移 K=1（接閘）,jpeg90,10,0.0698,0.05222,0.05135,10
d1_opt,可學位移 K=1（接閘）,jpeg75,10,0.03999,0.04014,0.10874,9
d1_opt,可學位移 K=1（接閘）,jpeg50,10,0.0468,0.0491,0.1632,10
d1_opt,可學位移 K=1（接閘）,jpeg30,10,0.04335,0.0439,0.21769,9
d1_opt,可學位移 K=1（接閘）,blur1,10,0.02584,0.01012,0.1776,10
d1_opt,可學位移 K=1（接閘）,blur2,10,0.01573,0.01968,0.30543,10
d1_opt,可學位移 K=1（接閘）,crop_resize0.1,10,0.00503,0.00945,0.49946,7
d1_opt,可學位移 K=1（接閘）,crop_resize0.15,10,0.00974,0.03366,0.5676,5
d4_opt,可學位移 K=4（接閘）,identity,10,0.20678,0.08436,0.0,10
d4_opt,可學位移 K=4（接閘）,jpeg90,10,0.16197,0.09535,0.05135,10
d4_opt,可學位移 K=4（接閘）,jpeg75,10,0.11476,0.04686,0.10874,10
d4_opt,可學位移 K=4（接閘）,jpeg50,10,0.08925,0.03923,0.1632,10
d4_opt,可學位移 K=4（接閘）,jpeg30,10,0.07287,0.0373,0.21769,10
d4_opt,可學位移 K=4（接閘）,blur1,10,0.0801,0.06346,0.1776,10
d4_opt,可學位移 K=4（接閘）,blur2,10,0.03996,0.02525,0.30543,10
d4_opt,可學位移 K=4（接閘）,crop_resize0.1,10,0.03579,0.08209,0.49946,10
d4_opt,可學位移 K=4（接閘）,crop_resize0.15,10,0.01902,0.04711,0.5676,7
d8_opt,可學位移 K=8（接閘）,identity,10,0.23294,0.06457,0.0,10
d8_opt,可學位移 K=8（接閘）,jpeg90,10,0.17331,0.05575,0.05135,10
d8_opt,可學位移 K=8（接閘）,jpeg75,10,0.11837,0.04241,0.10874,10
d8_opt,可學位移 K=8（接閘）,jpeg50,10,0.09552,0.03548,0.1632,10
d8_opt,可學位移 K=8（接閘）,jpeg30,10,0.08889,0.04608,0.21769,10
d8_opt,可學位移 K=8（接閘）,blur1,10,0.09687,0.06271,0.1776,10
d8_opt,可學位移 K=8（接閘）,blur2,10,0.04065,0.02536,0.30543,10
d8_opt,可學位移 K=8（接閘）,crop_resize0.1,10,0.0459,0.09545,0.49946,10
d8_opt,可學位移 K=8（接閘）,crop_resize0.15,10,0.0165,0.024,0.5676,8
