condition,lr_key,lr,steps,image_id,final_loss,final_L_def,final_L_fid,finite,monitor,monitor_first,monitor_last,monitor_per_step,final_lpips,final_psnr
N1,lr.N1,0.0001,12,bird_03,0.984028160572052,0.984028160572052,0.0,True,shared_mass,0.015970706939697266,0.015971839427947998,1.0295347733931108e-07,,
N1,lr.N1,0.001,12,bird_03,0.9840290546417236,0.9840290546417236,0.0,True,shared_mass,0.015970706939697266,0.015970945358276367,2.1674416281960228e-08,,
N1,lr.N1,0.005,12,bird_03,0.9840277433395386,0.9840277433395386,0.0,True,shared_mass,0.015970706939697266,0.015972256660461426,1.4088370583274148e-07,,
N1,lr.N1,0.02,12,bird_03,0.9840289354324341,0.9840289354324341,0.0,True,shared_mass,0.015970706939697266,0.015971064567565918,3.251162442294034e-08,,
N1,lr.N1,0.1,12,bird_03,0.9840043783187866,0.9840043783187866,0.0,True,shared_mass,0.015970706939697266,0.01599562168121338,2.2649765014648438e-06,,
N2,lr.N2,0.0001,12,bird_03,0.7350196838378906,0.7350196838378906,0.0,True,edit_shift,0.027366291731595993,0.15236085653305054,0.011363142254677687,,
N2,lr.N2,0.001,12,bird_03,0.7324365377426147,0.7324365377426147,0.0,True,edit_shift,0.027366291731595993,0.14956466853618622,0.01110894334587184,,
N2,lr.N2,0.005,12,bird_03,0.7414042949676514,0.7414042949676514,0.0,True,edit_shift,0.027366291731595993,0.139370858669281,0.010182233357971365,,
N2,lr.N2,0.02,12,bird_03,0.7369173765182495,0.7369173765182495,0.0,True,edit_shift,0.027366291731595993,0.14837339520454407,0.011000645770268007,,
N2,lr.N2,0.1,12,bird_03,0.7360098958015442,0.7360098958015442,0.0,True,edit_shift,0.027366291731595993,0.15971693396568298,0.012031876566735182,,
N3,lr.N3_stage1,0.0001,12,bird_03,544.685546875,,,True,,,,,0.5088793635368347,21.952617645263672
N3,lr.N3_stage1,0.001,12,bird_03,165.93551635742188,,,True,,,,,0.28244730830192566,28.14868927001953
N3,lr.N3_stage1,0.005,12,bird_03,1051.94775390625,,,True,,,,,0.5767683982849121,17.732980728149414
N3,lr.N3_stage1,0.02,12,bird_03,4652.7509765625,,,True,,,,,0.8520703315734863,6.845486164093018
N3,lr.N3_stage1,0.1,12,bird_03,3783.533447265625,,,True,,,,,0.8206762075424194,8.84949016571045
N3,lr.N3_stage2,0.0001,12,bird_03,0.011574529111385345,0.011574529111385345,0.0,True,edit_shift,0.5268743634223938,0.5936766862869263,0.006072938442230225,,
N3,lr.N3_stage2,0.001,12,bird_03,0.011257214471697807,0.011257214471697807,0.0,True,edit_shift,0.5268743634223938,0.5961337089538574,0.006296304139223966,,
N3,lr.N3_stage2,0.005,12,bird_03,0.011085725389420986,0.011085725389420986,0.0,True,edit_shift,0.5268743634223938,0.5949769020080566,0.006191139871423895,,
N3,lr.N3_stage2,0.02,12,bird_03,0.8004894256591797,0.01180671714246273,0.7886826992034912,True,edit_shift,0.5268743634223938,0.5959820747375488,0.006282519210468639,,
N3,lr.N3_stage2,0.1,12,bird_03,287.6783142089844,0.11622657626867294,287.56207275390625,True,edit_shift,0.5268743634223938,0.6212092638015747,0.008575900034470991,,
