loss,L_def,L_fid,defense_mode,edit_shift,fid_acut,fid_pen_acut,fid_chroma,fid_pen_chroma,fid_linf_total,fid_psnr_total,fid_lpips,fid_lpips_rel,fid_ssim,fid_linf,fid_psnr,fid_pen_linf,fid_pen_lpips,fid_pen_psnr,step,stage,stage_step,lr,grad_norm
0.06438909471035004,0.06438909471035004,0.0,targeted_output,0.09318434447050095,0.0,0.0,9.999999974752427e-07,0.0,0.5226396322250366,26.3917236328125,0.13931995630264282,0.0,0.8743516802787781,0.0,120.0,0.0,0.0,0.0,0,stage2,0,0.005,0.0009077161666937172
0.06411156058311462,0.06411156058311462,0.0,targeted_output,0.09804368019104004,0.002151238266378641,0.0,0.01827334612607956,0.0,0.5206243395805359,26.39148712158203,0.1393805742263794,8.020750829018652e-05,0.874356210231781,0.06963351368904114,59.71460723876953,0.009633515030145645,0.0,0.0,1,stage2,1,0.005,0.0008826262201182544
0.06365489959716797,0.06365489959716797,0.0,targeted_output,0.09969374537467957,0.00541632529348135,0.0,0.04844982177019119,0.0,0.5172457098960876,26.387598037719727,0.1394897997379303,0.00035453069722279906,0.8743292093276978,0.12513470649719238,52.599159240722656,0.06513470411300659,0.0,0.0,2,stage2,2,0.005,0.0012090887175872922
0.06302338093519211,0.06302338093519211,0.0,targeted_output,0.09972864389419556,0.00987318903207779,0.0,0.0940544605255127,0.0,0.5124650597572327,26.375446319580078,0.13967615365982056,0.0009173819562420249,0.8742421865463257,0.1581406593322754,47.895896911621094,0.0981406569480896,0.0,0.0,3,stage2,3,0.005,0.0016343537718057632
0.06218855828046799,0.06218855828046799,0.0,targeted_output,0.10020746290683746,0.015431615523993969,0.0,0.15718793869018555,0.0,0.5067764520645142,26.346221923828125,0.1399575024843216,0.0018976751016452909,0.8740343451499939,0.17417177557945251,44.12116241455078,0.11417177319526672,0.0,0.0,4,stage2,4,0.005,0.002057541161775589
0.06107319891452789,0.06107319891452789,0.0,targeted_output,0.10405858606100082,0.022554390132427216,0.0,0.24012239277362823,0.0,0.5006830096244812,26.285898208618164,0.14046961069107056,0.003504750784486532,0.8736044764518738,0.2893383204936981,40.81349182128906,0.22933831810951233,0.0,0.0,5,stage2,5,0.005,0.002511061495169997
0.05978037416934967,0.05978037416934967,0.0,targeted_output,0.10384683310985565,0.031523771584033966,0.0,0.3440464437007904,0.0,0.5160819292068481,26.180341720581055,0.14119243621826172,0.00588572584092617,0.8728532791137695,0.33994582295417786,38.012813568115234,0.27994582056999207,0.0,0.0,6,stage2,6,0.005,0.003012028057128191
0.0582488588988781,0.0582488588988781,0.0,targeted_output,0.1031896322965622,0.041912928223609924,0.0,0.4692302942276001,0.0,0.5625213384628296,26.01434326171875,0.14225240051746368,0.009011060930788517,0.8716968894004822,0.4120514392852783,35.649696350097656,0.35205143690109253,0.0,0.0,7,stage2,7,0.005,0.003458474762737751
0.05642605572938919,0.05642605572938919,0.0,targeted_output,0.10403065383434296,0.05481967329978943,0.0,0.6158941388130188,0.0,0.6876841187477112,25.76952362060547,0.14387081563472748,0.013270387426018715,0.870009183883667,0.485027551651001,33.53338623046875,0.4250275492668152,0.0,0.46661376953125,8,stage2,8,0.005,0.0039387294091284275
0.054381415247917175,0.054381415247917175,0.0,targeted_output,0.10635025799274445,0.06866584718227386,0.0,0.7851653099060059,0.0,0.7329421639442444,25.434051513671875,0.14608134329319,0.01855364441871643,0.8677629232406616,0.6452209949493408,31.63397216796875,0.585220992565155,0.0,2.36602783203125,9,stage2,9,0.005,0.0043011074885725975
0.05209729075431824,0.05209729075431824,0.0,targeted_output,0.10815431922674179,0.08278438448905945,0.0,0.9742721319198608,0.0,0.7196228504180908,24.99810218811035,0.14898040890693665,0.02495713345706463,0.8648625612258911,0.607265830039978,29.90869140625,0.5472658276557922,0.0,4.09130859375,10,stage2,10,0.005,0.004742566961795092
0.049592524766922,0.049592524766922,0.0,targeted_output,0.11199291795492172,0.09842662513256073,0.0,1.180701732635498,0.0,0.7131590247154236,24.453304290771484,0.15273532271385193,0.03272957727313042,0.8610420227050781,0.58297199010849,28.304222106933594,0.5229719877243042,0.0,5.695777893066406,11,stage2,11,0.005,0.005058798007667065
0.046888794749975204,0.046888794749975204,0.0,targeted_output,0.12072228640317917,0.11615853756666183,0.0,1.4052245616912842,0.0,0.7254331111907959,23.798858642578125,0.1575092375278473,0.041929103434085846,0.8559372425079346,0.5983431935310364,26.784069061279297,0.5383431911468506,0.0,7.215930938720703,12,stage2,12,0.005,0.005406597629189491
0.043976079672575,0.043976079672575,0.0,targeted_output,0.13075387477874756,0.13688218593597412,0.0,1.6492369174957275,0.0,0.7001675367355347,23.039762496948242,0.16374970972537994,0.052939414978027344,0.8491668701171875,0.641231894493103,25.325519561767578,0.5812318921089172,0.0,8.674480438232422,13,stage2,13,0.005,0.00571557367220521
0.040936388075351715,0.040936388075351715,0.0,targeted_output,0.1404913365840912,0.15973860025405884,0.0,1.9129812717437744,0.0,0.5979522466659546,22.18413543701172,0.17137658596038818,0.06588023900985718,0.8402682542800903,0.7295358180999756,23.91314697265625,0.6695358157157898,0.0,10.08685302734375,14,stage2,14,0.005,0.005986102391034365
2.3632400035858154,0.037690311670303345,2.325549602508545,targeted_output,0.15220887959003448,0.18325549364089966,0.023255497217178345,2.194129705429077,0.0,0.5992629528045654,21.2637939453125,0.18045637011528015,0.08088622987270355,0.8292242884635925,0.47883665561676025,22.566965103149414,0.41883665323257446,0.0,11.433034896850586,15,stage2,15,0.005,0.9999998211860657
0.03820205479860306,0.03820205479860306,0.0,targeted_output,0.14991703629493713,0.1568794846534729,0.0,2.1881587505340576,0.0,0.6377620697021484,21.382366180419922,0.1788819134235382,0.07865053415298462,0.8307701945304871,0.5723638534545898,22.751041412353516,0.512363851070404,0.0,11.248958587646484,16,stage2,16,0.005,0.00630474928766489
0.03865882754325867,0.03865882754325867,0.0,targeted_output,0.14647461473941803,0.1360674947500229,0.0,2.1889901161193848,0.0,0.6497042775154114,21.471044540405273,0.17800946533679962,0.07741742581129074,0.8316982984542847,0.7046446800231934,22.89329719543457,0.6446446776390076,0.0,11.10670280456543,17,stage2,17,0.005,0.006196953821927309
0.03901457414031029,0.03901457414031029,0.0,targeted_output,0.14343681931495667,0.1235765814781189,0.0,2.194385051727295,0.0,0.6907601356506348,21.5341854095459,0.17739591002464294,0.0768236517906189,0.832107424736023,0.6850782632827759,22.998037338256836,0.6250782608985901,0.0,11.001962661743164,18,stage2,18,0.005,0.006157873198390007
0.039291106164455414,0.039291106164455414,0.0,targeted_output,0.14254611730575562,0.11958290636539459,0.0,2.203416109085083,0.0,0.7159212827682495,21.575899124145508,0.17718729376792908,0.0767563134431839,0.8321201205253601,0.6209895610809326,23.070602416992188,0.5609895586967468,0.0,10.929397583007812,19,stage2,19,0.005,0.0062113250605762005
0.039557069540023804,0.039557069540023804,0.0,targeted_output,0.1426100879907608,0.12290865927934647,0.0,2.2158985137939453,0.0,0.7392456531524658,21.599227905273438,0.17720696330070496,0.07706567645072937,0.831831693649292,0.5603402256965637,23.11481475830078,0.5003402233123779,0.0,10.885185241699219,20,stage2,20,0.005,0.006463997066020966
0.0397598072886467,0.0397598072886467,0.0,targeted_output,0.1420210599899292,0.12949815392494202,0.0,2.231119155883789,0.0,0.7489891648292542,21.60703468322754,0.17742079496383667,0.0776742547750473,0.8313241004943848,0.5671795010566711,23.134445190429688,0.5071794986724854,0.0,10.865554809570312,21,stage2,21,0.005,0.006197400391101837
0.0398717038333416,0.0398717038333416,0.0,targeted_output,0.14081411063671112,0.1378111094236374,0.0,2.24904203414917,0.0,0.7578278183937073,21.60094451904297,0.17783331871032715,0.07854694128036499,0.8306421637535095,0.5642794966697693,23.132354736328125,0.5042794942855835,0.0,10.867645263671875,22,stage2,22,0.005,0.006174450274556875
0.039997439831495285,0.039997439831495285,0.0,targeted_output,0.14010606706142426,0.14726145565509796,0.0,2.2694168090820312,0.0,0.7662836909294128,21.5827579498291,0.17843694984912872,0.07966271787881851,0.8298022747039795,0.5558831095695496,23.11168670654297,0.49588310718536377,0.0,10.888313293457031,23,stage2,23,0.005,0.00618860125541687
0.040043801069259644,0.040043801069259644,0.0,targeted_output,0.1400289535522461,0.1579963117837906,0.0,2.2920889854431152,0.0,0.7734590172767639,21.553791046142578,0.17917057871818542,0.08099715411663055,0.8288283348083496,0.5524609684944153,23.07452392578125,0.4924609661102295,0.0,10.92547607421875,24,stage2,24,0.005,0.00618816027417779
1.0150731801986694,0.04003657400608063,0.97503662109375,targeted_output,0.14011472463607788,0.1697503626346588,0.0097503662109375,2.316851854324341,0.0,0.7790892124176025,21.51534652709961,0.17999404668807983,0.08248063176870346,0.8277446627616882,0.5580911636352539,23.023035049438477,0.4980911612510681,0.0,10.976964950561523,25,stage2,25,0.005,0.9999999403953552
0.040501710027456284,0.040501710027456284,0.0,targeted_output,0.13852329552173615,0.14110715687274933,0.0,2.2503762245178223,0.0,0.7789179086685181,21.72184181213379,0.17802684009075165,0.0792655274271965,0.8312205076217651,0.5579198598861694,23.309906005859375,0.49791985750198364,0.0,10.690093994140625,26,stage2,26,0.005,0.006153356749564409
0.040864672511816025,0.040864672511816025,0.0,targeted_output,0.13751137256622314,0.11850889027118683,0.0,2.1937451362609863,0.0,0.7763075828552246,21.90032958984375,0.1764841079711914,0.07673098146915436,0.8340365290641785,0.555309534072876,23.560073852539062,0.4953095316886902,0.0,10.439926147460938,27,stage2,27,0.005,0.006068790797144175
0.04117579013109207,0.04117579013109207,0.0,targeted_output,0.1359868198633194,0.1008211076259613,0.0,2.1456499099731445,0.0,0.7729799747467041,22.05406379699707,0.1752488613128662,0.07469146698713303,0.8363163471221924,0.5519819259643555,23.77679443359375,0.4919819235801697,0.0,10.22320556640625,28,stage2,28,0.005,0.006122451275587082
0.04146982356905937,0.04146982356905937,0.0,targeted_output,0.13589751720428467,0.08726530522108078,0.0,2.105339288711548,0.0,0.7697214484214783,22.18570327758789,0.17422565817832947,0.07305259257555008,0.8381654024124146,0.5487233996391296,23.96317481994629,0.48872339725494385,0.0,10.036825180053711,29,stage2,29,0.005,0.006477050017565489
0.04167623817920685,0.04167623817920685,0.0,targeted_output,0.13565461337566376,0.07831856608390808,0.0,2.0720486640930176,0.0,0.7668098211288452,22.297603607177734,0.1734468936920166,0.07178926467895508,0.8396477699279785,0.5458117723464966,24.1215877532959,0.4858117699623108,0.0,9.878412246704102,30,stage2,30,0.005,0.005994317587465048
