image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,r_max,gl_iters,block,hop,quantile,gate_edge_power,freq_weight,freq_weight_power,gain_weight,phase_channels,spectral_floor,floor_gate,theta_budget,coarsen,warp_grid,update,step_size,saturate_at,warp_init_std,disp_field_grid,dct_mode,dct_qd,dct_pairing,dct_gate,dct_plane_weight,manifold_weight,manifold_t,manifold_only,manifold_balance,defense_steps,loss,ig_zt,ig_t_min,ig_t_max,ig_samples,gain_ratio,purify_aware,eot_qualities,deliver_jpeg,stage2_steps,stage2_ops,stage2_order,stage2_step_scale,stage2_trust,stage2_check_every,stage2_ramp,dct_q_alg,dct_gamma,wm_tau,wm_mu,wm_diagonals,wm_q_embed,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,edit_clip_sim,edit_siglip_sim,blocked,siglip_blocked_threshold,total_seconds
task_attr_mod_color_11699,disp_kfull,instruct-pix2pix,turn the color of potted plant to pink,,2.38,False,0.0,0.12,inf,0,32,8,0.0,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,16,plane,0.85,transpose,texture,uniform,0.0,100,0,raw,1,encoder_target,,1,1000,1,0.0,none,95 75 50,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.25249,0.87683,23.711,0.33771,0.12676,0.2648,0.83196,21.555,0.25469,0.12087,0.60349,0.06523,0.98495,0.9669,False,0.837,58.0
task_attr_mod_color_136767,disp_kfull,instruct-pix2pix,turn the color of astronaut to pink,,2.38,False,0.0,0.12,inf,0,32,8,0.0,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,16,plane,0.85,transpose,texture,uniform,0.0,100,0,raw,1,encoder_target,,1,1000,1,0.0,none,95 75 50,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.23734,0.88425,25.172,0.35062,0.15942,0.25649,0.82086,23.249,0.27297,0.1451,0.57071,0.05513,0.9887,0.98014,False,0.837,48.3
task_attr_mod_color_184837,disp_kfull,instruct-pix2pix,turn the color of frame to pink,,2.38,False,0.0,0.12,inf,0,32,8,0.0,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,16,plane,0.85,transpose,texture,uniform,0.0,100,0,raw,1,encoder_target,,1,1000,1,0.0,none,95 75 50,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.26554,0.83395,21.949,0.30899,0.19032,0.32147,0.72537,18.686,0.21988,0.1764,0.53612,0.0799,0.97185,0.96955,False,0.837,48.2
task_attr_mod_color_32648,disp_kfull,instruct-pix2pix,turn the color of potion bottle to orange,,2.38,False,0.0,0.12,inf,0,32,8,0.0,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,16,plane,0.85,transpose,texture,uniform,0.0,100,0,raw,1,encoder_target,,1,1000,1,0.0,none,95 75 50,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.13577,0.97417,33.721,0.57874,0.0899,0.21055,0.8773,19.941,0.58002,0.18508,0.42679,0.0206,0.91288,0.93988,False,0.837,48.5
task_attr_mod_color_6205,disp_kfull,instruct-pix2pix,turn the color of toolbox to red,,2.38,False,0.0,0.12,inf,0,32,8,0.0,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,16,plane,0.85,transpose,texture,uniform,0.0,100,0,raw,1,encoder_target,,1,1000,1,0.0,none,95 75 50,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.20283,0.91684,28.364,0.44098,0.13217,0.27656,0.83091,17.461,0.38112,0.14828,0.56989,0.03818,0.97509,0.94531,False,0.837,48.4
task_env_weather_112463,disp_kfull,instruct-pix2pix,transform the setting to spring with blooming flowers,,2.38,False,0.0,0.12,inf,0,32,8,0.0,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,16,plane,0.85,transpose,texture,uniform,0.0,100,0,raw,1,encoder_target,,1,1000,1,0.0,none,95 75 50,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.16164,0.91396,28.912,0.49482,0.08422,0.26203,0.76343,21.345,0.28804,0.1231,0.56055,0.03584,0.94057,0.94032,False,0.837,48.6
task_obj_remove_380621,disp_kfull,instruct-pix2pix,Remove iceberg,,2.38,False,0.0,0.12,inf,0,32,8,0.0,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,16,plane,0.85,transpose,texture,uniform,0.0,100,0,raw,1,encoder_target,,1,1000,1,0.0,none,95 75 50,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.1966,0.91004,26.316,0.48877,0.15223,0.23167,0.8125,21.526,0.33064,0.12145,0.65137,0.04833,0.98481,0.98038,False,0.837,48.5
task_obj_swap_joint_mask_276754,disp_kfull,instruct-pix2pix,Replace the satellite dish with rocket,,2.38,False,0.0,0.12,inf,0,32,8,0.0,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,16,plane,0.85,transpose,texture,uniform,0.0,100,0,raw,1,encoder_target,,1,1000,1,0.0,none,95 75 50,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.26377,0.8297,25.357,0.29108,0.14731,0.06004,0.95312,27.671,0.36741,0.09105,0.74488,0.05397,0.97374,0.97053,False,0.837,48.8
task_obj_swap_joint_mask_533428,disp_kfull,instruct-pix2pix,Replace the samurai armor with red jacket,,2.38,False,0.0,0.12,inf,0,32,8,0.0,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,16,plane,0.85,transpose,texture,uniform,0.0,100,0,raw,1,encoder_target,,1,1000,1,0.0,none,95 75 50,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.23342,0.85087,23.409,0.33702,0.1441,0.33676,0.6675,17.033,0.21459,0.16181,0.68439,0.06754,0.94176,0.9215,False,0.837,48.8
task_obj_swap_rand_mask_417469,disp_kfull,instruct-pix2pix,Replace the green flannel shirt with blue shirt,,2.38,False,0.0,0.12,inf,0,32,8,0.0,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,16,plane,0.85,transpose,texture,uniform,0.0,100,0,raw,1,encoder_target,,1,1000,1,0.0,none,95 75 50,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.22852,0.87028,24.868,0.36961,0.11951,0.24817,0.76981,22.084,0.27702,0.12216,0.58837,0.0571,0.9734,0.93293,False,0.837,48.9
