image,condition,verdict,displacement,dists_displacement,drift,dists_drift,drift_ratio,acutance,clip_sim,siglip_sim
task_attr_mod_color_11699,add_et_e02,,0.26873,0.16884,0.45064,0.20498,1.5986,0.1548,0.92815,0.92258
task_attr_mod_color_11699,add_ln_e02,,0.35321,0.18942,0.55759,0.22367,1.978,0.1106,0.88643,0.90863
task_attr_mod_color_11699,add_ln_e04,,0.45851,0.26124,0.65197,0.28401,2.3128,0.0771,0.87975,0.8643
task_attr_mod_color_11699,base_s025,,0.35483,0.18969,0.52721,0.21293,1.8702,0.1744,0.8949,0.90691
task_attr_mod_color_11699,base_s050,,0.39206,0.21911,0.58776,0.24701,2.085,0.1067,0.88837,0.92602
task_attr_mod_color_11699,dct_s0100,,0.41813,0.24341,0.61647,0.2691,2.1869,0.0794,0.88668,0.89281
task_attr_mod_color_11699,pgx_g78,,0.35474,0.26711,0.54888,0.29463,1.9471,0.0501,0.89539,0.82968
task_attr_mod_color_11699,phase_s0100,,0.1377,0.06664,0.377,0.14741,1.3374,0.5603,0.97625,0.97736
task_attr_mod_color_11699,phase_s1000,,0.10912,0.05077,0.35572,0.1412,1.2619,0.6222,0.98474,0.98998
task_attr_mod_color_11699,q00_e10_r127,,0.17594,0.07303,0.37691,0.13619,1.3371,0.526,0.97982,0.96989
task_attr_mod_color_11699,y_e10_a,,0.37923,0.19474,0.57792,0.22888,2.0501,0.1247,0.90127,0.93489
task_attr_mod_color_11699,y_e20_a,,0.4611,0.25091,0.68217,0.28369,2.4199,0.077,0.87292,0.86581
task_attr_mod_color_11699,y_e30_a,,0.51838,0.27776,0.73636,0.31033,2.6122,0.1425,0.76114,0.80095
task_attr_mod_color_136767,add_et_e02,,0.32205,0.18857,0.50441,0.23397,2.2758,0.3039,0.95721,0.94143
task_attr_mod_color_136767,add_ln_e02,,0.42389,0.21293,0.57698,0.25171,2.6032,0.3091,0.95732,0.9308
task_attr_mod_color_136767,add_ln_e04,,0.57307,0.34223,0.72833,0.37764,3.286,0.1044,0.89879,0.84766
task_attr_mod_color_136767,base_s025,,0.42157,0.21979,0.58344,0.25175,2.6323,0.2936,0.94596,0.92939
task_attr_mod_color_136767,base_s050,,0.55361,0.32659,0.70392,0.36129,3.1759,0.178,0.8931,0.85898
task_attr_mod_color_136767,dct_s0100,,0.57552,0.32156,0.72151,0.3586,3.2553,0.2376,0.79462,0.80978
task_attr_mod_color_136767,pgx_g78,,0.48173,0.34389,0.65194,0.37222,2.9414,0.1637,0.87144,0.8857
task_attr_mod_color_136767,phase_s0100,,0.20858,0.1321,0.38048,0.18182,1.7166,0.5349,0.99031,0.98857
task_attr_mod_color_136767,phase_s1000,,0.1801,0.11358,0.3584,0.17412,1.617,0.5686,0.98803,0.98726
task_attr_mod_color_136767,q00_e10_r127,,0.23575,0.14848,0.40346,0.19853,1.8203,0.4519,0.98619,0.9798
task_attr_mod_color_136767,y_e10_a,,0.58398,0.36337,0.73585,0.39982,3.3199,0.413,0.80004,0.80596
task_attr_mod_color_136767,y_e20_a,,0.63042,0.42766,0.78342,0.45377,3.5346,0.3937,0.80154,0.82506
task_attr_mod_color_136767,y_e30_a,,0.6317,0.41626,0.78256,0.44499,3.5307,0.2549,0.77092,0.8387
task_attr_mod_color_184837,add_et_e02,,0.24076,0.18874,0.51475,0.27433,1.5354,0.2877,0.96741,0.95497
task_attr_mod_color_184837,add_ln_e02,,0.35006,0.20655,0.59937,0.2808,1.7878,0.2758,0.97096,0.93573
task_attr_mod_color_184837,add_ln_e04,,0.52177,0.31768,0.72828,0.35695,2.1723,0.1021,0.92094,0.86647
