image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,r_max,gl_iters,block,hop,quantile,gate_edge_power,freq_weight,freq_weight_power,gain_weight,phase_channels,spectral_floor,floor_gate,theta_budget,coarsen,warp_grid,dct_qd,dct_pairing,dct_gate,defense_steps,loss,gain_ratio,purify_aware,deliver_jpeg,deliver_retention,deliver_cosine,deliver_retention_base,deliver_rms_raw,deliver_rms_out,dct_q_alg,dct_gamma,wm_tau,wm_mu,wm_diagonals,wm_q_embed,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,edit_clip_sim,edit_siglip_sim,blocked,siglip_blocked_threshold,total_seconds
task_attr_mod_color_11699,phase,instruct-pix2pix,turn the color of potted plant to pink,,0.9,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,1,16,0.85,transpose,texture,1000,latent_norm,0.0,none,0.45,0.39816,0.42756,0.37901,0.043822,0.040809,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.34664,0.89997,27.785,0.36272,0.12096,0.33501,0.81468,22.28,0.24876,0.13958,0.38334,0.04081,0.90418,0.9309,False,0.837,407.7
task_attr_mod_color_136767,phase,instruct-pix2pix,turn the color of astronaut to pink,,0.9,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,1,16,0.85,transpose,texture,1000,latent_norm,0.0,none,0.45,0.34832,0.41779,0.33518,0.043358,0.036149,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.29894,0.89068,28.838,0.38965,0.10077,0.31177,0.72465,23.305,0.26954,0.1748,0.39085,0.03615,0.97335,0.94461,False,0.837,393.9
task_attr_mod_color_184837,phase,instruct-pix2pix,turn the color of frame to pink,,0.9,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,1,16,0.85,transpose,texture,1000,latent_norm,0.0,none,0.45,0.49493,0.51653,0.47382,0.053432,0.051198,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.2863,0.93353,25.815,0.40216,0.082,0.32997,0.74651,20.103,0.2491,0.17597,0.34078,0.0512,0.97654,0.94966,False,0.837,394.3
task_attr_mod_color_32648,phase,instruct-pix2pix,turn the color of potion bottle to orange,,0.9,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,1,16,0.85,transpose,texture,1000,latent_norm,0.0,none,0.45,0.2342,0.36589,0.22522,0.036288,0.023227,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.445,0.87079,32.68,0.18064,0.17616,0.36583,0.75772,17.547,0.35166,0.20399,0.22935,0.02323,0.93064,0.9393,False,0.837,394.2
task_attr_mod_color_6205,phase,instruct-pix2pix,turn the color of toolbox to red,,0.9,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,1,16,0.85,transpose,texture,1000,latent_norm,0.0,none,0.45,0.3092,0.37369,0.286,0.04043,0.033453,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.35038,0.8939,29.511,0.3915,0.14063,0.40333,0.74071,15.354,0.33656,0.19273,0.44439,0.03345,0.92457,0.91084,False,0.837,394.5
task_env_weather_112463,phase,instruct-pix2pix,transform the setting to spring with blooming flowers,,0.9,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,1,16,0.85,transpose,texture,1000,latent_norm,0.0,none,0.45,0.28014,0.38727,0.25962,0.04051,0.029303,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.36198,0.91872,30.662,0.43968,0.08049,0.31298,0.73465,21.306,0.29781,0.12165,0.34596,0.0293,0.8919,0.93141,False,0.837,398.1
task_obj_remove_380621,phase,instruct-pix2pix,Remove iceberg,,0.9,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,1,16,0.85,transpose,texture,1000,latent_norm,0.0,none,0.45,0.37848,0.41844,0.35233,0.045995,0.041603,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.35206,0.9122,27.617,0.385,0.12615,0.37529,0.69361,19.038,0.24078,0.18988,0.47687,0.0416,0.94445,0.9318,False,0.837,398.0
task_obj_swap_joint_mask_276754,phase,instruct-pix2pix,Replace the satellite dish with rocket,,0.9,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,1,16,0.85,transpose,texture,1000,latent_norm,0.0,none,0.45,0.45548,0.4419,0.3726,0.051523,0.053106,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.37159,0.86462,25.497,0.27725,0.10134,0.41983,0.72731,16.729,0.06044,0.23835,0.35722,0.05311,0.91493,0.9489,False,0.837,398.0
task_obj_swap_joint_mask_533428,phase,instruct-pix2pix,Replace the samurai armor with red jacket,,0.9,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,1,16,0.85,transpose,texture,1000,latent_norm,0.0,none,0.45,0.38773,0.43816,0.36898,0.050859,0.045006,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.29575,0.9194,26.934,0.39316,0.08632,0.46367,0.51775,15.654,0.14252,0.19886,0.39937,0.04501,0.94033,0.89781,False,0.837,398.0
task_obj_swap_rand_mask_417469,phase,instruct-pix2pix,Replace the green flannel shirt with blue shirt,,0.9,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,1,16,0.85,transpose,texture,1000,latent_norm,0.0,none,0.45,0.39353,0.42697,0.36478,0.045331,0.04178,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.30191,0.87611,27.581,0.36392,0.09705,0.35365,0.70106,20.645,0.23981,0.17047,0.43517,0.04178,0.92685,0.91777,False,0.837,394.6
