image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,r_max,gl_iters,block,hop,quantile,gate_edge_power,freq_weight,freq_weight_power,gain_weight,phase_channels,spectral_floor,floor_gate,theta_budget,defense_steps,loss,gain_ratio,purify_aware,dct_q_alg,dct_gamma,wm_tau,wm_mu,wm_diagonals,wm_q_embed,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,edit_clip_sim,edit_siglip_sim,blocked,siglip_blocked_threshold,total_seconds
task_attr_mod_color_11699,floor_only,instruct-pix2pix,turn the color of potted plant to pink,,2.0,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.2,uniform,0.0,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.64777,0.8283,19.448,0.17878,0.16494,0.63137,0.44232,9.644,0.11385,0.36783,0.79598,0.10656,0.74859,0.71122,True,0.837,420.0
task_attr_mod_color_136767,floor_only,instruct-pix2pix,turn the color of astronaut to pink,,2.0,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.2,uniform,0.0,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.6092,0.73743,20.113,0.19926,0.20367,0.63076,0.24685,6.758,0.028,0.45092,0.80265,0.09871,0.78672,0.83506,True,0.837,378.0
task_attr_mod_color_184837,floor_only,instruct-pix2pix,turn the color of frame to pink,,2.0,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.2,uniform,0.0,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.59867,0.89188,18.709,0.25412,0.1485,0.78177,0.13619,6.226,0.03223,0.6685,0.73085,0.11602,0.70049,0.64043,True,0.837,379.6
task_attr_mod_color_32648,floor_only,instruct-pix2pix,turn the color of potion bottle to orange,,2.0,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.2,uniform,0.0,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.65288,0.69001,23.734,0.07498,0.2796,0.60954,0.41357,10.559,0.07397,0.39066,0.87738,0.06506,0.79404,0.72858,True,0.837,379.4
task_attr_mod_color_6205,floor_only,instruct-pix2pix,turn the color of toolbox to red,,2.0,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.2,uniform,0.0,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.65521,0.82274,20.914,0.18507,0.1902,0.7475,0.18861,6.503,0.30757,0.78,0.759,0.09001,0.54613,0.4793,True,0.837,379.0
task_env_weather_112463,floor_only,instruct-pix2pix,transform the setting to spring with blooming flowers,,2.0,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.2,uniform,0.0,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.69799,0.8377,20.127,0.20236,0.14184,0.89041,0.27783,10.458,0.1523,0.38986,0.73828,0.09855,0.55213,0.57832,True,0.837,379.8
task_env_weather_246440,floor_only,instruct-pix2pix,transform the setting to autumn with falling leaves,,2.0,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.2,uniform,0.0,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.4971,0.88958,19.298,0.26632,0.10669,0.64171,0.2418,13.953,0.12207,0.36461,0.82471,0.10841,0.89842,0.8809,False,0.837,379.9
task_env_weather_63722,floor_only,instruct-pix2pix,change the setting to a snowy landscape,,2.0,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.2,uniform,0.0,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.62307,0.85346,20.525,0.21656,0.13365,0.69103,0.32104,12.145,0.03013,0.47799,0.79312,0.09413,0.61084,0.61219,True,0.837,379.7
task_obj_add_40931,floor_only,instruct-pix2pix,Add the blood on snout,,2.0,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.2,uniform,0.0,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.58963,0.84693,20.291,0.25519,0.16966,0.73163,0.16827,10.348,0.05215,0.40451,0.6902,0.0967,0.4632,0.55749,True,0.837,379.8
task_obj_remove_380621,floor_only,instruct-pix2pix,Remove iceberg,,2.0,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.2,uniform,0.0,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.63783,0.85331,21.082,0.21263,0.18858,0.74138,0.22957,7.953,0.03899,0.3895,0.79608,0.08829,0.73661,0.7167,True,0.837,379.6
task_obj_swap_joint_mask_276754,floor_only,instruct-pix2pix,Replace the satellite dish with rocket,,2.0,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.2,uniform,0.0,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.53864,0.76696,20.401,0.18167,0.15836,0.68625,0.47191,11.454,0.012,0.42773,0.74888,0.09549,0.81934,0.85495,False,0.837,378.7
task_obj_swap_joint_mask_533428,floor_only,instruct-pix2pix,Replace the samurai armor with red jacket,,2.0,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.2,uniform,0.0,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.58255,0.87234,19.681,0.23843,0.14679,0.63943,0.24597,9.322,0.05714,0.28053,0.78431,0.10374,0.66594,0.6016,True,0.837,378.5
task_obj_swap_rand_mask_417469,floor_only,instruct-pix2pix,Replace the green flannel shirt with blue shirt,,2.0,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.2,uniform,0.0,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.60416,0.79964,20.906,0.20002,0.15175,0.7598,0.18819,8.938,0.05427,0.40173,0.85501,0.0901,0.38809,0.5132,True,0.837,378.9
