image,condition,purifier,clip,siglip,clip_orig_image,siglip_orig_image
person_c_00,add,adverse_cleaner,0.34661,0.14474,0.07928,-0.16854
person_c_00,add,blur1,0.32973,0.08444,0.07928,-0.16854
person_c_00,add,crop_resize0.1,0.31731,0.07441,0.07928,-0.16854
person_c_00,add,identity,0.37206,0.17474,0.07928,-0.16854
person_c_00,add,jpeg30,0.32271,0.06799,0.07928,-0.16854
person_c_00,add,jpeg75,0.30746,0.04541,0.07928,-0.16854
person_c_00,add,jpeg_then_resize75,0.31701,0.07739,0.07928,-0.16854
person_c_00,add,noise0.05,0.33659,0.08331,0.07928,-0.16854
person_c_00,add,quantize16,0.38818,0.18832,0.07928,-0.16854
person_c_00,apa_weak,adverse_cleaner,0.33738,0.1198,0.07928,-0.16854
person_c_00,apa_weak,blur1,0.37925,0.13567,0.07928,-0.16854
person_c_00,apa_weak,crop_resize0.1,0.32472,0.10216,0.07928,-0.16854
person_c_00,apa_weak,identity,0.33264,0.1406,0.07928,-0.16854
person_c_00,apa_weak,jpeg30,0.34327,0.13622,0.07928,-0.16854
person_c_00,apa_weak,jpeg75,0.32491,0.11189,0.07928,-0.16854
person_c_00,apa_weak,jpeg_then_resize75,0.37575,0.15013,0.07928,-0.16854
person_c_00,apa_weak,noise0.05,0.37446,0.16437,0.07928,-0.16854
person_c_00,apa_weak,quantize16,0.36631,0.17631,0.07928,-0.16854
person_c_00,dia_r,adverse_cleaner,0.39335,0.16415,0.07928,-0.16854
person_c_00,dia_r,blur1,0.32181,0.08402,0.07928,-0.16854
person_c_00,dia_r,crop_resize0.1,0.41519,0.16476,0.07928,-0.16854
person_c_00,dia_r,identity,0.3889,0.17095,0.07928,-0.16854
person_c_00,dia_r,jpeg30,0.33015,0.05957,0.07928,-0.16854
person_c_00,dia_r,jpeg75,0.32749,0.12164,0.07928,-0.16854
person_c_00,dia_r,jpeg_then_resize75,0.32765,0.07817,0.07928,-0.16854
person_c_00,dia_r,noise0.05,0.33374,0.07938,0.07928,-0.16854
person_c_00,dia_r,quantize16,0.39023,0.16941,0.07928,-0.16854
person_c_00,mist,adverse_cleaner,0.38869,0.17104,0.07928,-0.16854
person_c_00,mist,blur1,0.39046,0.17945,0.07928,-0.16854
person_c_00,mist,crop_resize0.1,0.40429,0.18208,0.07928,-0.16854
person_c_00,mist,identity,0.39161,0.1652,0.07928,-0.16854
person_c_00,mist,jpeg30,0.39013,0.18108,0.07928,-0.16854
person_c_00,mist,jpeg75,0.38371,0.17414,0.07928,-0.16854
person_c_00,mist,jpeg_then_resize75,0.35009,0.16819,0.07928,-0.16854
person_c_00,mist,noise0.05,0.3157,0.0774,0.07928,-0.16854
person_c_00,mist,quantize16,0.39123,0.17421,0.07928,-0.16854
person_c_00,phase,adverse_cleaner,0.39298,0.15209,0.07928,-0.16854
person_c_00,phase,blur1,0.32036,0.08122,0.07928,-0.16854
person_c_00,phase,crop_resize0.1,0.32361,0.07494,0.07928,-0.16854
person_c_00,phase,identity,0.3691,0.14638,0.07928,-0.16854
person_c_00,phase,jpeg30,0.31566,0.08041,0.07928,-0.16854
person_c_00,phase,jpeg75,0.32495,0.12333,0.07928,-0.16854
person_c_00,phase,jpeg_then_resize75,0.31978,0.08465,0.07928,-0.16854
person_c_00,phase,noise0.05,0.3217,0.07328,0.07928,-0.16854
person_c_00,phase,quantize16,0.37655,0.17917,0.07928,-0.16854
person_c_00,phase_rand,adverse_cleaner,0.30348,0.04735,0.07928,-0.16854
person_c_00,phase_rand,blur1,0.31331,0.09336,0.07928,-0.16854
person_c_00,phase_rand,crop_resize0.1,0.36061,0.12608,0.07928,-0.16854
person_c_00,phase_rand,identity,0.30569,0.0661,0.07928,-0.16854
person_c_00,phase_rand,jpeg30,0.32632,0.0637,0.07928,-0.16854
person_c_00,phase_rand,jpeg75,0.32299,0.05309,0.07928,-0.16854
person_c_00,phase_rand,jpeg_then_resize75,0.31983,0.07188,0.07928,-0.16854
person_c_00,phase_rand,noise0.05,0.32725,0.07106,0.07928,-0.16854
person_c_00,phase_rand,quantize16,0.37385,0.14121,0.07928,-0.16854
person_c_00,photoguard_c,adverse_cleaner,0.38824,0.17408,0.07928,-0.16854
person_c_00,photoguard_c,blur1,0.31649,0.09232,0.07928,-0.16854
person_c_00,photoguard_c,crop_resize0.1,0.33211,0.09574,0.07928,-0.16854
person_c_00,photoguard_c,identity,0.3979,0.1918,0.07928,-0.16854
person_c_00,photoguard_c,jpeg30,0.31751,0.07959,0.07928,-0.16854
person_c_00,photoguard_c,jpeg75,0.39048,0.1656,0.07928,-0.16854
person_c_00,photoguard_c,jpeg_then_resize75,0.33628,0.08852,0.07928,-0.16854
person_c_00,photoguard_c,noise0.05,0.32915,0.07497,0.07928,-0.16854
person_c_00,photoguard_c,quantize16,0.37823,0.18312,0.07928,-0.16854
