image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,r_max,gl_iters,block,loss,gain_ratio,purify_aware,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,total_seconds
task_attr_mod_color_11699,phase,instruct-pix2pix,turn the color of potted plant to pink,,0.9,False,0.0,0.12,0.4,0,32,encoder_target,0.0,none,100,7.5,1.5,20260812,False,0.03517,0.98445,32.688,0.68681,0.02322,0.06227,0.95443,26.292,0.54158,0.03028,0.28119,0.02321,122.5
task_attr_mod_color_184837,phase,instruct-pix2pix,turn the color of frame to pink,,0.9,False,0.0,0.12,0.4,0,32,encoder_target,0.0,none,100,7.5,1.5,20260812,False,0.04676,0.96297,28.001,0.55988,0.03822,0.10025,0.88667,23.023,0.42008,0.05765,0.38217,0.03981,80.1
task_attr_mod_color_6205,phase,instruct-pix2pix,turn the color of toolbox to red,,0.9,False,0.0,0.12,0.4,0,32,encoder_target,0.0,none,100,7.5,1.5,20260812,False,0.03739,0.98282,35.704,0.73485,0.03911,0.05611,0.9619,30.952,0.63178,0.03369,0.25133,0.0164,67.3
task_env_weather_133752,phase,instruct-pix2pix,transform the setting to a rainy day,,0.9,False,0.0,0.12,0.4,0,32,encoder_target,0.0,none,100,7.5,1.5,20260812,False,0.02819,0.98423,35.823,0.73244,0.01727,0.07787,0.95138,30.128,0.5155,0.02595,0.23191,0.01618,75.0
task_env_weather_246440,phase,instruct-pix2pix,transform the setting to autumn with falling leaves,,0.9,False,0.0,0.12,0.4,0,32,encoder_target,0.0,none,100,7.5,1.5,20260812,False,0.05299,0.95945,26.52,0.55969,0.03837,0.21411,0.77918,20.558,0.28938,0.09913,0.4873,0.0472,74.7
task_obj_add_13726,phase,instruct-pix2pix,Add subscribe button,,0.9,False,0.0,0.12,0.4,0,32,encoder_target,0.0,none,100,7.5,1.5,20260812,False,0.04894,0.97151,31.88,0.60657,0.04037,0.12707,0.8694,23.965,0.33162,0.05835,0.30233,0.02547,60.8
task_obj_add_40931,phase,instruct-pix2pix,Add the blood on snout,,0.9,False,0.0,0.12,0.4,0,32,encoder_target,0.0,none,100,7.5,1.5,20260812,False,0.10866,0.95761,30.187,0.58574,0.0433,0.18089,0.85843,23.363,0.37351,0.06625,0.34451,0.03095,52.5
task_obj_add_692065,phase,instruct-pix2pix,Add monk,,0.9,False,0.0,0.12,0.4,0,32,encoder_target,0.0,none,100,7.5,1.5,20260812,False,0.04535,0.97619,31.089,0.70527,0.03054,0.08516,0.9302,25.546,0.54983,0.03392,0.35859,0.0279,38.4
task_obj_remove_257910,phase,instruct-pix2pix,Remove bracelet,,0.9,False,0.0,0.12,0.4,0,32,encoder_target,0.0,none,100,7.5,1.5,20260812,False,0.03837,0.98592,37.994,0.78181,0.02604,0.07792,0.95815,31.716,0.54756,0.03404,0.20394,0.0126,38.4
task_obj_remove_509477,phase,instruct-pix2pix,Remove the man with glasses,,0.9,False,0.0,0.12,0.4,0,32,encoder_target,0.0,none,100,7.5,1.5,20260812,False,0.05174,0.96497,30.506,0.60468,0.03513,0.1105,0.89059,24.356,0.41505,0.04054,0.34176,0.02983,38.3
task_obj_swap_joint_mask_276754,phase,instruct-pix2pix,Replace the satellite dish with rocket,,0.9,False,0.0,0.12,0.4,0,32,encoder_target,0.0,none,100,7.5,1.5,20260812,False,0.1092,0.94953,32.354,0.52676,0.05566,0.14091,0.89035,22.904,0.30843,0.14452,0.27793,0.02411,38.2
task_obj_swap_joint_mask_75733,phase,instruct-pix2pix,Replace the snowy landscape with sea,,0.9,False,0.0,0.12,0.4,0,32,encoder_target,0.0,none,100,7.5,1.5,20260812,False,0.07492,0.97595,36.753,0.66402,0.04109,0.14016,0.89603,25.086,0.39914,0.11218,0.20424,0.01453,38.2
task_obj_swap_rand_mask_417469,phase,instruct-pix2pix,Replace the green flannel shirt with blue shirt,,0.9,False,0.0,0.12,0.4,0,32,encoder_target,0.0,none,100,7.5,1.5,20260812,False,0.05567,0.97474,34.079,0.66317,0.02458,0.09475,0.9115,25.826,0.46738,0.04183,0.27923,0.01977,38.2
