loss,L_def,L_fid,defense_mode,edit_shift,shared_mass,fid_acut,fid_pen_acut,fid_chroma,fid_pen_chroma,fid_linf_total,fid_psnr_total,fid_lpips,fid_lpips_rel,fid_ssim,fid_linf,fid_psnr,fid_pen_linf,fid_pen_lpips,fid_pen_psnr,step,stage,stage_step,lr,grad_norm
0.06788737326860428,0.06788737326860428,0.0,targeted_attn,nan,0.9321126341819763,1.2584744126797887e-06,0.0,3.856647708744276e-06,0.0,1.806020736694336e-05,120.0,9.816990276245718e-11,9.816990276245718e-11,1.0,1.806020736694336e-05,120.0,0.0,0.0,0.0,0,default,0,0.1,0.0023057570215314627
0.0674649029970169,0.0674649029970169,0.0,targeted_attn,nan,0.9325351119041443,0.003102424554526806,0.0,0.02301766723394394,0.0,0.06820088624954224,44.663997650146484,0.00316961039789021,0.00316961039789021,0.9980716109275818,0.06820088624954224,44.663997650146484,0.008200887590646744,0.0,0.0,1,default,1,0.1,0.0008184064645320177
0.06694534420967102,0.06694534420967102,0.0,targeted_attn,nan,0.9330546855926514,0.0065989308059215546,0.0,0.037099774926900864,0.0,0.11154612898826599,40.01259231567383,0.00955173745751381,0.00955173745751381,0.9946700930595398,0.11154612898826599,40.01259231567383,0.0515461303293705,0.0,0.0,2,default,2,0.1,0.0004961971426382661
0.06646916270256042,0.06646916270256042,0.0,targeted_attn,nan,0.9335308074951172,0.010265326127409935,0.0,0.04864223673939705,0.0,0.150964617729187,37.30492401123047,0.0185385812073946,0.0185385812073946,0.9904980063438416,0.150964617729187,37.30492401123047,0.09096461534500122,0.0,0.0,3,default,3,0.1,0.0004459450428839773
0.06591708958148956,0.06591708958148956,0.0,targeted_attn,nan,0.9340829253196716,0.013577280566096306,0.0,0.05826672911643982,0.0,0.20972836017608643,35.35369873046875,0.02958149090409279,0.02958149090409279,0.9857500791549683,0.20972836017608643,35.35369873046875,0.14972835779190063,0.0,0.0,4,default,4,0.1,0.00037848157808184624
0.06552287936210632,0.06552287936210632,0.0,targeted_attn,nan,0.9344770908355713,0.016343407332897186,0.0,0.06625921279191971,0.0,0.2884616255760193,33.87322998046875,0.040993474423885345,0.040993474423885345,0.9806884527206421,0.2884616255760193,33.87322998046875,0.2284616231918335,0.0,0.12677001953125,5,default,5,0.1,0.000460966577520594
0.06525874137878418,0.06525874137878418,0.0,targeted_attn,nan,0.9347412586212158,0.01860174536705017,0.0,0.07354170083999634,0.0,0.37218397855758667,32.670650482177734,0.051170527935028076,0.051170527935028076,0.97530198097229,0.37218397855758667,32.670650482177734,0.3121839761734009,0.0,1.3293495178222656,6,default,6,0.1,0.00035576868685893714
0.0650143176317215,0.0650143176317215,0.0,targeted_attn,nan,0.9349856972694397,0.020283684134483337,0.0,0.080588698387146,0.0,0.45114952325820923,31.676082611083984,0.05938906967639923,0.05938906967639923,0.969692587852478,0.45114952325820923,31.676082611083984,0.39114952087402344,0.0,2.3239173889160156,7,default,7,0.1,0.00060813850723207
0.06490113586187363,0.06490113586187363,0.0,targeted_attn,nan,0.9350988864898682,0.021515149623155594,0.0,0.08699241280555725,0.0,0.5192839503288269,30.869901657104492,0.0657564029097557,0.0657564029097557,0.9641854166984558,0.5192839503288269,30.869901657104492,0.4592839479446411,0.0,3.130098342895508,8,default,8,0.1,0.00032522817491553724
0.06470827758312225,0.06470827758312225,0.0,targeted_attn,nan,0.9352917075157166,0.02246425300836563,0.0,0.09323640167713165,0.0,0.5774054527282715,30.204984664916992,0.07100670784711838,0.07100670784711838,0.9588135480880737,0.5774054527282715,30.204984664916992,0.5174054503440857,0.0,3.795015335083008,9,default,9,0.1,0.0004867075476795435
0.06457927823066711,0.06457927823066711,0.0,targeted_attn,nan,0.9354207515716553,0.023158738389611244,0.0,0.09918978065252304,0.0,0.6215137839317322,29.653013229370117,0.07553253322839737,0.07553253322839737,0.9536128044128418,0.6215137839317322,29.653013229370117,0.5615137815475464,0.0,4.346986770629883,10,default,10,0.1,0.0005216972203925252
