image,condition,prompt_index,prompt,block,r_min,quantile,target_image,loss,random_start,budget_target,budget_mode,budget_reached,unreachable,radius,total_seconds,fid_lpips,fid_ssim,fid_dists,fid_psnr,fid_clip_img,fid_nima,fid_cnniqa,edit_lpips,edit_clip_orig,edit_clip_def,edit_clip_drop,edit_siglip_orig,edit_siglip_def,edit_siglip_drop,amp_dev,active_fraction
person_a_00,add,0,Barack Obama,32,0.12,0.5,data/targets/gray.png,attn,False,human,human,0.01166,False,0.00471,71.6,0.135,0.9969,0.0117,47.8618,0.9968,5.3021,0.6398,0.3329,0.2651,0.2847,-0.0196,0.1061,0.116,-0.0099,,
person_a_00,phase,0,Barack Obama,32,0.12,0.5,data/targets/gray.png,attn,False,human,human,0.04172,False,1.3,54.5,0.1344,0.9697,0.0417,32.7417,0.997,5.0609,0.5968,0.3543,0.2651,0.2838,-0.0187,0.1061,0.1148,-0.0086,0.01866,0.3846
person_a_00,phase_rand,0,Barack Obama,32,0.12,0.5,data/targets/gray.png,attn,False,human,human,0.04821,False,1.3,12.4,0.0666,0.9755,0.0482,34.2234,0.9964,4.9944,0.5889,0.1615,0.2651,0.2622,0.0028,0.1061,0.1056,0.0006,0.01558,0.3846
person_b_00,add,0,Morgan Freeman,32,0.12,0.5,data/targets/gray.png,attn,False,human,human,0.01176,False,0.00471,69.2,0.1169,0.9967,0.0118,47.6578,0.9958,4.7048,0.6549,0.2949,0.3042,0.3083,-0.0041,0.1069,0.1045,0.0024,,
person_b_00,phase,0,Morgan Freeman,32,0.12,0.5,data/targets/gray.png,attn,False,human,human,0.03753,False,1.3,47.4,0.1926,0.9602,0.0375,34.9785,0.9969,4.5584,0.62,0.321,0.3042,0.3088,-0.0046,0.1069,0.1154,-0.0085,0.01423,0.4646
person_b_00,phase_rand,0,Morgan Freeman,32,0.12,0.5,data/targets/gray.png,attn,False,human,human,0.03125,False,1.3,10.8,0.0678,0.9741,0.0313,37.0088,0.9989,4.5748,0.6079,0.257,0.3042,0.3122,-0.008,0.1069,0.1014,0.0054,0.01272,0.4646
person_c_00,add,0,Taylor Swift,32,0.12,0.5,data/targets/gray.png,attn,False,human,human,0.00948,False,0.00471,65.5,0.0688,0.9976,0.0095,47.3469,0.9981,4.9467,0.6517,0.1357,0.2826,0.2792,0.0035,0.0977,0.1012,-0.0035,,
person_c_00,phase,0,Taylor Swift,32,0.12,0.5,data/targets/gray.png,attn,False,human,human,0.07079,False,1.3,46.9,0.2149,0.9232,0.0708,31.1882,0.9887,4.7677,0.6383,0.1696,0.2826,0.2748,0.0078,0.0977,0.1004,-0.0028,0.04909,0.563
person_c_00,phase_rand,0,Taylor Swift,32,0.12,0.5,data/targets/gray.png,attn,False,human,human,0.04275,False,1.3,10.7,0.106,0.9478,0.0428,32.936,0.9967,4.782,0.6602,0.0677,0.2826,0.283,-0.0004,0.0977,0.098,-0.0004,0.0427,0.563
cat_00,add,0,a cat wearing a red party hat,32,0.12,0.5,data/targets/gray.png,attn,False,human,human,0.00886,False,0.00471,69.5,0.1059,0.9986,0.0089,51.19,0.9979,5.5369,0.7054,0.209,0.3509,0.334,0.0169,0.1549,0.1536,0.0013,,
cat_00,phase,0,a cat wearing a red party hat,32,0.12,0.5,data/targets/gray.png,attn,False,human,human,0.05885,False,1.3,47.2,0.1121,0.9688,0.0588,34.1391,0.9954,5.389,0.6612,0.1358,0.3509,0.3607,-0.0098,0.1549,0.1497,0.0053,0.00907,0.2933
cat_00,phase_rand,0,a cat wearing a red party hat,32,0.12,0.5,data/targets/gray.png,attn,False,human,human,0.05773,False,1.3,10.6,0.0423,0.9775,0.0577,35.5952,0.9943,5.2554,0.6195,0.0612,0.3509,0.359,-0.0081,0.1549,0.1544,0.0005,0.0087,0.2933
shiba_00,add,0,a cat,32,0.12,0.5,data/targets/gray.png,attn,False,human,human,0.00562,False,0.00471,70.4,0.114,0.9968,0.0056,47.5733,0.9972,5.6757,0.7072,0.489,0.2619,0.2543,0.0075,0.0881,0.0904,-0.0023,,
shiba_00,phase,0,a cat,32,0.12,0.5,data/targets/gray.png,attn,False,human,human,0.0259,False,1.3,48.4,0.1242,0.9655,0.0259,32.1076,0.9989,5.4781,0.6914,0.4494,0.2619,0.2536,0.0083,0.0881,0.0878,0.0002,0.01967,0.4645
shiba_00,phase_rand,0,a cat,32,0.12,0.5,data/targets/gray.png,attn,False,human,human,0.04078,False,1.3,11.0,0.0584,0.9639,0.0408,32.182,0.9979,5.3538,0.673,0.2878,0.2619,0.2674,-0.0055,0.0881,0.0884,-0.0003,0.02207,0.4645
raccoon_00,add,0,a panda,32,0.12,0.5,data/targets/gray.png,attn,False,human,human,0.01205,False,0.00471,67.6,0.1212,0.9971,0.0121,47.7121,0.9945,6.0516,0.7062,0.5717,0.3069,0.2916,0.0153,0.1213,0.1159,0.0055,,
raccoon_00,phase,0,a panda,32,0.12,0.5,data/targets/gray.png,attn,False,human,human,0.04874,False,1.3,48.4,0.1765,0.9394,0.0487,27.9527,0.9972,5.9034,0.7094,0.622,0.3069,0.2981,0.0088,0.1213,0.1193,0.002,0.03646,0.4693
raccoon_00,phase_rand,0,a panda,32,0.12,0.5,data/targets/gray.png,attn,False,human,human,0.03669,False,1.3,10.9,0.0596,0.9562,0.0367,29.5942,0.9984,5.8968,0.7077,0.0615,0.3069,0.3082,-0.0013,0.1213,0.1206,0.0007,0.03589,0.4693
parrot_00,add,0,a parrot perched on a branch in a rainforest,32,0.12,0.5,data/targets/gray.png,attn,False,human,human,0.01669,False,0.00471,68.7,0.175,0.9956,0.0167,48.7164,0.9728,5.6319,0.7002,0.2828,0.2992,0.2965,0.0027,0.1067,0.0883,0.0185,,
