condition,purifier,n_images,effect,floor,net_gain,net_gain_sd,wins_over_floor
dct_e14|dct_shield,adverse_cleaner,6,0.44901,0.14985,0.29916,0.03276,6
dct_e14|dct_shield,blur1,6,0.33852,0.19884,0.13968,0.03584,6
dct_e14|dct_shield,crop_resize0.1,6,0.63968,0.54545,0.09424,0.06294,6
dct_e14|dct_shield,identity,6,0.68404,0.0,0.68404,0.11032,6
dct_e14|dct_shield,jpeg30,6,0.26345,0.24367,0.01978,0.01967,6
dct_e14|dct_shield,jpeg75,6,0.20926,0.11568,0.09358,0.02926,6
dct_e14|dct_shield,jpeg_then_resize75,6,0.21839,0.19154,0.02684,0.01824,6
dct_e18|dct_shield,adverse_cleaner,6,0.50907,0.14985,0.35922,0.03366,6
dct_e18|dct_shield,blur1,6,0.36112,0.19884,0.16228,0.03496,6
dct_e18|dct_shield,crop_resize0.1,6,0.65068,0.54545,0.10523,0.06779,6
dct_e18|dct_shield,identity,6,0.69618,0.0,0.69618,0.09187,6
dct_e18|dct_shield,jpeg30,6,0.27691,0.24367,0.03325,0.0242,6
dct_e18|dct_shield,jpeg75,6,0.29784,0.11568,0.18216,0.03271,6
dct_e18|dct_shield,jpeg_then_resize75,6,0.24044,0.19154,0.0489,0.02471,6
dct_y_e14|dct_shield_y,adverse_cleaner,6,0.41204,0.14985,0.26219,0.03936,6
dct_y_e14|dct_shield_y,blur1,6,0.22366,0.19884,0.02482,0.02204,5
dct_y_e14|dct_shield_y,crop_resize0.1,6,0.60126,0.54545,0.05581,0.04118,6
dct_y_e14|dct_shield_y,identity,6,0.53805,0.0,0.53805,0.12337,6
dct_y_e14|dct_shield_y,jpeg30,6,0.26206,0.24367,0.0184,0.01565,6
dct_y_e14|dct_shield_y,jpeg75,6,0.18924,0.11568,0.07356,0.02609,6
dct_y_e14|dct_shield_y,jpeg_then_resize75,6,0.20785,0.19154,0.01631,0.01524,6
ours_add|phase_gain,adverse_cleaner,6,0.53688,0.14985,0.38703,0.07068,6
ours_add|phase_gain,blur1,6,0.32839,0.19884,0.12955,0.02827,6
ours_add|phase_gain,crop_resize0.1,6,0.63017,0.54545,0.08472,0.0459,6
ours_add|phase_gain,identity,6,0.68285,0.0,0.68285,0.0829,6
ours_add|phase_gain,jpeg30,6,0.39472,0.24367,0.15105,0.04663,6
ours_add|phase_gain,jpeg75,6,0.46998,0.11568,0.3543,0.05697,6
ours_add|phase_gain,jpeg_then_resize75,6,0.3225,0.19154,0.13095,0.03633,6
ours_nonadd|phase_gain,adverse_cleaner,5,0.45816,0.14023,0.31794,0.11453,5
ours_nonadd|phase_gain,blur1,5,0.33714,0.20189,0.13525,0.02739,5
ours_nonadd|phase_gain,crop_resize0.1,5,0.59553,0.54696,0.04857,0.02838,5
ours_nonadd|phase_gain,identity,5,0.58368,0.0,0.58368,0.08618,5
ours_nonadd|phase_gain,jpeg30,5,0.37878,0.23764,0.14114,0.05778,5
ours_nonadd|phase_gain,jpeg75,5,0.37073,0.11431,0.25642,0.082,5
ours_nonadd|phase_gain,jpeg_then_resize75,5,0.32803,0.20122,0.12681,0.03279,5
