tag,step,n_images,eval_median,eval_min,eval_max
d1_opt,0,10,115.8668251,103.99362946,166.26721191
d1_opt,100,10,114.80218124,102.12983704,165.39343262
d1_opt,200,10,114.24966812,101.09248352,165.03186035
d1_opt,300,10,113.79592514,100.40931702,164.77674866
d1_opt,400,10,113.39917374,99.92529297,164.58828735
d1_opt,500,10,113.07255936,99.63371277,164.44297791
d1_opt,600,10,112.80654526,99.4597702,164.34387207
d1_opt,700,10,112.60735321,99.34536743,164.25465393
d1_opt,800,10,112.42402649,99.24467468,164.17579651
d1_opt,900,10,112.29986954,99.16158295,164.11213684
d1_opt,1000,10,112.20011902,99.08207703,164.06040955
d1_opt,1100,10,112.11528778,99.02494812,164.01835632
d1_opt,1200,10,112.05411148,98.97298431,163.9821167
d1_opt,1300,10,112.00986481,98.94263458,163.95918274
d1_opt,1400,10,111.97887802,98.9109726,163.94769287
d1_opt,1500,10,111.9540062,98.88589478,163.93962097
d1_opt,1600,10,111.93358231,98.87177277,163.93276978
d1_opt,1700,10,111.91690445,98.8609848,163.92767334
d1_opt,1800,10,111.9060936,98.85233307,163.92480469
d1_opt,1900,10,111.89612579,98.84451294,163.92208862
d1_opt,2000,10,111.88607025,98.84172821,163.91812134
d1_opt,2100,10,111.87921524,98.84056091,163.90557861
d1_opt,2200,10,111.87488556,98.83985901,163.89779663
d1_opt,2300,9,107.33150482,98.83966064,163.89576721
d1_opt,2400,9,107.33132935,98.83956146,163.89398193
d1_opt,2500,9,107.3311615,98.8394165,163.89234924
d1_opt,2600,9,107.33109283,98.83930969,163.89067078
d1_opt,2700,9,107.3310318,98.83925629,163.88870239
d1_opt,2800,7,107.33097839,98.83921814,130.27624512
d1_opt,2900,4,102.98619461,98.83918762,116.38587952
d1_opt,3000,2,107.61164474,98.83912659,116.3841629
d1_opt,3100,1,116.38272858,116.38272858,116.38272858
d1_opt,3200,1,116.38200378,116.38200378,116.38200378
d4_opt,0,10,115.83686447,103.94567108,166.24032593
d4_opt,100,10,113.23740005,99.62628937,163.60017395
d4_opt,200,10,111.71563339,97.14432526,162.04718018
d4_opt,300,10,110.50387573,95.56327057,160.9316864
d4_opt,400,10,109.50775146,94.51628113,160.08067322
d4_opt,500,10,108.68955612,93.7429657,159.39707947
d4_opt,600,10,107.99747467,93.17169189,158.86264038
d4_opt,700,10,107.42226028,92.72838593,158.40936279
d4_opt,800,10,106.96104431,92.36542511,158.02703857
d4_opt,900,10,106.57253265,92.0374527,157.69815063
d4_opt,1000,10,106.22994232,91.76316833,157.42408752
d4_opt,1100,10,105.94144821,91.52619171,157.1975708
d4_opt,1200,10,105.6998024,91.34374237,157.00569153
d4_opt,1300,10,105.52172852,91.20257568,156.8742981
d4_opt,1400,10,105.41614532,91.09729004,156.80549622
d4_opt,1500,10,105.33239746,91.02676392,156.75009155
d4_opt,1600,10,105.26125717,90.97275543,156.70533752
d4_opt,1700,10,105.20258331,90.92046356,156.66438293
d4_opt,1800,10,105.15502167,90.86772156,156.63336182
d4_opt,1900,10,105.11070251,90.82611847,156.60978699
d4_opt,2000,10,105.07500839,90.7993927,156.57475281
d4_opt,2100,10,105.04180908,90.77597809,156.55892944
d4_opt,2200,10,105.00614548,90.75170135,156.53942871
d4_opt,2300,10,104.97766876,90.73417664,156.52645874
d4_opt,2400,10,104.95729446,90.71342468,156.51547241
d4_opt,2500,10,104.935112,90.70578766,156.50505066
d4_opt,2600,10,104.91053772,90.69564819,156.49571228
d4_opt,2700,10,104.89352417,90.68847656,156.48847961
d4_opt,2800,10,104.88082504,90.68280792,156.48303223
d4_opt,2900,10,104.87566757,90.6780014,156.47703552
d4_opt,3000,10,104.86505508,90.67483521,156.47186279
d4_opt,3100,10,104.8572998,90.67198944,156.46578979
d4_opt,3200,10,104.85193634,90.66851044,156.45812988
d4_opt,3300,10,104.84729767,90.66584015,156.45045471
d4_opt,3400,10,104.84378052,90.66362762,156.4446106
d4_opt,3500,10,104.84105682,90.66092682,156.44021606
d4_opt,3600,8,98.58560562,90.65802002,111.96894836
d4_opt,3700,7,96.14240265,90.6558609,111.92179871
d4_opt,3800,5,96.13999939,90.65450287,111.87509918
d4_opt,3900,4,98.57773972,90.65374756,111.81547546
d4_opt,4000,3,101.01609039,96.13507843,111.77305603
d4_opt,4100,3,101.01346588,96.13332367,111.7278595
d4_opt,4200,2,106.33403397,101.01087952,111.65718842
d4_opt,4300,2,106.3074379,101.00831604,111.60655975
d4_opt,4400,1,111.5508194,111.5508194,111.5508194
d4_opt,4500,1,111.51704407,111.51704407,111.51704407
d4_opt,4600,1,111.45484161,111.45484161,111.45484161
d4_opt,4700,1,111.41001129,111.41001129,111.41001129
d4_opt,4800,1,111.35857391,111.35857391,111.35857391
d4_opt,4900,1,111.27294159,111.27294159,111.27294159
d4_opt,4999,1,111.21356201,111.21356201,111.21356201
d8_opt,0,10,115.81918716,103.91612244,166.22140503
d8_opt,100,10,112.23539352,98.28025055,162.38659668
d8_opt,200,10,110.03564453,95.28691101,160.07206726
d8_opt,300,10,108.37488937,93.55357361,158.41853333
d8_opt,400,10,107.09889603,92.39317322,157.17404175
d8_opt,500,10,106.08240891,91.55052185,156.2580719
d8_opt,600,10,105.2570343,90.94354248,155.56242371
d8_opt,700,10,104.57131195,90.44667053,154.97947693
d8_opt,800,10,104.01900101,90.05006409,154.49185181
d8_opt,900,10,103.55760193,89.72318268,154.09129333
d8_opt,1000,10,103.143116,89.46569061,153.75987244
d8_opt,1100,10,102.8083725,89.24195862,153.48843384
d8_opt,1200,10,102.50503159,89.06106567,153.25427246
d8_opt,1300,10,102.29009247,88.90748596,153.07752991
d8_opt,1400,10,102.14557266,88.78486633,152.95730591
d8_opt,1500,10,102.01409912,88.67821503,152.86102295
d8_opt,1600,10,101.93067932,88.58818817,152.79042053
d8_opt,1700,10,101.85059738,88.51452637,152.7225647
d8_opt,1800,10,101.7988739,88.44921875,152.65524292
d8_opt,1900,10,101.72379303,88.39026642,152.60227966
d8_opt,2000,10,101.68099594,88.35038757,152.55953979
d8_opt,2100,10,101.6497612,88.30970764,152.52337646
d8_opt,2200,10,101.592659,88.27379608,152.4989624
d8_opt,2300,10,101.57626724,88.24435425,152.47735596
d8_opt,2400,10,101.54053497,88.22212982,152.45689392
d8_opt,2500,10,101.52492905,88.2048645,152.43692017
d8_opt,2600,10,101.51008606,88.1915741,152.42384338
d8_opt,2700,10,101.489151,88.17831421,152.41059875
d8_opt,2800,10,101.47231674,88.16804504,152.40116882
d8_opt,2900,10,101.45846939,88.15969086,152.39411926
d8_opt,3000,10,101.44550323,88.15049744,152.38842773
d8_opt,3100,10,101.38703918,88.14739227,152.3830719
d8_opt,3200,10,101.33076477,88.13069916,152.37910461
d8_opt,3300,10,101.2544136,88.12125397,152.37530518
d8_opt,3400,10,101.1914978,88.11219788,152.37231445
d8_opt,3500,10,101.09944916,88.1072998,152.36894226
d8_opt,3600,10,101.01862335,88.10105133,152.36611938
d8_opt,3700,9,98.19545746,88.09619141,117.95817566
d8_opt,3800,9,98.19152069,88.09380341,117.94438934
d8_opt,3900,9,98.18650055,88.08473969,117.93968201
d8_opt,4000,7,98.18157959,89.26957703,117.930336
d8_opt,4100,5,92.71202087,89.24993134,103.04440308
d8_opt,4200,5,92.70451355,89.23795319,102.96191406
d8_opt,4300,4,91.50234222,89.2283783,102.84384918
d8_opt,4400,4,91.4852829,89.22025299,102.77394104
d8_opt,4500,4,91.47308731,89.2146759,102.6296463
d8_opt,4600,4,91.4591217,89.20519257,102.4757309
d8_opt,4700,3,90.22225952,89.19356537,102.39967346
d8_opt,4800,3,90.19060516,89.18802643,102.24032593
d8_opt,4900,3,90.18714142,89.18567657,102.15240479
d8_opt,4999,3,90.17137146,89.21805573,102.07427979
