image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,r_max,gl_iters,block,hop,quantile,gate_edge_power,freq_weight,freq_weight_power,gain_weight,phase_channels,spectral_floor,floor_gate,theta_budget,warp_grid,defense_steps,loss,gain_ratio,purify_aware,dct_q_alg,dct_gamma,wm_tau,wm_mu,wm_diagonals,wm_q_embed,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,edit_clip_sim,edit_siglip_sim,blocked,siglip_blocked_threshold,total_seconds
task_attr_mod_color_11699,warp,instruct-pix2pix,turn the color of potted plant to pink,,24.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,16,1000,encoder_target,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.05938,0.95572,25.874,0.53889,0.01821,0.07249,0.93653,24.402,0.46522,0.02822,0.82431,0.05085,0.99622,0.99535,False,0.837,391.4
task_attr_mod_color_136767,warp,instruct-pix2pix,turn the color of astronaut to pink,,24.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,16,1000,encoder_target,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.07411,0.89734,22.744,0.41942,0.0328,0.12223,0.863,20.815,0.36511,0.05968,0.90676,0.07291,0.99013,0.98719,False,0.837,381.9
task_attr_mod_color_184837,warp,instruct-pix2pix,turn the color of frame to pink,,24.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,16,1000,encoder_target,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.10586,0.80873,19.645,0.2982,0.04578,0.1273,0.77969,19.853,0.26634,0.05995,0.88289,0.10417,0.99607,0.98966,False,0.837,381.9
task_attr_mod_color_32648,warp,instruct-pix2pix,turn the color of potion bottle to orange,,24.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,16,1000,encoder_target,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.01465,0.99371,43.188,0.80237,0.00933,0.02203,0.99103,41.834,0.83005,0.01419,0.51911,0.00693,0.99917,0.99731,False,0.837,381.4
task_attr_mod_color_6205,warp,instruct-pix2pix,turn the color of toolbox to red,,24.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,16,1000,encoder_target,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.13456,0.81775,21.978,0.33711,0.06673,0.14285,0.80874,21.393,0.32768,0.08328,0.9142,0.07964,0.98867,0.97997,False,0.837,381.6
task_env_weather_112463,warp,instruct-pix2pix,transform the setting to spring with blooming flowers,,24.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,16,1000,encoder_target,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.11303,0.86591,24.804,0.41875,0.05416,0.1839,0.79549,22.107,0.31069,0.08225,0.70524,0.05752,0.97877,0.96916,False,0.837,381.1
task_env_weather_246440,warp,instruct-pix2pix,transform the setting to autumn with falling leaves,,24.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,16,1000,encoder_target,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.0982,0.76044,17.023,0.26856,0.03854,0.2507,0.6933,19.111,0.19821,0.08942,0.99397,0.14088,0.97361,0.97759,False,0.837,381.7
task_env_weather_63722,warp,instruct-pix2pix,change the setting to a snowy landscape,,24.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,16,1000,encoder_target,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.16011,0.80187,19.493,0.24869,0.09543,0.18777,0.78334,18.935,0.20863,0.11008,0.83172,0.10601,0.9489,0.95575,False,0.837,381.5
task_obj_add_40931,warp,instruct-pix2pix,Add the blood on snout,,24.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,16,1000,encoder_target,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.1424,0.8083,19.739,0.32097,0.06714,0.19162,0.75693,18.446,0.271,0.10201,0.85326,0.10305,0.98448,0.9582,False,0.837,381.8
task_obj_remove_380621,warp,instruct-pix2pix,Remove iceberg,,24.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,16,1000,encoder_target,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.13317,0.83527,21.993,0.39115,0.08224,0.18228,0.78355,20.572,0.32156,0.08003,0.98445,0.0795,0.98793,0.98534,False,0.837,382.3
